signatureID	similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	cellLine	time	_row
LINCSCP_75554	0.6477913955	1.172990382e-35	288	Cholic acid	LSM-5541	CES1|FECH|PLA2G1B	10uM	A375	24h	LINCSCP_75554
LINCSCP_153687	-0.5755619969	8.336965669e-27	288	Adoprazine	LSM-45419	NA	0.37uM	PC3	24h	LINCSCP_153687
LINCSCP_63361	0.562240723	2.103125346e-25	288	BRD-K30794866	LSM-10284	NA	5uM	VCAP	24h	LINCSCP_63361
LINCSCP_61944	0.5599233456	3.633490828e-25	288	BRD-K13779607	LSM-9262	NA	5uM	VCAP	24h	LINCSCP_61944
LINCSCP_62245	0.5590323342	4.478483703e-25	288	BRD-K00347265	LSM-8447	NA	5uM	VCAP	24h	LINCSCP_62245
LINCSCP_145915	0.5574279058	6.515656587e-25	288	Lapatinib	LSM-1051	EGFR|ERBB2	10uM	MDAMB231	3h	LINCSCP_145915
LINCSCP_61931	0.5560601734	8.955090031e-25	288	BRD-K00695053	LSM-8478	NA	5uM	VCAP	24h	LINCSCP_61931
LINCSCP_163413	0.555560536	1.005458451e-24	288	Erlotinib	LSM-1097	EGFR	0.12uM	SKBR3	3h	LINCSCP_163413
LINCSCP_128245	-0.5492286145	4.290171858e-24	288	FR-180204	LSM-42790	MAPK1|MAPK3	0.04uM	HUES3	24h	LINCSCP_128245
LINCSCP_240734	0.5489939086	4.524540962e-24	288	GW7647	LSM-4172	PPARA	10uM	MCF7	24h	LINCSCP_240734
LINCSCP_74484	0.5470861646	6.960857218e-24	288	Alaproclate	LSM-1333	SLC6A4	1.11uM	A375	24h	LINCSCP_74484
LINCSCP_32631	-0.5462321688	8.433845133e-24	288	BRD-A80960055-001-01-7	LSM-5162	NA	10uM	MCF7	6h	LINCSCP_32631
LINCSCP_154047	-0.5457613494	9.373092845e-24	288	Simvastatin	LSM-2492	HMGCR	0.37uM	PC3	24h	LINCSCP_154047
LINCSCP_32029	0.544472439	1.250410228e-23	288	MLS002699918	LSM-2263	NA	10uM	MCF7	6h	LINCSCP_32029
LINCSCP_4328	-0.5422595651	2.045017705e-23	288	Tocainide	LSM-1909	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A	10uM	A549	6h	LINCSCP_4328
LINCSCP_63091	0.5412503524	2.556287899e-23	288	BRD-K48598367	LSM-11388	NA	5uM	VCAP	24h	LINCSCP_63091
LINCSCP_76641	-0.536970318	6.531423906e-23	288	Cyclohexanecarboxamide, 4-(1-aminoethyl)-n-4-pyridinyl-, trans-	LSM-1177	ROCK1|ROCK2	0.04uM	A375	24h	LINCSCP_76641
LINCSCP_115370	0.5356625434	8.676319631e-23	288	Erlotinib	LSM-1097	EGFR	1.11uM	HS578T	3h	LINCSCP_115370
LINCSCP_89525	0.5351686973	9.655340072e-23	288	Pyrazinamide	LSM-5425	FASN	3.33uM	HA1E	24h	LINCSCP_89525
LINCSCP_75199	0.5345031972	1.11485463e-22	288	Alizapride	LSM-4953	DRD2	1.11uM	A375	24h	LINCSCP_75199
LINCSCP_75547	0.5343951077	1.14116475e-22	288	AMD-070 (hydrochloride)	LSM-45591	NA	0.04uM	A375	24h	LINCSCP_75547
LINCSCP_75583	0.5340583335	1.227120974e-22	288	MLN 2480	LSM-45644	ARAF|BRAF|RAF1	0.04uM	A375	24h	LINCSCP_75583
LINCSCP_73416	0.533250417	1.460176386e-22	288	CHEMBL179288	LSM-3648	NA	3.33uM	A375	24h	LINCSCP_73416
LINCSCP_64251	0.5330565763	1.52227797e-22	288	BRD-K16811158	LSM-38156	NA	5uM	VCAP	24h	LINCSCP_64251
LINCSCP_61818	0.5330288107	1.531383649e-22	288	BRD-K73876582	LSM-12955	NA	5uM	VCAP	24h	LINCSCP_61818
LINCSCP_212182	0.5326670486	1.655039401e-22	288	BRD-K45758869-001-01-3	LSM-39802	NA	10uM	HA1E	6h	LINCSCP_212182
LINCSCP_61935	0.5308052645	2.464501852e-22	288	BRD-K05726929	LSM-8767	NA	5uM	VCAP	24h	LINCSCP_61935
LINCSCP_74492	0.529669612	3.138225974e-22	288	Emedastine	LSM-5331	HRH1	0.12uM	A375	24h	LINCSCP_74492
LINCSCP_90590	-0.5281671889	4.314492952e-22	288	Lexibulin	LSM-6232	TUBA1A|TUBA1B|TUBA1C|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8	10uM	HA1E	24h	LINCSCP_90590
LINCSCP_201007	-0.5271938464	5.298162483e-22	288	BRD-K79793579	LSM-41625	NA	10uM	A549	24h	LINCSCP_201007
LINCSCP_169739	-0.5262345275	6.482683287e-22	288	MK-0812	LSM-45856	NA	0.04uM	YAPC	24h	LINCSCP_169739
LINCSCP_4113	-0.525496121	7.568602403e-22	288	BRD-K72490684	LSM-41201	NA	5uM	A375	6h	LINCSCP_4113
LINCSCP_71286	0.5254415474	7.655617585e-22	288	Hypericin	LSM-2650	NA	0.37uM	A375	24h	LINCSCP_71286
LINCSCP_68007	-0.5253193247	7.854084139e-22	288	Withaferin A	LSM-6685	IKBKB|NAMPT	10uM	PC3	6h	LINCSCP_68007
LINCSCP_62135	0.5245000493	9.321528185e-22	288	BRD-K24017250	LSM-9878	NA	5uM	VCAP	24h	LINCSCP_62135
LINCSCP_11655	0.5239406355	1.047531572e-21	288	BMS-345541	LSM-1028	IKBKB	0.5uM	BT20	24h	LINCSCP_11655
LINCSCP_138016	0.5229176324	1.295996415e-21	288	Emedastine	LSM-5331	HRH1	0.12uM	MCF7	24h	LINCSCP_138016
LINCSCP_69045	-0.5228946847	1.302188128e-21	288	GSK 1059615	LSM-42799	PIK3CA|PIK3CB|PIK3CD|PIK3CG	10uM	A375	24h	LINCSCP_69045
LINCSCP_14200	0.5225986043	1.384735126e-21	288	Dobutamine	LSM-1807	ADRB1|ADRB2	10uM	HA1E	6h	LINCSCP_14200
LINCSCP_153953	-0.5210445222	1.910058815e-21	288	Bardoxolone Methyl	LSM-45471	IKBKB|KEAP1|NFE2L2|PPARG	0.04uM	PC3	24h	LINCSCP_153953
LINCSCP_71311	0.5205742947	2.104599281e-21	288	Hydroxyprogesterone Caproate	LSM-4900	AR|ESR1|ESR2|NR1H4|NR1I2|NR3C1|PGR	0.12uM	A375	24h	LINCSCP_71311
LINCSCP_71635	0.5205071323	2.133931352e-21	288	Indigo Red	LSM-42899	CDK1|CDK5|GSK3A	10uM	A375	24h	LINCSCP_71635
LINCSCP_46134	-0.5202321493	2.258278531e-21	288	Mosapride	LSM-5042	HTR4	10uM	PC3	6h	LINCSCP_46134
LINCSCP_74495	0.5200904616	2.325105467e-21	288	Swainsonine	LSM-45602	NA	3.85uM	A375	24h	LINCSCP_74495
LINCSCP_35355	-0.5194664534	2.643327484e-21	288	BRD-K69040870-001-01-4	LSM-41026	NA	10uM	MCF7	24h	LINCSCP_35355
LINCSCP_44352	-0.5193809882	2.690121791e-21	288	Propylpyrazoletriol	LSM-1978	ESR1	10uM	PC3	24h	LINCSCP_44352
LINCSCP_71305	0.5193215841	2.723126227e-21	288	MK-8245	LSM-45756	NA	0.12uM	A375	24h	LINCSCP_71305
LINCSCP_64052	0.5183495684	3.323340594e-21	288	BRD-M87776818	LSM-45074	NA	5uM	VCAP	24h	LINCSCP_64052
LINCSCP_62649	0.5175277817	3.930934429e-21	288	BRD-K37991633	LSM-10729	NA	5uM	VCAP	24h	LINCSCP_62649
LINCSCP_75562	0.5172964236	4.120876933e-21	288	Acetazolamide	LSM-5543	CA1|CA12|CA14|CA2|CA4|CA7	1.11uM	A375	24h	LINCSCP_75562
LINCSCP_64321	0.5166970115	4.656003269e-21	288	BRD-K77326001	LSM-41491	NA	5uM	VCAP	24h	LINCSCP_64321
LINCSCP_44018	-0.5145825967	7.148562858e-21	288	Arecaidine Propargyl Ester	LSM-2520	CHRM1	10uM	PC3	24h	LINCSCP_44018
