signatureID	similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	cellLine	time	_row
LINCSCP_10616	0.4149438944	1.293810626e-11	245	AZD-8055	LSM-1007	MTOR	10uM	AGS	6h	LINCSCP_10616
LINCSCP_42645	0.4149407601	1.294313995e-11	245	Chlorprothixene	LSM-42990	DRD2|DRD3|HTR2A|HTR2C	10uM	NPC	24h	LINCSCP_42645
LINCSCP_35649	0.4148872464	1.302937971e-11	245	SCHEMBL16226502	LSM-43056	HSP90AA1	0.1uM	MCF7	24h	LINCSCP_35649
LINCSCP_38803	0.4148629458	1.306872543e-11	245	GSK-1070916	LSM-1062	AURKB|AURKC	5uM	MCF7	24h	LINCSCP_38803
LINCSCP_11818	0.4148604665	1.307274638e-11	245	Neratinib	LSM-42778	EGFR|ERBB2|ERBB4	1uM	BT20	24h	LINCSCP_11818
LINCSCP_48533	0.4148436202	1.310009874e-11	245	BRD-K43540029	LSM-39664	NA	10uM	PC3	24h	LINCSCP_48533
LINCSCP_31856	0.4148417419	1.310315189e-11	245	NCGC00172397-01	LSM-36640	NA	10uM	MCF7	24h	LINCSCP_31856
LINCSCP_6206	0.4148060469	1.31613052e-11	245	BRD-K76938712	LSM-41474	NA	10uM	A549	24h	LINCSCP_6206
LINCSCP_130955	0.4147580614	1.323987793e-11	245	AZD-6482	LSM-1059	PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	10uM	MCF10A	3h	LINCSCP_130955
LINCSCP_99504	0.4147393977	1.327056153e-11	245	Buparlisib	LSM-1148	PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	10uM	HCC515	24h	LINCSCP_99504
LINCSCP_30236	0.4147069188	1.332412292e-11	245	etoposide	LSM-6348	TOP2A|TOP2B	10uM	MCF7	24h	LINCSCP_30236
LINCSCP_66703	0.4147067049	1.332447623e-11	245	Trichostatin A, Streptomyces Sp.	LSM-42814	HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8	1uM	A549	6h	LINCSCP_66703
LINCSCP_119097	0.4146926964	1.334764333e-11	245	KPT-330	LSM-45842	XPO1	3.33uM	HT29	24h	LINCSCP_119097
LINCSCP_30788	0.4146895667	1.335282455e-11	245	BMS-536924	LSM-1210	IGF1R	10uM	MCF7	6h	LINCSCP_30788
LINCSCP_59455	0.4146652879	1.339308451e-11	245	CHEMBL2137729	LSM-6076	NA	10uM	VCAP	24h	LINCSCP_59455
LINCSCP_106068	0.4146565098	1.340766977e-11	245	AZD-8330	LSM-1165	MAP2K1|MAP2K2	0.37uM	HELA	24h	LINCSCP_106068
LINCSCP_32760	0.4146269641	1.345687497e-11	245	Sirolimus	LSM-42782	FKBP1A|MTOR	10uM	MCF7	6h	LINCSCP_32760
LINCSCP_65718	0.4146120318	1.348180995e-11	245	CHEMBL2135159	LSM-41907	NA	10uM	VCAP	24h	LINCSCP_65718
LINCSCP_85099	0.4146111303	1.34833169e-11	245	Neratinib	LSM-42778	EGFR|ERBB2|ERBB4	3.33uM	BT20	24h	LINCSCP_85099
LINCSCP_1884	0.4146087207	1.348734521e-11	245	Epirubicin	LSM-2078	TOP2A	10uM	A375	6h	LINCSCP_1884
LINCSCP_67068	0.4145539146	1.357928695e-11	245	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	HT29	6h	LINCSCP_67068
LINCSCP_39145	0.4145431962	1.359733921e-11	245	SB590885	LSM-42746	BRAF	10uM	MDAMB231	6h	LINCSCP_39145
LINCSCP_144767	0.4145413008	1.36005338e-11	245	TORIN-2	LSM-1080	MTOR	1.11uM	MDAMB231	24h	LINCSCP_144767
