signatureID	similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	cellLine	time	_row
LINCSCP_123853	0.8816115114	2.691388457e-12	35	RO4987655	LSM-45489	MAP2K1|MAP2K2	1.11uM	HT29	24h	LINCSCP_123853
LINCSCP_123060	0.8646980898	2.137903558e-11	35	Selumetinib	LSM-1056	MAP2K1|MAP2K2	0.37uM	HT29	24h	LINCSCP_123060
LINCSCP_123851	0.8509086514	9.521687454e-11	35	RO4987655	LSM-45489	MAP2K1|MAP2K2	10uM	HT29	24h	LINCSCP_123851
LINCSCP_123852	0.8476696482	1.323443681e-10	35	RO4987655	LSM-45489	MAP2K1|MAP2K2	3.33uM	HT29	24h	LINCSCP_123852
LINCSCP_123059	0.8438076601	1.940678327e-10	35	Selumetinib	LSM-1056	MAP2K1|MAP2K2	1.11uM	HT29	24h	LINCSCP_123059
LINCSCP_123854	0.8426511337	2.172059427e-10	35	RO4987655	LSM-45489	MAP2K1|MAP2K2	0.37uM	HT29	24h	LINCSCP_123854
LINCSCP_122862	0.8413671707	2.458806369e-10	35	AZD-8330	LSM-1165	MAP2K1|MAP2K2	1.11uM	HT29	24h	LINCSCP_122862
LINCSCP_125206	0.8404100789	2.695005125e-10	35	MEK162 (ARRY-162, ARRY-438162)	LSM-45640	MAP2K1|MAP2K2	10uM	HT29	24h	LINCSCP_125206
LINCSCP_125207	0.8365529868	3.8770368e-10	35	MEK162 (ARRY-162, ARRY-438162)	LSM-45640	MAP2K1|MAP2K2	3.33uM	HT29	24h	LINCSCP_125207
LINCSCP_123058	0.8351100689	4.43141437e-10	35	Selumetinib	LSM-1056	MAP2K1|MAP2K2	3.33uM	HT29	24h	LINCSCP_123058
LINCSCP_122863	0.8347784007	4.568835938e-10	35	AZD-8330	LSM-1165	MAP2K1|MAP2K2	0.37uM	HT29	24h	LINCSCP_122863
LINCSCP_125208	0.8312276707	6.309566752e-10	35	MEK162 (ARRY-162, ARRY-438162)	LSM-45640	MAP2K1|MAP2K2	1.11uM	HT29	24h	LINCSCP_125208
LINCSCP_122865	0.8290741935	7.646480463e-10	35	AZD-8330	LSM-1165	MAP2K1|MAP2K2	0.04uM	HT29	24h	LINCSCP_122865
LINCSCP_130645	-0.8268202709	9.323747897e-10	35	PLX-4720	LSM-1049	BRAF	1.11uM	MCF10A	24h	LINCSCP_130645
LINCSCP_72351	0.826449417	9.630392552e-10	35	GSK962040	LSM-45854	MLNR	10uM	A375	24h	LINCSCP_72351
LINCSCP_123855	0.8260960298	9.931272562e-10	35	RO4987655	LSM-45489	MAP2K1|MAP2K2	0.12uM	HT29	24h	LINCSCP_123855
LINCSCP_116391	0.8232111408	1.27342477e-09	35	CI-1040	LSM-1048	MAP2K1|MAP2K2	10uM	HT29	24h	LINCSCP_116391
LINCSCP_116587	0.8217569321	1.441004151e-09	35	PD-0325901	LSM-1101	MAP2K1|MAP2K2	0.12uM	HT29	24h	LINCSCP_116587
LINCSCP_25535	0.8212290027	1.506738996e-09	35	AS-605240	LSM-42784	PIK3CG	10uM	HT29	24h	LINCSCP_25535
LINCSCP_123027	0.8205683195	1.592918966e-09	35	Vemurafenib	LSM-1068	BRAF	10uM	HT29	24h	LINCSCP_123027
LINCSCP_131342	0.8202827111	1.631569767e-09	35	BRD-K01425431	NA	NA	10uM	MCF10A	24h	LINCSCP_131342
LINCSCP_116185	0.8202518265	1.635800997e-09	35	PD-0325901	LSM-1101	MAP2K1|MAP2K2	0.12uM	HT29	24h	LINCSCP_116185
LINCSCP_116496	0.8198381616	1.69346265e-09	35	Trametinib	LSM-1143	MAP2K1|MAP2K2	0.37uM	HT29	24h	LINCSCP_116496
LINCSCP_122864	0.8186616566	1.867919229e-09	35	AZD-8330	LSM-1165	MAP2K1|MAP2K2	0.12uM	HT29	24h	LINCSCP_122864
LINCSCP_123349	0.8174929148	2.05758907e-09	35	Cabozantinib	LSM-1195	KDR|MET	10uM	HT29	24h	LINCSCP_123349
LINCSCP_119554	0.8174325588	2.067852498e-09	35	Dabrafenib	LSM-6303	BRAF	1.11uM	HT29	24h	LINCSCP_119554
LINCSCP_116400	0.8171830715	2.110782713e-09	35	SB590885	LSM-42746	NA	0.37uM	HT29	24h	LINCSCP_116400
LINCSCP_124860	0.8169560097	2.150570417e-09	35	Refametinib	LSM-45886	NA	3.33uM	HT29	24h	LINCSCP_124860
LINCSCP_116290	0.816835828	2.171909819e-09	35	AZD-8330	LSM-1165	MAP2K1|MAP2K2	3.33uM	HT29	24h	LINCSCP_116290
LINCSCP_131426	0.8166353186	2.207949359e-09	35	Gefitinib	LSM-1098	EGFR	10uM	MCF10A	24h	LINCSCP_131426
LINCSCP_117167	0.8165554707	2.222454857e-09	35	PD-0325901	LSM-1101	MAP2K1|MAP2K2	0.12uM	HT29	24h	LINCSCP_117167
LINCSCP_131185	-0.8163575527	2.258790963e-09	35	Tamatinib	LSM-1040	SYK	0.37uM	MCF10A	24h	LINCSCP_131185
LINCSCP_749	0.8162344065	2.281676525e-09	35	Selumetinib	LSM-1056	MAP2K1|MAP2K2	80uM	A375	24h	LINCSCP_749
LINCSCP_122611	0.8161129269	2.304462694e-09	35	LGX818	LSM-45655	NA	0.37uM	HT29	24h	LINCSCP_122611
LINCSCP_116292	0.8159957423	2.326642831e-09	35	AZD-8330	LSM-1165	MAP2K1|MAP2K2	0.37uM	HT29	24h	LINCSCP_116292
LINCSCP_123057	0.8149273592	2.538180805e-09	35	Selumetinib	LSM-1056	MAP2K1|MAP2K2	10uM	HT29	24h	LINCSCP_123057
LINCSCP_125210	0.814593078	2.607941249e-09	35	MEK162 (ARRY-162, ARRY-438162)	LSM-45640	MAP2K1|MAP2K2	0.12uM	HT29	24h	LINCSCP_125210
LINCSCP_116398	0.813780538	2.784981188e-09	35	SB590885	LSM-42746	NA	3.33uM	HT29	24h	LINCSCP_116398
LINCSCP_123029	0.8125736273	3.068581966e-09	35	Vemurafenib	LSM-1068	BRAF	1.11uM	HT29	24h	LINCSCP_123029
LINCSCP_122861	0.8124640957	3.095601017e-09	35	AZD-8330	LSM-1165	MAP2K1|MAP2K2	3.33uM	HT29	24h	LINCSCP_122861
LINCSCP_116183	0.8111463945	3.438389745e-09	35	PD-0325901	LSM-1101	MAP2K1|MAP2K2	1.11uM	HT29	24h	LINCSCP_116183
LINCSCP_131429	0.8111076968	3.448968432e-09	35	Gefitinib	LSM-1098	EGFR	0.37uM	MCF10A	24h	LINCSCP_131429
LINCSCP_113836	0.8108885928	3.509434996e-09	35	Allitinib	LSM-1225	NA	0.37uM	HME1	24h	LINCSCP_113836
LINCSCP_116288	0.810098884	3.735612354e-09	35	Withaferin A	LSM-6685	IKBKB|NAMPT	0.04uM	HT29	24h	LINCSCP_116288
LINCSCP_25556	0.809786663	3.828699847e-09	35	Vemurafenib	LSM-1068	BRAF	10uM	HT29	24h	LINCSCP_25556
LINCSCP_131200	0.8097772709	3.831533057e-09	35	Saracatinib	LSM-1032	ABL1|SRC	10uM	MCF10A	24h	LINCSCP_131200
LINCSCP_131472	-0.809654226	3.868830332e-09	35	LRRK2-IN-1	LSM-1086	LRRK2	0.04uM	MCF10A	24h	LINCSCP_131472
LINCSCP_131414	0.8082248866	4.327438202e-09	35	Lapatinib	LSM-1051	EGFR|ERBB2	10uM	MCF10A	24h	LINCSCP_131414
