signatureID	similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	cellLine	time	_row
LINCSCP_131200	0.8677468022	9.468465863e-09	26	Saracatinib	LSM-1032	ABL1|SRC	10uM	MCF10A	24h	LINCSCP_131200
LINCSCP_131342	0.8547173867	2.725295484e-08	26	BRD-K01425431	NA	NA	10uM	MCF10A	24h	LINCSCP_131342
LINCSCP_131405	0.8515312477	3.475130285e-08	26	Selumetinib	LSM-1056	MAP2K1|MAP2K2	0.37uM	MCF10A	24h	LINCSCP_131405
LINCSCP_131293	0.8403201147	7.832085525e-08	26	Canertinib	LSM-1120	EGFR|ERBB2|ERBB4	0.37uM	MCF10A	24h	LINCSCP_131293
LINCSCP_131280	0.8394298591	8.331901902e-08	26	C24H25CLFN5O3	LSM-42794	EGFR|ERBB2|ERBB4	1.11uM	MCF10A	24h	LINCSCP_131280
LINCSCP_131294	0.8385028495	8.882780045e-08	26	Canertinib	LSM-1120	EGFR|ERBB2|ERBB4	0.12uM	MCF10A	24h	LINCSCP_131294
LINCSCP_29457	0.837156898	9.741204009e-08	26	AZ628	LSM-1050	BRAF|RAF1	10uM	MCF10A	24h	LINCSCP_29457
LINCSCP_131403	0.8360524742	1.050072684e-07	26	Selumetinib	LSM-1056	MAP2K1|MAP2K2	3.33uM	MCF10A	24h	LINCSCP_131403
LINCSCP_130464	0.8341973937	1.189747094e-07	26	PD-0325901	LSM-1101	MAP2K1|MAP2K2	10uM	MCF10A	24h	LINCSCP_130464
LINCSCP_131426	0.8337882315	1.222723105e-07	26	Gefitinib	LSM-1098	EGFR	10uM	MCF10A	24h	LINCSCP_131426
LINCSCP_131295	0.8319050293	1.385382046e-07	26	Canertinib	LSM-1120	EGFR|ERBB2|ERBB4	0.04uM	MCF10A	24h	LINCSCP_131295
LINCSCP_131414	0.8311715189	1.453844027e-07	26	Lapatinib	LSM-1051	EGFR|ERBB2	10uM	MCF10A	24h	LINCSCP_131414
LINCSCP_131291	0.829283614	1.644300675e-07	26	Canertinib	LSM-1120	EGFR|ERBB2|ERBB4	3.33uM	MCF10A	24h	LINCSCP_131291
LINCSCP_131281	0.8287542494	1.701596343e-07	26	C24H25CLFN5O3	LSM-42794	EGFR|ERBB2|ERBB4	0.37uM	MCF10A	24h	LINCSCP_131281
LINCSCP_113253	0.8262127244	2.002542625e-07	26	Gefitinib	LSM-1098	EGFR	10uM	HME1	24h	LINCSCP_113253
LINCSCP_99730	-0.8261829463	2.006336245e-07	26	Sorafenib	LSM-1008	BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RAF1|RET	0.12uM	HCC515	24h	LINCSCP_99730
LINCSCP_131404	0.8255696322	2.085924252e-07	26	Selumetinib	LSM-1056	MAP2K1|MAP2K2	1.11uM	MCF10A	24h	LINCSCP_131404
LINCSCP_100232	0.8253080739	2.120722622e-07	26	Allitinib	LSM-1225	NA	0.12uM	HCC515	24h	LINCSCP_100232
LINCSCP_131429	0.8249725322	2.166129454e-07	26	Gefitinib	LSM-1098	EGFR	0.37uM	MCF10A	24h	LINCSCP_131429
LINCSCP_131279	0.8246496808	2.210643848e-07	26	C24H25CLFN5O3	LSM-42794	EGFR|ERBB2|ERBB4	3.33uM	MCF10A	24h	LINCSCP_131279
LINCSCP_131223	0.8231821897	2.423547116e-07	26	PD-0325901	LSM-1101	MAP2K1|MAP2K2	0.04uM	MCF10A	24h	LINCSCP_131223
LINCSCP_131282	0.8220361866	2.602461974e-07	26	C24H25CLFN5O3	LSM-42794	EGFR|ERBB2|ERBB4	0.12uM	MCF10A	24h	LINCSCP_131282
LINCSCP_131292	0.8217773592	2.64448098e-07	26	Canertinib	LSM-1120	EGFR|ERBB2|ERBB4	1.11uM	MCF10A	24h	LINCSCP_131292
LINCSCP_131221	0.8208407895	2.801681584e-07	26	PD-0325901	LSM-1101	MAP2K1|MAP2K2	0.37uM	MCF10A	24h	LINCSCP_131221
LINCSCP_130469	0.820031618	2.944220154e-07	26	PD-0325901	LSM-1101	MAP2K1|MAP2K2	0.04uM	MCF10A	24h	LINCSCP_130469
LINCSCP_131402	0.8198188561	2.982767062e-07	26	Selumetinib	LSM-1056	MAP2K1|MAP2K2	10uM	MCF10A	24h	LINCSCP_131402
LINCSCP_29552	0.8195925565	3.024264756e-07	26	Selumetinib	LSM-1056	MAP2K1|MAP2K2	0.1uM	MCF10A	24h	LINCSCP_29552
LINCSCP_130465	0.8194948709	3.04233789e-07	26	PD-0325901	LSM-1101	MAP2K1|MAP2K2	3.33uM	MCF10A	24h	LINCSCP_130465
LINCSCP_116587	0.8192849493	3.081505597e-07	26	PD-0325901	LSM-1101	MAP2K1|MAP2K2	0.12uM	HT29	24h	LINCSCP_116587
