signatureID	similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	cellLine	time	_row
LINCSCP_123852	0.8482487743	3.640683242e-13	44	RO4987655	LSM-45489	MAP2K1|MAP2K2	3.33uM	HT29	24h	LINCSCP_123852
LINCSCP_71134	0.8452790798	5.305191454e-13	44	CEP-701	LSM-45844	NA	3.33uM	A375	24h	LINCSCP_71134
LINCSCP_123853	0.8434428151	6.669770289e-13	44	RO4987655	LSM-45489	MAP2K1|MAP2K2	1.11uM	HT29	24h	LINCSCP_123853
LINCSCP_122862	0.8386943307	1.189592605e-12	44	AZD-8330	LSM-1165	MAP2K1|MAP2K2	1.11uM	HT29	24h	LINCSCP_122862
LINCSCP_131405	0.8382898954	1.248609251e-12	44	Selumetinib	LSM-1056	MAP2K1|MAP2K2	0.37uM	MCF10A	24h	LINCSCP_131405
LINCSCP_113833	0.8377929454	1.324910361e-12	44	Allitinib	LSM-1225	NA	10uM	HME1	24h	LINCSCP_113833
LINCSCP_114338	0.8336521407	2.15540658e-12	44	PD-0325901	LSM-1101	MAP2K1|MAP2K2	0.12uM	HME1	24h	LINCSCP_114338
LINCSCP_125206	0.8330182585	2.319384331e-12	44	MEK162 (ARRY-162, ARRY-438162)	LSM-45640	MAP2K1|MAP2K2	10uM	HT29	24h	LINCSCP_125206
LINCSCP_113982	0.8319152921	2.633092927e-12	44	PD-0325901	LSM-1101	MAP2K1|MAP2K2	0.04uM	HME1	24h	LINCSCP_113982
LINCSCP_122611	0.8309698637	2.933429661e-12	44	LGX818	LSM-45655	NA	0.37uM	HT29	24h	LINCSCP_122611
LINCSCP_114336	0.8309447083	2.941845639e-12	44	PD-0325901	LSM-1101	MAP2K1|MAP2K2	1.11uM	HME1	24h	LINCSCP_114336
LINCSCP_114334	0.8305010945	3.094054466e-12	44	PD-0325901	LSM-1101	MAP2K1|MAP2K2	10uM	HME1	24h	LINCSCP_114334
LINCSCP_113980	0.8303647944	3.142292061e-12	44	PD-0325901	LSM-1101	MAP2K1|MAP2K2	0.37uM	HME1	24h	LINCSCP_113980
