signatureID	similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	cellLine	time	_row
LINCSCP_99956	0.6109189785	6.502079346e-08	65	WYE 125132	LSM-1064	MTOR	1.11uM	HCC515	24h	LINCSCP_99956
LINCSCP_131379	0.6051404003	9.319563807e-08	65	WYE 125132	LSM-1064	MTOR	3.33uM	MCF10A	24h	LINCSCP_131379
LINCSCP_66540	0.6043241519	9.800085291e-08	65	Wortmannin	LSM-3947	PIK3CA|PIK3CG|PLK1	10uM	A549	6h	LINCSCP_66540
LINCSCP_131321	0.5989748715	1.357745962e-07	65	PI-103	LSM-1126	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG	3.33uM	MCF10A	24h	LINCSCP_131321
LINCSCP_115718	0.5989487201	1.359891856e-07	65	ZSTK 474	LSM-1053	PIK3CG	0.12uM	HS578T	24h	LINCSCP_115718
LINCSCP_19294	0.5988507981	1.367955468e-07	65	Dactolisib	LSM-4255	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	0.5uM	HCC515	24h	LINCSCP_19294
LINCSCP_29609	-0.5982737237	1.416399869e-07	65	Enzastaurin	LSM-1069	PRKCB	10uM	MCF10A	24h	LINCSCP_29609
LINCSCP_131225	0.59676963	1.550385286e-07	65	936890-98-1	LSM-42786	MTOR	3.33uM	MCF10A	24h	LINCSCP_131225
LINCSCP_130704	0.5934758547	1.886699817e-07	65	Dactolisib	LSM-4255	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	3.33uM	MCF10A	24h	LINCSCP_130704
LINCSCP_130707	0.5913031896	2.144994013e-07	65	Dactolisib	LSM-4255	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	0.12uM	MCF10A	24h	LINCSCP_130707
LINCSCP_81684	0.5881598119	2.578252781e-07	65	TORIN1	LSM-1079	MTOR	0.37uM	A549	24h	LINCSCP_81684
LINCSCP_81612	0.5869266546	2.769746487e-07	65	WYE 125132	LSM-1064	MTOR	0.37uM	A549	24h	LINCSCP_81612
LINCSCP_126701	0.5845126009	3.184040802e-07	65	AZD2014	LSM-45472	MTOR	3.33uM	HT29	24h	LINCSCP_126701
LINCSCP_29428	0.5843815338	3.208126333e-07	65	WYE 125132	LSM-1064	MTOR	0.5uM	MCF10A	24h	LINCSCP_29428
LINCSCP_66511	0.5839870136	3.281664956e-07	65	Wortmannin	LSM-3947	PIK3CA|PIK3CG|PLK1	10uM	A549	6h	LINCSCP_66511
