signatureID	similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	cellLine	time	_row
LINCSCP_124820	0.9995995079	9.620524928e-06	5	Pimobendan	LSM-45256	NA	0.37uM	HT29	24h	LINCSCP_124820
LINCSCP_65434	0.9993584753	1.950348342e-05	5	BRD-K26778237	LSM-38727	NA	10uM	VCAP	6h	LINCSCP_65434
LINCSCP_252287	0.9993021581	2.212707034e-05	5	SA-1939064	LSM-40654	NA	0.5uM	MCF7	24h	LINCSCP_252287
LINCSCP_147424	0.9992653574	2.390012562e-05	5	Tivozanib	LSM-1005	FLT1|FLT4|KDR|KIT|PDGFRA|PDGFRB	1.11uM	NPC.CAS9	24h	LINCSCP_147424
LINCSCP_64299	0.9992537551	2.446849656e-05	5	BRD-K58300809	LSM-40460	NA	5uM	VCAP	24h	LINCSCP_64299
LINCSCP_132462	0.9991949788	2.741526281e-05	5	apigenin	LSM-5206	NA	10uM	MCF7	3h	LINCSCP_132462
LINCSCP_47183	-0.9991418959	3.017087715e-05	5	MEGXP0_001658	LSM-43137	NA	10uM	PC3	6h	LINCSCP_47183
LINCSCP_42713	0.9988654878	4.586418372e-05	5	Amoxapine	LSM-2021	DRD1|DRD2|DRD3|DRD4|DRD5|HTR2A|HTR6|SLC6A2|SLC6A4	10uM	NPC	24h	LINCSCP_42713
LINCSCP_56922	0.9988042174	4.962885832e-05	5	Tyrphostin AG-1478	LSM-1224	EGFR	60uM	VCAP	24h	LINCSCP_56922
LINCSCP_56276	0.9986276618	6.101493371e-05	5	WAY-170523	LSM-2795	MMP13	10uM	VCAP	24h	LINCSCP_56276
LINCSCP_17337	0.9984486767	7.333077209e-05	5	Tozasertib	LSM-1021	ABL1|AURKA|AURKB|AURKC|BCR|FLT3|JAK2	0.37uM	HA1E	24h	LINCSCP_17337
LINCSCP_97687	0.9983972699	7.700519116e-05	5	Rizatriptan	LSM-3691	HTR1B|HTR1D|HTR1F	0.37uM	HA1E	24h	LINCSCP_97687
LINCSCP_183797	0.9982605889	8.706104446e-05	5	BRD-K00918977	LSM-8489	NA	5uM	A375	24h	LINCSCP_183797
LINCSCP_23397	-0.9982352755	8.896808307e-05	5	Cycloheximide	LSM-2791	RPL3	3uM	HEPG2	24h	LINCSCP_23397
LINCSCP_180698	0.998061	0.0001024646835	5	Meclizine	LSM-1607	HRH1|NR1I3	10uM	A375	6h	LINCSCP_180698
LINCSCP_3215	0.9978974734	0.0001156935334	5	BRD-K19294102	LSM-9588	NA	5uM	A375	24h	LINCSCP_3215
LINCSCP_68929	0.9978880161	0.0001164748406	5	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	1uM	VCAP	24h	LINCSCP_68929
LINCSCP_51125	0.9976894716	0.0001332754779	5	CHEMBL1434137	LSM-6234	RARG	40uM	RMUGS	6h	LINCSCP_51125
LINCSCP_65340	0.9975078023	0.000149294974	5	BRD-K75051049	LSM-41361	NA	10uM	VCAP	24h	LINCSCP_65340
LINCSCP_19413	0.9974176418	0.0001574672643	5	Batimastat	LSM-6276	NA	40uM	HCC515	24h	LINCSCP_19413
LINCSCP_80933	-0.9972903564	0.0001692487703	5	Deferasirox	LSM-45297	NA	10uM	A375	24h	LINCSCP_80933
LINCSCP_171602	-0.9972677489	0.0001713707519	5	Quinidine Gluconate	LSM-46038	SCN5A	10uM	YAPC	24h	LINCSCP_171602
LINCSCP_57946	0.9972228203	0.0001756138754	5	SMR000024485	LSM-42913	NA	10uM	VCAP	24h	LINCSCP_57946
LINCSCP_33044	-0.9970618107	0.0001911005839	5	AC1L1KV5	LSM-1395	TUBB	10uM	MCF7	24h	LINCSCP_33044
LINCSCP_238298	0.996968161	0.000200306692	5	BAS 07162071	LSM-2175	NA	10uM	MCF7	24h	LINCSCP_238298
LINCSCP_5548	0.996866893	0.0002104226479	5	MLS002548992	LSM-3673	NA	10uM	A549	6h	LINCSCP_5548
LINCSCP_20662	0.9966770548	0.0002298275225	5	BRD-K78524708	LSM-6154	NA	10uM	HCC515	6h	LINCSCP_20662
LINCSCP_162962	0.996650437	0.0002325936013	5	Pelitinib	LSM-42796	EGFR	1.11uM	SKBR3	24h	LINCSCP_162962
LINCSCP_64803	0.9965494693	0.0002431855691	5	BRD-K76439996	LSM-13104	NA	10uM	VCAP	6h	LINCSCP_64803
LINCSCP_56963	0.9963546891	0.0002640572507	5	ST51005413	LSM-4948	NA	10uM	VCAP	24h	LINCSCP_56963
LINCSCP_19228	0.9962783899	0.0002723877477	5	Artesunate	LSM-4916	NA	10uM	HCC515	24h	LINCSCP_19228
LINCSCP_39287	-0.9960949049	0.0002927700953	5	Enzastaurin	LSM-1069	PRKCB	10uM	MDAMB231	6h	LINCSCP_39287
LINCSCP_53282	0.9959633761	0.0003076792092	5	Teniposide	LSM-1483	TOP2A	1uM	SKMEL1	6h	LINCSCP_53282
LINCSCP_184879	0.9958846998	0.0003167144416	5	BRD-K65824347	LSM-12442	NA	5uM	A375	24h	LINCSCP_184879
LINCSCP_83486	0.9958693957	0.0003184820622	5	Entinostat	LSM-4811	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	1.11uM	ASC.C	24h	LINCSCP_83486
LINCSCP_128075	0.9958432033	0.0003215148684	5	Ipatasertib	LSM-6341	AKT1|AKT2|AKT3	0.04uM	HUES3	24h	LINCSCP_128075
LINCSCP_58091	0.9957025543	0.0003379631147	5	BDBM82056	LSM-5188	CACNA1C|CACNA1D|CACNA1S	10uM	VCAP	24h	LINCSCP_58091
LINCSCP_152728	0.9956680359	0.0003420414445	5	1-(1,3-Benzodioxol-5-ylcarbonyl)piperidine	LSM-20930	NA	0.37uM	PC3	24h	LINCSCP_152728
LINCSCP_54414	-0.9954685941	0.0003659214705	5	Itrazole	LSM-5032	NA	10uM	SW948	6h	LINCSCP_54414
LINCSCP_142962	0.9954349602	0.0003700011701	5	Tazarotene	LSM-45376	RARA|RARB|RARG	3.33uM	MCF7	24h	LINCSCP_142962
LINCSCP_67359	0.9953055417	0.0003858389203	5	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	10uM	MCF7	24h	LINCSCP_67359
LINCSCP_19625	0.9952593568	0.0003915441131	5	atorvastatin	NA	DPP4|HMGCR	10uM	HCC515	6h	LINCSCP_19625
LINCSCP_14780	0.9952008174	0.0003988153671	5	Quipazine	LSM-3747	NA	10uM	HA1E	24h	LINCSCP_14780
LINCSCP_62703	0.9951647995	0.0004033112609	5	BRD-K92205342	LSM-14090	NA	5uM	VCAP	24h	LINCSCP_62703
LINCSCP_128927	0.9951048834	0.0004108272788	5	Cyclohexanecarboxamide, 4-(1-aminoethyl)-n-4-pyridinyl-, trans-	LSM-1177	ROCK1|ROCK2	0.37uM	HUVEC	24h	LINCSCP_128927
LINCSCP_44005	0.9950657139	0.0004157656862	5	SCHEMBL6668531	LSM-2236	SLC6A3	10uM	PC3	24h	LINCSCP_44005
LINCSCP_229861	0.9950378804	0.0004192867928	5	BRD-K20281332	LSM-9667	NA	5uM	HT29	24h	LINCSCP_229861
LINCSCP_137180	-0.9949378453	0.0004320230651	5	Sepantronium	LSM-5399	BIRC5	1.11uM	MCF7	24h	LINCSCP_137180
LINCSCP_83505	0.9949164667	0.0004347613527	5	Mocetinostat	LSM-5344	HDAC1|HDAC11|HDAC2|HDAC3|HDAC8	0.37uM	ASC.C	24h	LINCSCP_83505
LINCSCP_65964	0.9948851686	0.0004387805424	5	Cycloheximide	LSM-2791	RPL3	10uM	VCAP	24h	LINCSCP_65964
LINCSCP_193381	0.9948205562	0.0004471166482	5	Dexibuprofen	LSM-2323	PTGS1|PTGS2	10uM	A549	6h	LINCSCP_193381
LINCSCP_232998	-0.9948145149	0.0004478987541	5	BRD-K96477379	LSM-15004	NA	10uM	HT29	24h	LINCSCP_232998
LINCSCP_278071	0.9947208203	0.0004600863164	5	BRD-K03354784	LSM-8643	NA	10uM	PC3	24h	LINCSCP_278071
LINCSCP_19279	0.9946347436	0.0004713784792	5	CHEMBL416418	LSM-6211	ASAH1|UGCG	60uM	HCC515	24h	LINCSCP_19279
LINCSCP_92176	0.9946118832	0.0004743927525	5	L 655240	LSM-4003	NA	10uM	HA1E	24h	LINCSCP_92176
LINCSCP_19163	0.9946040888	0.0004754219491	5	Ipratropium	LSM-1497	CHRM1|CHRM2|CHRM3|CHRM4	10uM	HCC515	6h	LINCSCP_19163
LINCSCP_10243	0.9945008409	0.00048912484	5	Enalapril	LSM-3282	ACE	0.01uM	A549	6h	LINCSCP_10243
LINCSCP_62171	-0.994499073	0.0004893606009	5	BRD-K70689011	LSM-12741	NA	5uM	VCAP	24h	LINCSCP_62171
