signatureID	similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	cellLine	time	_row
LINCSCP_68493	-0.9798937113	2.50207734e-08	12	Withaferin A	LSM-6685	IKBKB|NAMPT	10uM	VCAP	24h	LINCSCP_68493
LINCSCP_153816	0.9791863293	2.970766503e-08	12	Salvinorin A	LSM-2433	OPRK1	10uM	PC3	24h	LINCSCP_153816
LINCSCP_85585	-0.9790404126	3.075617364e-08	12	Withaferin A	LSM-6685	IKBKB|NAMPT	3.33uM	BT20	3h	LINCSCP_85585
LINCSCP_2750	0.9782865237	3.665348759e-08	12	PI828	LSM-4198	NA	10uM	A375	6h	LINCSCP_2750
LINCSCP_116197	0.9772711261	4.598507165e-08	12	Vemurafenib	LSM-1068	BRAF	0.12uM	HT29	24h	LINCSCP_116197
LINCSCP_128570	0.9769877512	4.890076619e-08	12	MLN-0128	LSM-1206	MTOR	0.12uM	HUVEC	24h	LINCSCP_128570
LINCSCP_131793	-0.9722874407	1.228763174e-07	12	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	0.37uM	MCF10A	3h	LINCSCP_131793
LINCSCP_24558	0.9719507961	1.304492014e-07	12	AZD-6482	LSM-1059	PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	10uM	HS578T	6h	LINCSCP_24558
LINCSCP_24500	0.9714156065	1.432491443e-07	12	CHEMBL552425	LSM-1003	DDR1	10uM	HS578T	6h	LINCSCP_24500
LINCSCP_28634	-0.9711169533	1.508146643e-07	12	CHEMBL3182405	LSM-4793	NA	3.33uM	HT29	24h	LINCSCP_28634
LINCSCP_9114	0.9710474081	1.526212164e-07	12	PG 490	LSM-6185	NA	3uM	A549	24h	LINCSCP_9114
LINCSCP_67999	0.967363982	2.760360048e-07	12	Wortmannin	LSM-3947	PIK3CA|PIK3CG|PLK1	10uM	PC3	6h	LINCSCP_67999
LINCSCP_24486	0.9669159538	2.952871928e-07	12	CP466722	LSM-1009	ATM	10uM	HS578T	6h	LINCSCP_24486
LINCSCP_24479	0.9655112766	3.62666247e-07	12	AT-7519	LSM-1004	CDK1|CDK10|CDK11B|CDK12|CDK13|CDK14|CDK15|CDK16|CDK17|CDK18|CDK19|CDK2|CDK20|CDK3|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9	10uM	HS578T	6h	LINCSCP_24479
LINCSCP_30382	0.9642022613	4.359525052e-07	12	Arylmorpholine analog 37	LSM-3124	PRKDC	10uM	MCF7	6h	LINCSCP_30382
LINCSCP_47765	0.9636298538	4.714833479e-07	12	NCGC00018127-01	LSM-5967	TOP2A	10uM	PC3	6h	LINCSCP_47765
LINCSCP_40014	0.9630944308	5.067661967e-07	12	Ingenol 3,20-dibenzoate	LSM-4445	PRKCD|PRKCE	10uM	NCIH2073	6h	LINCSCP_40014
LINCSCP_9246	0.963073157	5.082102057e-07	12	Withaferin A	LSM-6685	IKBKB|NAMPT	0.001uM	A549	24h	LINCSCP_9246
LINCSCP_9111	0.962520611	5.468765602e-07	12	PG 490	LSM-6185	NA	0.5uM	A549	24h	LINCSCP_9111
LINCSCP_82486	0.9620786598	5.794562317e-07	12	CGP 60474	LSM-1025	CDK1	1.11uM	A549	24h	LINCSCP_82486
LINCSCP_85668	-0.9616242723	6.145420837e-07	12	Radicicol	LSM-43303	NA	10uM	BT20	3h	LINCSCP_85668
