signatureID	similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	cellLine	time	_row
LINCSCP_30683	0.8319680666	5.293008615e-11	39	PIK 90	LSM-6697	NA	10uM	MCF7	24h	LINCSCP_30683
LINCSCP_30604	0.8239193182	1.169945842e-10	39	AZD-2014	LSM-5754	MTOR	10uM	MCF7	24h	LINCSCP_30604
LINCSCP_81624	-0.8183097084	1.986738818e-10	39	THZ-2-98-01	LSM-44946	NA	0.37uM	A549	24h	LINCSCP_81624
LINCSCP_30565	0.8180157633	2.041618015e-10	39	TPCA-1	LSM-1136	IKBKB	10uM	MCF7	24h	LINCSCP_30565
LINCSCP_33425	0.8156002156	2.54933049e-10	39	PP 2	LSM-4153	LCK|SRC	10uM	MCF7	24h	LINCSCP_33425
LINCSCP_11754	0.8107621127	3.939715638e-10	39	AZD-6482	LSM-1059	PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	1uM	BT20	24h	LINCSCP_11754
LINCSCP_164631	-0.8098685943	4.263729844e-10	39	ABT737	LSM-1180	BCL2|BCL2L1|BCL2L2	1.11uM	SKL.C	24h	LINCSCP_164631
LINCSCP_67255	0.8044976483	6.79833311e-10	39	Wortmannin	LSM-3947	PIK3CA|PIK3CG|PLK1	10uM	MCF7	24h	LINCSCP_67255
LINCSCP_30615	0.804014039	7.085013314e-10	39	AZD-8055	LSM-1007	MTOR	10uM	MCF7	24h	LINCSCP_30615
LINCSCP_30783	0.8036604424	7.301719644e-10	39	PP-30	LSM-6238	RAF1	10uM	MCF7	6h	LINCSCP_30783
LINCSCP_30538	0.7981825271	1.155651172e-09	39	BMS-536924	LSM-1210	IGF1R	10uM	MCF7	24h	LINCSCP_30538
LINCSCP_30467	0.7737405462	7.652746725e-09	39	CHEMBL1242477	LSM-6208	PIK3CA|PIK3CB|PIK3CD|PIK3CG	20uM	MCF7	24h	LINCSCP_30467
LINCSCP_30496	0.7669676534	1.240417262e-08	39	BMS-754807	LSM-6218	IGF1R|INSR	10uM	MCF7	24h	LINCSCP_30496
LINCSCP_172772	0.7592207897	2.113816343e-08	39	Taselisib	LSM-45140	PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	3.33uM	YAPC	24h	LINCSCP_172772
LINCSCP_30493	0.7581879126	2.26612196e-08	39	Dactolisib	LSM-4255	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	0.5uM	MCF7	24h	LINCSCP_30493
LINCSCP_56359	-0.7522550192	3.357394496e-08	39	SB-218078	LSM-1274	CHEK1	10uM	VCAP	24h	LINCSCP_56359
LINCSCP_11775	0.7495834148	3.993342448e-08	39	MK-2206	LSM-1057	AKT1|AKT2|AKT3	1uM	BT20	24h	LINCSCP_11775
LINCSCP_38715	0.7490893348	4.122553587e-08	39	Raloxifene	LSM-3425	ESR1|ESR2	0.12uM	MCF7	24h	LINCSCP_38715
LINCSCP_67332	0.748316344	4.332510176e-08	39	Wortmannin	LSM-3947	PIK3CA|PIK3CG|PLK1	10uM	MCF7	6h	LINCSCP_67332
LINCSCP_38783	0.7476137569	4.531908978e-08	39	Tamoxifen	LSM-42959	ESR1|ESR2	10uM	MCF7	24h	LINCSCP_38783
LINCSCP_12102	0.7438045047	5.769501205e-08	39	GSK 1059615	LSM-42799	PIK3CA|PIK3CB|PIK3CD|PIK3CG	0.1uM	BT20	24h	LINCSCP_12102
LINCSCP_52281	0.7410425175	6.855433875e-08	39	331771-20-1	LSM-1096	AURKA|AURKB	10uM	SKB	24h	LINCSCP_52281
LINCSCP_113136	0.7396674087	7.464073118e-08	39	Dasatinib	LSM-1020	ABL1|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|YES1	1.11uM	HME1	24h	LINCSCP_113136
LINCSCP_30652	0.7389726273	7.790290285e-08	39	Tozasertib	LSM-1021	ABL1|AURKA|AURKB|AURKC|BCR|FLT3|JAK2	10uM	MCF7	24h	LINCSCP_30652
LINCSCP_36556	0.7383449877	8.096294524e-08	39	OSI-027	LSM-1063	MTOR	10uM	MCF7	24h	LINCSCP_36556
LINCSCP_32908	0.7377903014	8.375965667e-08	39	Toremifene	LSM-42973	ESR1|ESR2	10uM	MCF7	24h	LINCSCP_32908
LINCSCP_30674	0.737216759	8.67453849e-08	39	Tamoxifen	LSM-42959	ESR1|ESR2	30uM	MCF7	24h	LINCSCP_30674
LINCSCP_32420	0.7357263779	9.497134406e-08	39	3,6-Dimethyl-9-[6-(oxiran-2-yl)-6-oxohexyl]decahydropyrrolo[1,2-a][1,4,7,10]tetraazacyclododecine-1,4,7,10-tetrone	LSM-5046	NA	10uM	MCF7	24h	LINCSCP_32420
LINCSCP_36528	0.7350170638	9.913500326e-08	39	MK-2206	LSM-1057	AKT1|AKT2|AKT3	10uM	MCF7	24h	LINCSCP_36528
LINCSCP_33162	0.7338341484	1.064567688e-07	39	Wortmannin	LSM-1318	PIK3CA|PIK3CG|PLK1	10uM	MCF7	6h	LINCSCP_33162
LINCSCP_11739	0.7335744082	1.081301141e-07	39	Pictilisib	LSM-1047	PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	1uM	BT20	24h	LINCSCP_11739
LINCSCP_11738	0.7295716483	1.3720015e-07	39	Pictilisib	LSM-1047	PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	10uM	BT20	24h	LINCSCP_11738
LINCSCP_244300	0.7274694936	1.552174228e-07	39	Erlotinib	LSM-1097	EGFR	10uM	MCF7	6h	LINCSCP_244300
