signatureID	similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	cellLine	time	_row
LINCSCP_99543	-0.7028507009	0.01079010054	12	Pelitinib	LSM-42796	EGFR	0.37uM	HCC515	24h	LINCSCP_99543
LINCSCP_87759	0.7028395783	0.01079189502	12	SU 11274	LSM-42792	MET	10uM	HA1E	24h	LINCSCP_87759
LINCSCP_109821	-0.7028327144	0.01079300252	12	Tosedostat	LSM-6286	ANPEP|C9orf3|DNPEP|ENPEP|ERAP1|ERAP2|LAP3|LNPEP|LVRN|METAP1|METAP1D|METAP2|NPEPL1|NPEPPS|RNPEP|RNPEPL1|XPNPEP1|XPNPEP2|XPNPEP3	10uM	HELA	24h	LINCSCP_109821
LINCSCP_132546	0.7028157828	0.01079573484	12	AZD-8055	LSM-1007	MTOR	3.33uM	MCF7	24h	LINCSCP_132546
LINCSCP_132126	0.7028071619	0.01079712622	12	Alpelisib	LSM-4256	PIK3CA	10uM	MCF7	24h	LINCSCP_132126
LINCSCP_64484	0.7028054845	0.01079739697	12	SCHEMBL16226502	LSM-43056	HSP90AA1	5uM	VCAP	24h	LINCSCP_64484
LINCSCP_33987	-0.7027795105	0.01080158997	12	BRD-K18249495	LSM-38239	NA	10uM	MCF7	6h	LINCSCP_33987
LINCSCP_51588	-0.7027660526	0.01080376297	12	Tamatinib	LSM-1040	SYK	0.5uM	SKBR3	6h	LINCSCP_51588
LINCSCP_115787	-0.7027396758	0.01080802287	12	rifampicin	NA	NA	3.33uM	HS578T	24h	LINCSCP_115787
LINCSCP_109437	-0.7027114492	0.01081258291	12	IMD-0354	LSM-3667	IKBKB	10uM	HELA	24h	LINCSCP_109437
LINCSCP_253486	0.7026992849	0.01081454851	12	SA-1920756	LSM-38561	NA	10uM	MCF7	24h	LINCSCP_253486
LINCSCP_110774	-0.7026912249	0.01081585104	12	Tanaproget	LSM-45780	NA	3.33uM	HELA	24h	LINCSCP_110774
LINCSCP_51172	-0.7026908361	0.01081591388	12	ZINC77024257	LSM-1171	MDM2	10uM	RMUGS	6h	LINCSCP_51172
LINCSCP_116303	0.7026779863	0.01081799072	12	Foretinib	LSM-1158	FLT1|FLT3|FLT4|KDR|KIT|MET|PDGFRA|PDGFRB|TEK	1.11uM	HT29	24h	LINCSCP_116303
LINCSCP_169693	0.7026773204	0.01081809835	12	Everolimus	LSM-43172	FKBP1A|MTOR	3.33uM	YAPC	24h	LINCSCP_169693
LINCSCP_108959	-0.7026733044	0.01081874751	12	Cyclosporin A	LSM-42829	PPIA|PPP3CA	10uM	HELA	24h	LINCSCP_108959
LINCSCP_157391	-0.702656451	0.01082147202	12	LGX818	LSM-45655	NA	10uM	PC3	24h	LINCSCP_157391
LINCSCP_92242	-0.7026328482	0.01082528851	12	Ketotifen	LSM-2637	HRH1	10uM	HA1E	24h	LINCSCP_92242
LINCSCP_79847	-0.7026023924	0.01083021457	12	Dequalinium	LSM-5846	NA	1.11uM	A375	24h	LINCSCP_79847
LINCSCP_132076	0.7025911905	0.01083202685	12	Apitolisib (gdc-0980, rg7422)	LSM-4257	PIK3CA|PIK3CB|PIK3CD|PIK3CG|MTOR	0.12uM	MCF7	24h	LINCSCP_132076
LINCSCP_54501	0.7025836959	0.01083323947	12	BMS-754807	LSM-6218	IGF1R|INSR	10uM	SW948	6h	LINCSCP_54501
LINCSCP_5269	-0.7025756775	0.01083453694	12	ML228	LSM-2978	HIF1A	10uM	A549	6h	LINCSCP_5269
LINCSCP_38518	0.7025701107	0.01083543779	12	Raloxifene	LSM-3425	ESR1|ESR2	0.12uM	MCF7	24h	LINCSCP_38518
LINCSCP_159358	-0.7025662774	0.01083605815	12	SPECTRUM2_000920	LSM-1590	NA	1.11uM	PC3	24h	LINCSCP_159358
LINCSCP_64648	-0.702544385	0.01083960157	12	BRD-K36451640	LSM-39264	NA	10uM	VCAP	24h	LINCSCP_64648
LINCSCP_114443	0.7024859125	0.01084906995	12	PF-03758309	LSM-4254	PAK4	0.37uM	HME1	24h	LINCSCP_114443
LINCSCP_243474	0.7024788268	0.01085021775	12	Acetazolamide	LSM-5543	CA1|CA12|CA14|CA2|CA4|CA7	10uM	MCF7	24h	LINCSCP_243474
LINCSCP_124921	0.7024656606	0.01085235075	12	Ricolinostat	LSM-6324	NA	0.37uM	HT29	24h	LINCSCP_124921
LINCSCP_129409	0.7024245744	0.01085900895	12	Tivantinib	LSM-1131	MET	0.12uM	JURKAT	24h	LINCSCP_129409
LINCSCP_5314	-0.7024156967	0.01086044803	12	MLS002264388	LSM-3816	NA	10uM	A549	6h	LINCSCP_5314
LINCSCP_51499	0.7023999836	0.01086299545	12	OSI-027	LSM-1063	MTOR	10uM	SKBR3	24h	LINCSCP_51499
LINCSCP_136836	0.7023970899	0.01086346463	12	Pictilisib	LSM-1047	PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	10uM	MCF7	24h	LINCSCP_136836
LINCSCP_35347	0.7023965811	0.01086354714	12	BRD-K63671514	LSM-12307	NA	10uM	MCF7	24h	LINCSCP_35347
LINCSCP_149778	0.7023866466	0.01086515802	12	MLN-0128	LSM-1206	MTOR	1.11uM	NPC.TAK	24h	LINCSCP_149778
LINCSCP_3884	-0.7023724105	0.01086746672	12	SCHEMBL16980366	LSM-6847	NA	10uM	A375	24h	LINCSCP_3884
LINCSCP_16720	0.7023467667	0.01087162636	12	Dovitinib	LSM-1127	EGFR|FGFR1|FGFR2|FGFR3|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB	10uM	HA1E	6h	LINCSCP_16720
LINCSCP_99894	0.7023464257	0.01087168169	12	PI-103	LSM-1126	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG	10uM	HCC515	24h	LINCSCP_99894
LINCSCP_34701	0.7023222219	0.01087560886	12	N-Acetyl-d-leucine	LSM-5235	NA	10uM	MCF7	6h	LINCSCP_34701
LINCSCP_26916	-0.7022848401	0.01088167626	12	Spiperone	LSM-3235	ADRA1A|DRD2|DRD3|DRD4|HTR1A|HTR2A|HTR7	10uM	HT29	6h	LINCSCP_26916
LINCSCP_68936	0.7022829473	0.01088198354	12	Trichostatin A, Streptomyces Sp.	LSM-42814	HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8	0.1uM	VCAP	6h	LINCSCP_68936
LINCSCP_20079	-0.7022476305	0.01088771822	12	Tunicamycin From Streptomyces Sp.	LSM-43169	GNPTAB	10uM	HCC515	6h	LINCSCP_20079
LINCSCP_26579	-0.7022445798	0.0108882137	12	MLS000583957	LSM-1763	NA	10uM	HT29	6h	LINCSCP_26579
LINCSCP_160410	-0.7022254157	0.01089132657	12	BAY 87-2243	LSM-45786	NA	0.12uM	PC3	24h	LINCSCP_160410
LINCSCP_49803	0.7022182281	0.01089249425	12	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	PC3	6h	LINCSCP_49803
LINCSCP_69244	-0.7022080139	0.01089415377	12	Erlotinib	LSM-1097	EGFR	3.33uM	A375	24h	LINCSCP_69244
LINCSCP_53461	-0.702179281	0.01089882306	12	Quiflapon	LSM-6242	ALOX5AP	80uM	SKMEL28	6h	LINCSCP_53461
LINCSCP_123851	0.7021766028	0.01089925837	12	RO4987655	LSM-45489	MAP2K1|MAP2K2	10uM	HT29	24h	LINCSCP_123851
LINCSCP_10530	-0.7021737996	0.01089971399	12	Phloretin	LSM-6221	NA	100uM	AGS	6h	LINCSCP_10530
LINCSCP_7046	0.702166104	0.01090096491	12	Clocortolone Pivalate	LSM-2844	NR3C1	10uM	A549	24h	LINCSCP_7046
LINCSCP_17287	0.7021245445	0.01090772225	12	L-Sulforaphane	LSM-4919	NFE2L2	10uM	HA1E	24h	LINCSCP_17287
LINCSCP_142208	-0.702121987	0.01090813818	12	BAY 87-2243	LSM-45786	NA	0.37uM	MCF7	24h	LINCSCP_142208
LINCSCP_115267	-0.7021149322	0.0109092856	12	CP466722	LSM-1009	ATM	3.33uM	HS578T	3h	LINCSCP_115267
LINCSCP_67635	0.7021027943	0.01091125995	12	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	MCF7	24h	LINCSCP_67635
LINCSCP_73349	-0.7020994408	0.01091180547	12	Baricitinib	LSM-6709	JAK1|JAK2	10uM	A375	24h	LINCSCP_73349
LINCSCP_33339	-0.7020980533	0.01091203119	12	Syrosingopine	LSM-2297	NA	10uM	MCF7	24h	LINCSCP_33339
LINCSCP_81286	0.7020825105	0.0109145599	12	Dactolisib	LSM-4255	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	10uM	A549	24h	LINCSCP_81286
