term	id	nGeneIds	pvalue	adjPvalue	oddsRatio	nOverlap	batch	timepoint	cellLine	batch2	perturbation	concentration	direction
XPR009_BICR6.311_96H_P04_AMY2A down	03a21fc7-a7b1-4e4d-8ee9-76d9693a2b7e	250	1.0560366700837367e-11	1.771823605249844e-05	25.5015	9	XPR009	BICR6.311	96H	P04	AMY2A	N/A	down
LJP008_HEK293_24H_H06_UNC-669_0.04uM up	79990cf9-75e2-4826-aa00-ada7ead20705	250	5.477470148438239e-10	2.2414943420488828e-05	22.668	8	LJP008	HEK293	24H	H06	UNC-669	0.04uM	up
XPR024_ES2.311_96H_F02_SNAPC4 up	de61f6c2-9e83-461a-a0fa-fb966bd09e04	250	5.477470148438239e-10	2.2414943420488828e-05	22.668	8	XPR024	ES2.311	96H	F02	SNAPC4	N/A	up
DOS032_A549_24H_L05_BRD-K48058738_4uM up	c9f0f301-8727-40d2-9d1a-62e2a1c537f0	250	5.477470148438239e-10	2.2414943420488828e-05	22.668	8	DOS032	A549	24H	L05	BRD-K48058738	4uM	up
XPR024_ES2.311_96H_H15_SMARCD1 down	48424992-87c7-4ce9-b8bc-d074bca185a2	250	5.477470148438239e-10	2.2414943420488828e-05	22.668	8	XPR024	ES2.311	96H	H15	SMARCD1	N/A	down
CPC006_VCAP_6H_H01_XAV-939_12uM up	4a8024a7-21f8-42eb-97fb-16d9af518be0	250	5.477470148438239e-10	2.2414943420488828e-05	22.668	8	CPC006	VCAP	6H	H01	XAV-939	12uM	up
MOAR008_JHH5_24H_G14_minodronic-acid_3.33uM up	51d14ff3-9bfb-46f1-b5ab-88554915849a	250	5.477470148438239e-10	2.2414943420488828e-05	22.668	8	MOAR008	JHH5	24H	G14	minodronic-acid	3.33uM	up
XPR033_MCF7.311_96H_P06_HMOX2 up	c6839b62-f69b-4fa5-93bc-00dc9ed7ca49	250	5.477470148438239e-10	2.2414943420488828e-05	22.668	8	XPR033	MCF7.311	96H	P06	HMOX2	N/A	up
DOSVAL003_MCF7_24H_M17_SA-89210_10uM up	6dc0b21f-2bc9-49c8-9cf5-dc866ba90373	250	5.477470148438239e-10	2.2414943420488828e-05	22.668	8	DOSVAL003	MCF7	24H	M17	SA-89210	10uM	up
XPR011_BICR6.311_96H_M21_ABCC1 down	5fda3e32-c8d5-4d5c-9fa0-b694c5ca6164	250	5.477470148438239e-10	2.2414943420488828e-05	22.668	8	XPR011	BICR6.311	96H	M21	ABCC1	N/A	down
