term	id	nGeneIds	pvalue	adjPvalue	oddsRatio	nOverlap	batch	timepoint	cellLine	batch2	perturbation	concentration	direction
REP.B005_PC3_24H_E21_deforolimus_0.25uM down	844632e8-9494-4475-93dc-667e173dd140	250	6.104341835959248e-10	0.0008976879799058044	2.9201932367149754	40	REP.B005	PC3	24H	E21	deforolimus	0.25uM	down
DOSVAL001_A549_24H_C21_wortmannin_10uM down	c1fba918-4d4d-4c7d-a518-5c90605e57eb	250	2.1401485390872108e-09	0.0008976879799058044	2.8471884057971018	39	DOSVAL001	A549	24H	C21	wortmannin	10uM	down
REP.B005_PC3_24H_E22_deforolimus_0.08uM down	179c1307-11fb-4e40-92b9-977925459637	250	2.1401485390872108e-09	0.0008976879799058044	2.8471884057971018	39	REP.B005	PC3	24H	E22	deforolimus	0.08uM	down
PAC016_U2OS_6H_I13_BRD-K49461735_10uM up	28d494f0-0a3b-42c2-ba9f-c94e09685ad0	250	2.1401485390872108e-09	0.0008976879799058044	2.8471884057971018	39	PAC016	U2OS	6H	I13	BRD-K49461735	10uM	up
PBIOA010_XC.R10_24H_B17_NVP-BEZ235_3.33uM down	e879a7ba-60f3-4959-8496-47a0c0299a5b	250	7.270743453188471e-09	0.0011089899744978985	2.774183574879227	38	PBIOA010	XC.R10	24H	B17	NVP-BEZ235	3.33uM	down
REP.B011_YAPC_24H_F17_nicotine_0.03uM down	ef543691-c6b3-4739-8d71-a3ad1625e39f	250	7.270743453188471e-09	0.0011089899744978985	2.774183574879227	38	REP.B011	YAPC	24H	F17	nicotine	0.03uM	down
ERG005_VCAP_24H_I09_fulvestrant_1.11uM up	98fb3ae4-0e92-4052-b265-0b7768bbde6e	250	7.270743453188471e-09	0.0011089899744978985	2.774183574879227	38	ERG005	VCAP	24H	I09	fulvestrant	1.11uM	up
REP.B005_PC3_24H_E23_deforolimus_0.03uM down	b860447a-74e1-4bdb-a52d-47f844b74faa	250	7.270743453188471e-09	0.0011089899744978985	2.774183574879227	38	REP.B005	PC3	24H	E23	deforolimus	0.03uM	down
CPC010_MCF7_24H_C14_BRD-K99582188_10uM up	84e1dcf0-7f2e-4e9d-ad76-8e4dd95764fe	250	7.270743453188471e-09	0.0011089899744978985	2.774183574879227	38	CPC010	MCF7	24H	C14	BRD-K99582188	10uM	up
FIBR012_MCLF015CN_6H_H19_BRD-K55591206_4uM up	ea4ff069-43b1-4766-9d0f-ffb3f3ab46ad	250	7.270743453188471e-09	0.0011089899744978985	2.774183574879227	38	FIBR012	MCLF015CN	6H	H19	BRD-K55591206	4uM	up
REP.A010_JURKAT_24H_A16_cefepime_0.37uM up	4cc1fe4a-28b6-47a0-ba2f-bfec34d0e555	250	7.270743453188471e-09	0.0011089899744978985	2.774183574879227	38	REP.A010	JURKAT	24H	A16	cefepime	0.37uM	up
REP.B015_PC3_24H_L04_MLN-0128_0.08uM down	d751a93a-c659-484b-8953-a91736034222	250	2.392215202350957e-08	0.0019112717274192609	2.7011787439613526	37	REP.B015	PC3	24H	L04	MLN-0128	0.08uM	down
MUC.CP008_MCF7_24H_I19_GDC-0349_10uM down	0780c95c-cd0a-4395-891f-2c2a367c0173	250	2.392215202350957e-08	0.0019112717274192609	2.7011787439613526	37	MUC.CP008	MCF7	24H	I19	GDC-0349	10uM	down
REP.A001_PC3_24H_I02_PKI-179_3.33uM down	a9453b01-6bbe-49c2-a5ad-d24337ad8378	250	2.392215202350957e-08	0.0019112717274192609	2.7011787439613526	37	REP.A001	PC3	24H	I02	PKI-179	3.33uM	down
XPR012_MCF7.311_96H_J07_BFSP2 down	0fcf72bc-adc3-4d94-a646-45f314058a7b	250	2.392215202350957e-08	0.0019112717274192609	2.7011787439613526	37	XPR012	MCF7.311	96H	J07	BFSP2	N/A	down
REP.B005_PC3_24H_E19_deforolimus_2.22uM down	dd8a10c5-5de0-425c-b903-32609b2d6869	250	2.392215202350957e-08	0.0019112717274192609	2.7011787439613526	37	REP.B005	PC3	24H	E19	deforolimus	2.22uM	down
ASG003_A549_6H_P11_ixazomib_1.11uM down	63e33c8e-2701-448d-89e1-d4bebe4e1828	250	2.392215202350957e-08	0.0019112717274192609	2.7011787439613526	37	ASG003	A549	6H	P11	ixazomib	1.11uM	down
REP.A010_JURKAT_24H_O22_iguratimod_0.37uM up	9397b09a-7630-46a1-9b69-1fe20ef5565a	250	2.392215202350957e-08	0.0019112717274192609	2.7011787439613526	37	REP.A010	JURKAT	24H	O22	iguratimod	0.37uM	up
PAC019_U2OS_6H_D14_BRD-K88762178_10uM up	1cd77589-cc72-4f84-a447-ee4d9f6ed208	250	2.392215202350957e-08	0.0019112717274192609	2.7011787439613526	37	PAC019	U2OS	6H	D14	BRD-K88762178	10uM	up
REP.A001_MCF7_24H_I04_PKI-179_0.37uM down	04819007-3259-4f8d-814e-4013296980cf	250	2.392215202350957e-08	0.0019112717274192609	2.7011787439613526	37	REP.A001	MCF7	24H	I04	PKI-179	0.37uM	down
PAC002_U2OS_6H_F11_bromhexine_10uM down	ffbf68ab-f71f-4ae5-93f4-29a1658704fe	250	2.392215202350957e-08	0.0019112717274192609	2.7011787439613526	37	PAC002	U2OS	6H	F11	bromhexine	10uM	down
REP.A013_MCF7_24H_F17_atipamezole_0.125uM down	5a35bce3-6978-400c-aeaa-01c7a1ba08bf	250	7.618222414835146e-08	0.0034545653131682385	2.6281739130434785	36	REP.A013	MCF7	24H	F17	atipamezole	0.125uM	down
POL001_JURKAT_24H_P14_GSK-2126458_3.33uM down	e402765b-9b9d-43cc-870f-7dfb0f0574df	250	7.618222414835146e-08	0.0034545653131682385	2.6281739130434785	36	POL001	JURKAT	24H	P14	GSK-2126458	3.33uM	down
ASG003_XC.L10_24H_L10_AZD-8055_10uM down	a0305cc2-8ea7-4ef6-a089-3c4d1e62a6f3	250	7.618222414835146e-08	0.0034545653131682385	2.6281739130434785	36	ASG003	XC.L10	24H	L10	AZD-8055	10uM	down
MUC.CP008_MCF7_24H_I22_GDC-0349_0.37uM down	eb3f5ad8-3f56-4bee-b5f8-86372032ebc8	250	7.618222414835146e-08	0.0034545653131682385	2.6281739130434785	36	MUC.CP008	MCF7	24H	I22	GDC-0349	0.37uM	down
REP.A013_A375_24H_H06_CGP-12177_0.04uM up	5eb18dc6-f4eb-4d79-8c2a-d714a7c218dd	250	7.618222414835146e-08	0.0034545653131682385	2.6281739130434785	36	REP.A013	A375	24H	H06	CGP-12177	0.04uM	up
CPC014_VCAP_6H_I01_torin-2_10uM down	cbd6c70b-9b5d-4445-8783-ad0a43f5cf9d	250	7.618222414835146e-08	0.0034545653131682385	2.6281739130434785	36	CPC014	VCAP	6H	I01	torin-2	10uM	down
ASG003_XC.P091_24H_D07_olaparib_10uM down	fba51cec-45de-48a4-880d-467416b5fd2d	250	7.618222414835146e-08	0.0034545653131682385	2.6281739130434785	36	ASG003	XC.P091	24H	D07	olaparib	10uM	down
REP.B001_PC3_24H_I03_PKI-179_0.25uM down	be44a6d6-b574-47cb-94ea-084639b668ec	250	7.618222414835146e-08	0.0034545653131682385	2.6281739130434785	36	REP.B001	PC3	24H	I03	PKI-179	0.25uM	down
