term	id	nGeneIds	pvalue	adjPvalue	oddsRatio	nOverlap	batch	timepoint	cellLine	batch2	perturbation	concentration	direction
LCP001_MCF10A.WT_3H_I07_alpelisib_10uM up	d4c8420f-ce6f-4fe8-b678-f72e6f293d83	250	9.029112786920505e-24	1.5149090579459156e-17	11.334	30	LCP001	MCF10A.WT	3H	I07	alpelisib	10uM	up
FIBR005_MCLF033SZ_6H_P04_PP-110_4uM up	60ab1de7-5a69-42ef-acd7-75a9582ab4de	250	1.5005365521740836e-22	1.2588038649602192e-16	10.9562	29	FIBR005	MCLF033SZ	6H	P04	PP-110	4uM	up
REP.A009_MCF10A_24H_N13_rociletinib_10uM up	f3a259c1-32f4-4da9-8ceb-403dc72c9254	250	3.5679400875418673e-20	1.9954359061927273e-14	10.2006	27	REP.A009	MCF10A	24H	N13	rociletinib	10uM	up
FIBR036_MCLF137CN_6H_D17_BMS-754807_2.22uM up	d0287768-644e-4c69-a8a2-b8e0f64943cc	250	5.093993999330219e-19	1.7093457204092476e-13	9.8228	26	FIBR036	MCLF137CN	6H	D17	BMS-754807	2.22uM	up
LJP001_MCF10A_24H_E03_NVP-TAE684_10uM up	8150491e-1561-4eb1-b520-9b378d32c4a2	250	5.093993999330219e-19	1.7093457204092476e-13	9.8228	26	LJP001	MCF10A	24H	E03	NVP-TAE684	10uM	up
LJP006_LNCAP_3H_F05_MK-2206_0.12uM up	908c2482-d4ef-4d4d-b372-74ef5b14ec3c	250	6.897919581104179e-18	1.1573363962774497e-12	9.445	25	LJP006	LNCAP	3H	F05	MK-2206	0.12uM	up
LJP005_BT20_3H_M13_NVP-BEZ235_10uM up	1a502e30-c637-4c97-aa67-e0568389e638	250	6.897919581104179e-18	1.1573363962774497e-12	9.445	25	LJP005	BT20	3H	M13	NVP-BEZ235	10uM	up
FIBR010_MCLF123SZ_6H_C01_tivozanib_4uM up	0cc78052-1e9e-439d-9a55-6a1d17a1fd0f	250	6.897919581104179e-18	1.1573363962774497e-12	9.445	25	FIBR010	MCLF123SZ	6H	C01	tivozanib	4uM	up
FIBR015_MCLF022CN_6H_P04_PP-110_4uM up	680e0de2-9a8a-4287-95f7-4c3385927ebc	250	6.897919581104179e-18	1.1573363962774497e-12	9.445	25	FIBR015	MCLF022CN	6H	P04	PP-110	4uM	up
LCP001_MCF10A.WT_3H_G20_ZSTK-474_3.33uM up	7ceeb495-5d99-4577-abe5-381ea90d3bce	250	6.897919581104179e-18	1.1573363962774497e-12	9.445	25	LCP001	MCF10A.WT	3H	G20	ZSTK-474	3.33uM	up
FIBR001_MCLF117SZ_6H_C23_SB-216763_4uM down	17db2d9c-a415-428a-a69e-8b1f540a52aa	250	8.847638527582971e-17	9.277882599857092e-12	9.067200000000001	24	FIBR001	MCLF117SZ	6H	C23	SB-216763	4uM	down
LJP005_BT20_3H_K19_GDC-0980_10uM up	56ee9d9a-2650-40db-b279-d53c3aafbde0	250	8.847638527582971e-17	9.277882599857092e-12	9.067200000000001	24	LJP005	BT20	3H	K19	GDC-0980	10uM	up
FIBR020_MCLF135CN_6H_I15_kenpaullone_4uM down	669ee677-4fcc-4d44-a15a-bed637051be4	250	8.847638527582971e-17	9.277882599857092e-12	9.067200000000001	24	FIBR020	MCLF135CN	6H	I15	kenpaullone	4uM	down
PAC044_U2OS_6H_H16_BRD-K06158553_10uM down	eb7000f7-5e5e-4819-98d9-444d3a641bba	250	8.847638527582971e-17	9.277882599857092e-12	9.067200000000001	24	PAC044	U2OS	6H	H16	BRD-K06158553	10uM	down
FIBR018_MCLF076SZ_6H_O22_COT-10b_4uM down	367c3ffc-0b4e-4cf6-b5dc-4d5b1c2ff409	250	8.847638527582971e-17	9.277882599857092e-12	9.067200000000001	24	FIBR018	MCLF076SZ	6H	O22	COT-10b	4uM	down
FIBR005_MCLF033SZ_6H_D17_BMS-754807_2.22uM up	5dae3692-5a47-4dbf-9dd6-586e58206c78	250	8.847638527582971e-17	9.277882599857092e-12	9.067200000000001	24	FIBR005	MCLF033SZ	6H	D17	BMS-754807	2.22uM	up
