sig_id	x	y	DBSCAN-clustering	KMeans-clustering	p-value	Cell	Dose	Perturbation_ID	Time	Perturbation	EHR_Coprescribed_Drugs	EHR_Diagnoses	Phase	MOA	rings	scaffolds	n_rings	n_scaffolds	predicted_MOA	R2_Score	Batch	Scores
CPC019_PC3_24H:BRD-K58479490-001-03-3:10	2.6382401118	-3.7672467443	0	17	0.0	PC3	10.0	BRD-K58479490	24.0	BRD-K58479490	unknown	unknown	unknown	unknown	O1c2ccccc2CCNCCC1	c1ccc(cc1)NCc2ccccc2	2.0	6.0	mTOR inhibitor	0.2257860005	CPC019	-0.0172413793
CPC008_A375_24H:BRD-K24156250-001-06-1:10	6.0455087944	3.0634447813	0	12	0.0	A375	10.0	BRD-K24156250	24.0	BRD-K24156250	unknown	unknown	unknown	unknown	n1cnc2sccc2c1	N1=N[N]C(=N1)Sc2ncnc3sccc32	2.0	3.0	cyclooxygenase inhibitor	0.1467020083	CPC008	-0.0862068966
CPC008_A549_6H:BRD-K76907295-001-03-8:10	5.8173399362	-5.6855794662	1	9	0.0	A549	10.0	BRD-K76907295	6.0	VU-0418947-2	unknown	unknown	unknown	unknown	c1ccccc1	c1ccc(cc1)-c2ccccc2	3.0	12.0	HDAC inhibitor	0.265093003	CPC008	0.0517241379
CPC016_MCF7_24H:BRD-K63675182-003-14-5:10	0.1800158605	-2.0890420464	0	18	0.0	MCF7	10.0	BRD-K63675182	24.0	triflupromazine	unknown	unknown	Launched	dopamine receptor antagonist	S1c2ccccc2Nc3ccccc13	unknown	1.0	0.0	dopamine receptor antagonist	0.1755972217	CPC016	0.0172413793
CPC006_VCAP_6H:BRD-K71726959-001-06-7:122.55	-3.6986525244	3.9852016987	0	8	0.0	VCAP	122.55	BRD-K71726959	6.0	BRD-K71726959	unknown	unknown	unknown	unknown	c1ccccc1	n1cnc(NCc2ccccc2)c3N=C[N]c13	2.0	1.0	CDK inhibitor	0.2362949352	CPC006	0.0344827586
CPC018_A375_6H:BRD-K91301684-003-03-0:10	-2.4672098547	1.654567379	0	16	0.0077	A375	10.0	BRD-K91301684	6.0	noscapine	unknown	unknown	Launched	bradykinin receptor antagonist, tubulin polymerization inhibitor	O1c2cc3c(cc2OC1)CCNC3	O1c2cc3c(cc2OC1)C(NCC3)C4OCc5ccccc54	2.0	1.0	adrenergic receptor antagonist	-0.0050306637	CPC018	0.0344827586
CPC015_HEPG2_6H:BRD-K92093830-003-05-0:10	-9.0445695397	9.1960760937	2	2	0.0	HEPG2	10.0	BRD-K92093830	6.0	doxorubicin	CYCLOPHOSPHAMIDE	Other specified prophylactic or treatment measure	Launched	topoisomerase inhibitor	O1CCCCC1	O1CCCCC1OC2c3cc4c(cc3CCC2)Cc5ccccc5C4	2.0	1.0	topoisomerase inhibitor	0.8868381621	CPC015	0.0689655172
CPC014_VCAP_6H:BRD-K56064827-001-05-4:10	-3.3704292631	-0.0706393212	0	21	0.0	VCAP	10.0	BRD-K56064827	6.0	EI-273	unknown	unknown	unknown	unknown	c1ccccc1	c1ccc(cc1)-c2ccccc2	1.0	1.0	topoisomerase inhibitor	-0.0617016485	CPC014	0.0
CPC014_HT29_6H:BRD-K56957086-001-02-2:10	-4.1932381258	-9.4860236175	3	13	0.0	HT29	10.0	BRD-K56957086	6.0	dacinostat	unknown	unknown	Phase 1	HDAC inhibitor	c1ccccc1	c1ccc(cc1)CNCCc2c[nH]c3ccccc32	2.0	1.0	HDAC inhibitor	0.1203217912	CPC014	-0.0689655172
DOS007_VCAP_24H:BRD-K88378636:10	7.6348586492	1.7278220566	0	1	0.0	VCAP	10.0	BRD-K88378636	24.0	withaferin-a	unknown	unknown	unknown	unknown	O1CC=CCC1	O1CC=CCC1CC2CCC3C2CCC4C3CC5OC65CC=CCC46	2.0	1.0	NFkB pathway inhibitor	0.0958901832	DOS007	-0.1034482759
CPC020_PC3_6H:BRD-A75144621-001-02-8:10	3.1671642864	6.3811290521	4	4	0.0	PC3	10.0	BRD-A75144621	6.0	digoxin	FUROSEMIDE	Congestive heart failure, unspecified	Launched	ATPase inhibitor	O1CCCCC1	O1CC=C(C1)C2CCC3C2CCC4C5CCCCC5CCC34	2.0	9.0	protein synthesis inhibitor	0.4780992525	CPC020	0.0517241379
CPC005_HCC515_6H:BRD-K18518344-001-03-5:10	2.9343969722	6.3257509969	4	4	0.0007	HCC515	10.0	BRD-K18518344	6.0	digitoxigenin	unknown	unknown	Preclinical	ATPase inhibitor	C1CCC2C(C1)CCC3C4CCCC4CCC23	O1CC=C(C1)C2CCC3C2CCC4C5CCCCC5CCC34	1.0	1.0	protein synthesis inhibitor	0.2743914832	CPC005	0.0172413793
CPC009_VCAP_6H:BRD-K14939371-019-01-9:10	-3.3242805456	-4.3916930774	0	29	0.0091	VCAP	10.0	BRD-K14939371	6.0	BRD-K14939371	unknown	unknown	unknown	unknown	n1csc2ccccc12	n1c(sc2ccccc12)-c3csc4c3CCNC4	2.0	1.0	PI3K inhibitor	0.0295777617	CPC009	-0.0344827586
CPC001_VCAP_24H:BRD-A59215453-003-03-3:10	-2.5159961287	0.8901908824	0	21	0.0161	VCAP	10.0	BRD-A59215453	24.0	lobelanidine	unknown	unknown	unknown	unknown	c1ccccc1	c1ccc(cc1)CCC2NC(CCc3ccccc3)CCC2	2.0	2.0	histamine receptor antagonist	0.013630721	CPC001	0.0172413793
CPC006_HT29_24H:BRD-A70155556-001-04-4:40	-0.1951931591	-5.058808575	0	11	0.0	HT29	40.0	BRD-A70155556	24.0	lovastatin	FELODIPINE	Unspecified disorder of lipoid metabolism	Launched	HMGCR inhibitor	C1=CCCC2C1=CCCC2	unknown	1.0	0.0	glucocorticoid receptor agonist	0.2077267798	CPC006	-0.0172413793
CPC013_MCF7_24H:BRD-K83643280-001-01-1:10	8.0854927814	0.7810260294	0	1	0.0	MCF7	10.0	BRD-K83643280	24.0	BG-FA-0953	unknown	unknown	unknown	unknown	N1=C[N]c2ccccc12	N1=C([N]c2ccccc12)C=Cc3occc3	1.0	1.0	calcium channel blocker	0.2092641629	CPC013	0.0
CPC017_A375_6H:BRD-K13646352-001-01-2:10	-1.452641326	0.0092819969	0	10	0.0	A375	10.0	BRD-K13646352	6.0	midostaurin	unknown	unknown	Phase 3	FLT3 inhibitor, KIT inhibitor	O1C2n3c4ccccc4c5c3c6c(c7ccccc7n6C1CCC2)c8c5CNC8	O1C2n3c4ccccc4c5c3c6c(c7ccccc7n6C1CC(NCc8ccccc8)C2)c9c5CNC9	2.0	1.0	mTOR inhibitor	0.2575048303	CPC017	-0.0517241379
CPC007_PC3_24H:BRD-K87964538-001-07-4:10	3.8138082615	-4.9760992572	1	9	0.0	PC3	10.0	BRD-K87964538	24.0	BRD-K87964538	unknown	unknown	unknown	unknown	n1cnc2sc3c(c2c1)CCCC3	n1cc2c(nc1-n3nccc3)sc4c2CCCC4	1.0	1.0	CDK inhibitor	0.1151324763	CPC007	0.0
CPC002_HCC515_24H:BRD-K08547377-003-03-2:10	3.5219910056	6.159994719	4	4	0.0	HCC515	10.0	BRD-K08547377	24.0	irinotecan	LEUCOVORIN	Other specified prophylactic or treatment measure	Launched	topoisomerase inhibitor	n1c2ccccc2cc3c1C4=CC5=C([CH]N4C3)COCC5	N1CCC(N2CCCCC2)CC1	2.0	3.0	topoisomerase inhibitor	0.1333610335	CPC002	0.1034482759
CPC014_HT29_6H:BRD-K09790412-001-03-8:10	-6.0859245306	5.7499264739	5	25	0.0	HT29	10.0	BRD-K09790412	6.0	H-9	unknown	unknown	unknown	unknown	n1ccc2ccccc2c1	unknown	1.0	0.0	histamine receptor antagonist	0.098139742	CPC014	0.0689655172
MUC.CP005_MCF7_6H:BRD-A72703248-003-01-5:3.3333	-4.9365727318	-0.3674891752	0	6	0.0161	MCF7	3.3333	BRD-A72703248	6.0	SKF-96365	unknown	unknown	Preclinical	calcium channel blocker	c1ccccc1	n1ccn(c1)CCc2ccccc2	1.0	4.0	adrenergic receptor antagonist	0.176134109	MUC.CP005	-0.0172413793
CPC019_PC3_24H:BRD-K38340366-001-06-6:10	-8.6067505211	-5.8441647634	6	7	0.0	PC3	10.0	BRD-K38340366	24.0	MW-STK33-1C	unknown	unknown	unknown	unknown	c1ccccc1	N1=CSC(=Cc2ccccc2)C1	1.0	3.0	PLK inhibitor	-0.0345606661	CPC019	-0.0172413793
CPC016_ASC_24H:BRD-A30437061-001-02-7:10	-2.8897904388	5.4681419513	0	27	0.0004	ASC	10.0	BRD-A30437061	24.0	camptothecin	unknown	unknown	Phase 3	topoisomerase inhibitor	n1c2ccccc2cc3c1C4=CC5=C([CH]N4C3)COCC5	unknown	1.0	0.0	topoisomerase inhibitor	0.1216499724	CPC016	0.0
CPC009_VCAP_6H:BRD-K55070890-001-02-1:10	-0.1016285861	-4.6328957032	0	11	0.0	VCAP	10.0	BRD-K55070890	6.0	thiothixene	BENZTROPINE	Paranoid type schizophrenia, chronic	Launched	dopamine receptor antagonist	S1c2ccccc2Cc3ccccc13	S1c2ccccc2C(=CCCN3CCNCC3)c4ccccc14	2.0	1.0	dopamine receptor antagonist	0.2143185391	CPC009	0.0344827586
CPC004_PC3_24H:BRD-A93236127-001-03-7:10	3.1047849127	6.5927299531	4	4	0.0	PC3	10.0	BRD-A93236127	24.0	digitoxin	unknown	unknown	Launched	ATPase inhibitor	O1CCCCC1	O1CC=C(C1)C2CCC3C2CCC4C5CCCCC5CCC34	2.0	9.0	protein synthesis inhibitor	0.2963373598	CPC004	0.0517241379
CPC006_HA1E_6H:BRD-K87947369-001-01-6:10	-3.1401453649	-2.6528050007	0	3	0.0	HA1E	10.0	BRD-K87947369	6.0	tozasertib	unknown	unknown	Phase 2	Aurora kinase inhibitor, Bcr-Abl kinase inhibitor	n1cnccc1	n1cnc(cc1)N2CCNCC2	3.0	12.0	Aurora kinase inhibitor	0.211278051	CPC006	-0.0172413793
CPC009_VCAP_24H:BRD-K42489623-001-06-4:10	8.6815938026	-0.3183771041	0	23	0.0	VCAP	10.0	BRD-K42489623	24.0	BRD-K42489623	unknown	unknown	unknown	unknown	n1cnc2sccc2c1	N1=N[N]C(=N1)Sc2ncnc3sccc32	2.0	3.0	cyclooxygenase inhibitor	0.2400278831	CPC009	-0.0517241379
CPC004_PC3_24H:BRD-K87343924-001-02-4:10	-3.3311425889	-0.5920243015	0	6	0.0	PC3	10.0	BRD-K87343924	24.0	wortmannin	unknown	unknown	Preclinical	PI3K inhibitor	o1cc2c3c1CC4=C(CCC5CCCC45)C3COC2	unknown	1.0	0.0	PI3K inhibitor	0.2885441492	CPC004	0.0862068966
CPC011_VCAP_24H:BRD-K18909381-050-07-8:10	-3.4133453253	-0.1158908488	0	6	0.0351	VCAP	10.0	BRD-K18909381	24.0	CGS-12066B	unknown	unknown	unknown	unknown	n1cc2cccn2c3ccccc13	n1c2ccccc2n3cccc3c1N4CCNCC4	2.0	1.0	histamine receptor antagonist	0.2295193161	CPC011	-0.0517241379
CPC016_HT29_6H:BRD-K93658967-001-01-7:10	-0.1596166827	1.2685166272	0	15	0.0	HT29	10.0	BRD-K93658967	6.0	aloisine	unknown	unknown	unknown	unknown	c1ccccc1	n1ccnc2C=C([N]c12)c3ccccc3	2.0	1.0	estrogen receptor agonist	0.1517829224	CPC016	-0.0344827586
CPC012_HT29_6H:BRD-A43155244-001-01-2:10	8.1991648688	1.4378663662	0	1	0.0	HT29	10.0	BRD-A43155244	6.0	BRD-A43155244	unknown	unknown	unknown	unknown	c1ccccc1	c1ccc(cc1)C=CCN2CC=CCC2	2.0	3.0	protein synthesis inhibitor	0.191417163	CPC012	-0.0862068966
CPC013_VCAP_24H:BRD-K28789065-001-01-1:10	-9.3130766086	-1.5440237324	7	14	0.0021	VCAP	10.0	BRD-K28789065	24.0	BRD-K28789065	unknown	unknown	unknown	unknown	c1ccccc1	c1ccc(cc1)C=C2C=CNC2	1.0	7.0	cyclooxygenase inhibitor	0.3194217292	CPC013	0.0344827586
CPC019_PC3_24H:BRD-K88278225-001-01-9:10	-0.9070455692	-0.1113042566	0	10	0.0	PC3	10.0	BRD-K88278225	24.0	BRD-K88278225	unknown	unknown	unknown	unknown	O1c2ccccc2CCNCCC1	c1ccc(cc1)NCc2ccccc2	2.0	6.0	mTOR inhibitor	0.1016441644	CPC019	0.0
CPC013_SKB_24H:BRD-K97764662-001-08-2:10	0.3926538076	-0.6369428907	0	26	0.0	SKB	10.0	BRD-K97764662	24.0	PD-173074	unknown	unknown	Preclinical	FGFR inhibitor, VEGFR inhibitor	c1ccccc1	n1cnc2ncc(cc2c1)-c3ccccc3	2.0	1.0	tubulin polymerization inhibitor	0.0294865785	CPC013	-0.1034482759
CPC014_MCF7_24H:BRD-K75081836-001-01-3:10	-3.9686601531	-9.7093494901	3	13	0.0	MCF7	10.0	BRD-K75081836	24.0	BRD-K75081836	unknown	unknown	unknown	unknown	c1ccccc1	unknown	1.0	0.0	HDAC inhibitor	0.142216343	CPC014	0.0
MUC.CP001_MCF7_6H:BRD-K94127894-001-01-0:10.2021	-0.7803795459	2.1571395763	0	16	0.0147	MCF7	10.2021	BRD-K94127894	6.0	SA-89068	unknown	unknown	unknown	unknown	O1c2ccccc2CNCCC1	O1c2ccc(cc2CNCCC1)NCCc3c[nH]c4ccccc43	3.0	3.0	topoisomerase inhibitor	0.1179363963	MUC.CP001	-0.0517241379
CPC006_HT29_24H:BRD-K08417745-001-02-9:88.8	0.358404792	0.4120082923	0	15	0.0	HT29	88.8	BRD-K08417745	24.0	SID-26681509	unknown	unknown	unknown	unknown	c1ccccc1	S(CNNCCCc1c[nH]c2ccccc21)CCNc3ccccc3	2.0	1.0	HDAC inhibitor	0.329997498	CPC006	0.1034482759
CPC011_VCAP_24H:BRD-K82357231-001-11-8:10	0.1711845275	-5.3014391249	0	11	0.0	VCAP	10.0	BRD-K82357231	24.0	desloratadine	OLOPATADINE	Other specified urticaria	Launched	histamine receptor antagonist	n1cccc2c1Cc3ccccc3CC2	n1cccc2c1C(c3ccccc3CC2)=C4CCNCC4	2.0	1.0	histamine receptor antagonist	-0.0667042055	CPC011	0.0
CPC012_ASC_24H:BRD-A76490030-001-06-0:10	0.0116041036	2.1499806169	0	15	0.0	ASC	10.0	BRD-A76490030	24.0	K784-3131	unknown	unknown	unknown	unknown	C1CCCCC1	n1cccc(c1)CNc2ccccc2	2.0	4.0	EGFR inhibitor	0.1346966657	CPC012	0.0
CPC011_VCAP_24H:BRD-K63265447-001-05-8:10	-6.6893077414	-2.3587689203	8	19	0.0	VCAP	10.0	BRD-K63265447	24.0	docetaxel	PALONOSETRON	Other specified prophylactic or treatment measure	Launched	tubulin polymerization inhibitor	c1ccccc1	O(Cc1ccccc1)C2C3CC(=CCC3)CCC4CCC5OCC5C24	2.0	3.0	tubulin polymerization inhibitor	0.0440943705	CPC011	0.0
CPC013_MCF7_6H:BRD-K58900438-001-01-7:10	2.1346977189	2.1998468954	0	28	0.0	MCF7	10.0	BRD-K58900438	6.0	BRD-K58900438	unknown	unknown	unknown	unknown	C1CCCCC1	n1c2ccccc2nc3c1ccn3C4CCCCC4	2.0	1.0	HSP inhibitor	0.1422368136	CPC013	-0.0689655172
CPC010_A549_6H:BRD-K65955264-005-03-8:10	1.1186874899	1.8385085217	0	15	0.0007	A549	10.0	BRD-K65955264	6.0	BRD-K65955264	unknown	unknown	unknown	unknown	n1ccccc1	n1ccccc1C=Cc2ccccc2	2.0	1.0	histamine receptor antagonist	0.2363060115	CPC010	-0.0344827586
PCLB002_HCC515_24H:BRD-A19500257:0.04	-1.5066700637	2.3731584443	0	16	0.0	HCC515	0.04	BRD-A19500257	24.0	geldanamycin	unknown	unknown	Preclinical	HSP inhibitor	C=1C=CCCC=CCCCCCCC2=CCC=C(NCC1)C2	unknown	1.0	0.0	HSP inhibitor	0.0401483782	PCLB002	-0.0172413793
CPC014_PC3_6H:BRD-K53561341-001-02-6:10	-1.2165942688	-1.2330168101	0	0	0.001	PC3	10.0	BRD-K53561341	6.0	KIN001-220	unknown	unknown	Preclinical	Aurora kinase inhibitor	n1cnccc1	c1ccc(cc1)NCc2ccccc2	3.0	10.0	EGFR inhibitor	0.1743888649	CPC014	-0.0862068966
CPC015_MCF7_24H:BRD-K19136521-001-03-0:10	1.2536535821	1.4842720062	0	15	0.0	MCF7	10.0	BRD-K19136521	24.0	indirubin	unknown	unknown	Preclinical	CDK inhibitor, glycogen synthase kinase inhibitor	c1ccc2c(c1)NCC2	c1ccc2c(c1)NCC2=C3Nc4ccccc4C3	1.0	1.0	MEK inhibitor	0.2645739513	CPC015	-0.0172413793
CPC018_NPC_24H:BRD-K78126613-001-16-0:10	-0.2626078664	2.274744705	0	16	0.0	NPC	10.0	BRD-K78126613	24.0	menadione	unknown	unknown	Launched	mitochondrial DNA polymerase inhibitor, phosphatase inhibitor	c1ccc2c(c1)CC=CC2	unknown	1.0	0.0	cyclooxygenase inhibitor	0.0656926602	CPC018	-0.1379310345
CPC006_MCF7_24H:BRD-K17140735-300-02-4:11.1	4.120698495	-0.2176339067	-1	5	0.0	MCF7	11.1	BRD-K17140735	24.0	SCH-79797	unknown	unknown	unknown	unknown	n1cnc2ccc3[nH]ccc3c2c1	n1cc2c(nc1NC3CC3)ccc4c2ccn4Cc5ccccc5	2.0	3.0	CDK inhibitor	0.1449262658	CPC006	0.0862068966
CPC007_VCAP_24H:BRD-K18595892-001-09-6:10	-0.0502048857	-4.918416244	0	11	0.0	VCAP	10.0	BRD-K18595892	24.0	BRD-K18595892	unknown	unknown	unknown	unknown	c1ccccc1	n1ccoc1-c2ccccc2	2.0	3.0	dopamine receptor antagonist	0.2464605395	CPC007	0.0172413793
CPC010_MCF7_24H:BRD-K70771662-001-04-7:10	0.5841783608	-0.1619196464	0	26	0.0028	MCF7	10.0	BRD-K70771662	24.0	BRD-K70771662	unknown	unknown	unknown	unknown	c1ccccc1	c1ccc(cc1)NCc2ccccc2	1.0	3.0	cyclooxygenase inhibitor	0.2927742739	CPC010	-0.0344827586
CPC007_HCC515_6H:BRD-A93942655-001-02-2:10	6.3115069523	2.6323807724	0	12	0.0028	HCC515	10.0	BRD-A93942655	6.0	BRD-A93942655	unknown	unknown	unknown	unknown	c1ccccc1	O(Cc1ccccc1)CCNC2C3CC4CC(C3)CC2C4	2.0	1.0	calcium channel blocker	0.131254025	CPC007	-0.0517241379
CPC014_A549_24H:BRD-K77008974-001-01-6:10	-3.4772398274	-0.9922234321	0	6	0.0	A549	10.0	BRD-K77008974	24.0	WYE-354	unknown	unknown	Preclinical	mTOR inhibitor	N=1[N]c2ncncc2C1	N=1[N]c2nc(ncc2C1)-c3ccccc3	4.0	7.0	PI3K inhibitor	0.268768432	CPC014	0.1206896552
CPC011_VCAP_6H:BRD-K32398298-001-02-2:10	-3.0772805465	-4.9237584155	-1	29	0.0012	VCAP	10.0	BRD-K32398298	6.0	alprazolam	ZOLPIDEM	Anxiety state, unspecified	unknown	unknown	n1nc2n(c1)-c3ccccc3C=NC2	n1nc2n(c1)-c3ccccc3C(=NC2)c4ccccc4	2.0	1.0	cyclooxygenase inhibitor	0.1548915134	CPC011	0.0
LJP002_BT20_24H:BRD-K42918627-001-01-9:0.08	-2.6558569908	-0.8656318415	0	0	0.0	BT20	0.08	BRD-K42918627	24.0	GSK-2126458	unknown	unknown	unknown	unknown	c1ccccc1	n1cccc(c1)NSc2ccccc2	4.0	6.0	cyclooxygenase inhibitor	0.1610443586	LJP002	0.0689655172
CPC009_A375_6H:BRD-K46681113-001-01-0:10	0.3086000209	-0.1269004863	0	26	0.026	A375	10.0	BRD-K46681113	6.0	BRD-K46681113	unknown	unknown	unknown	unknown	c1ccccc1	c1ccc(cc1)Cc2ccccc2	2.0	10.0	dopamine receptor antagonist	0.2133170587	CPC009	-0.0689655172
NMH002_NPC_24H:BRD-K61250553-003-24-9:10	-1.9055564106	0.6299824465	0	10	0.0	NPC	10.0	BRD-K61250553	24.0	loperamide	DIPHENOXYLATE	Diarrhea	Launched	opioid receptor agonist	c1ccccc1	c1ccc(cc1)Cc2ccccc2	2.0	6.0	dopamine receptor antagonist	0.3396061229	NMH002	0.0344827586
CPC006_SW620_6H:BRD-M86331534-373-01-5:10	-0.0535485286	1.512433328	0	15	0.0	SW620	10.0	BRD-M86331534	6.0	pyrvinium-pamoate	unknown	unknown	Launched	androgen receptor antagonist	c1ccccc1	c1ccc(cc1)-n2cccc2	2.0	3.0	histamine receptor antagonist	0.200584719	CPC006	-0.0172413793
CPC001_VCAP_24H:BRD-K76840893-003-01-7:10	0.4743441737	-5.4335644441	0	11	0.0	VCAP	10.0	BRD-K76840893	24.0	RS-17053	unknown	unknown	Preclinical	adrenergic receptor antagonist	c1ccccc1	O(c1ccccc1)CC2CC2	2.0	3.0	adrenergic receptor antagonist	0.2359752613	CPC001	-0.1034482759
HOG003_MCF7_24H:BRD-A47829399-001-01-1:3.3333	3.2468136258	-1.4740651187	0	5	0.0	MCF7	3.3333	BRD-A47829399	24.0	artesunate	unknown	unknown	Launched	DNA synthesis inhibitor	O1OC23C4OCCC3CCCC2CCC1O4	unknown	1.0	0.0	protein synthesis inhibitor	0.2545510409	HOG003	-0.1206896552
CPC008_MCF7_6H:BRD-A31946439-019-01-5:10	-8.3914555711	8.7949668705	2	2	0.0	MCF7	10.0	BRD-A31946439	6.0	BRD-A31946439	unknown	unknown	unknown	unknown	N1CC2CNCC2C1	n1ccccc1NCN2CC3CN(c4ccccc4)CC3C2	3.0	3.0	PI3K inhibitor	0.0932754404	CPC008	0.0172413793
CPC006_A375_6H:BRD-K53903639-001-01-3:80	-2.7837452432	-1.1010877521	0	6	0.0	A375	80.0	BRD-K53903639	6.0	CHEMBL-1222381	unknown	unknown	unknown	unknown	unknown	n1occc1CNC2CC2	0.0	3.0	cyclooxygenase inhibitor	0.0402957874	CPC006	0.0172413793
CPC007_VCAP_6H:BRD-K58214070-001-07-3:10	8.14080225	0.7220090575	0	1	0.0	VCAP	10.0	BRD-K58214070	6.0	BRD-K58214070	unknown	unknown	unknown	unknown	c1ccccc1	unknown	1.0	0.0	calcium channel blocker	0.1129103756	CPC007	-0.0517241379
CPC013_PC3_6H:BRD-K71670746-001-01-6:10	0.5559129184	-0.5228481844	0	26	0.0	PC3	10.0	BRD-K71670746	6.0	BRD-K71670746	unknown	unknown	unknown	unknown	c1ccccc1	N1=C(OC2c3ccccc3CNCC12)c4ccccc4	2.0	3.0	dopamine receptor antagonist	0.1579827811	CPC013	-0.1206896552
CPC012_HT29_6H:BRD-K40094191-001-01-7:10	-0.9510144037	1.0813265912	0	10	0.0308	HT29	10.0	BRD-K40094191	6.0	BRD-K40094191	unknown	unknown	unknown	unknown	n1cncnc1	n1nc(SCc2ncncn2)n(n1)-c3ccccc3	2.0	3.0	cyclooxygenase inhibitor	0.0473996885	CPC012	0.0
CPC020_A549_6H:BRD-K77877933-001-01-4:10	5.003201437	1.8781949607	0	12	0.0	A549	10.0	BRD-K77877933	6.0	I-606061	unknown	unknown	unknown	unknown	O1CCCCC1	c1ccc(cc1)-c2ccccc2	2.0	25.0	topoisomerase inhibitor	0.2518448813	CPC020	-0.0862068966
CPC005_VCAP_24H:BRD-A78942461-003-01-3:10	-1.2395877202	1.7004445381	0	16	0.0469	VCAP	10.0	BRD-A78942461	24.0	ICI-118551	unknown	unknown	unknown	unknown	c1ccc2c(c1)CCC2	unknown	1.0	0.0	adrenergic receptor antagonist	unknown	CPC005	0.0172413793
CPC019_PC3_24H:BRD-K88008216-001-01-1:10	2.6597073784	-1.7526033613	0	17	0.0	PC3	10.0	BRD-K88008216	24.0	BRD-K88008216	unknown	unknown	unknown	unknown	O1c2ccccc2CCNCCC1	O1c2ccc(cc2CCNCCC1)NCNc3ccccc3	2.0	3.0	dopamine receptor antagonist	0.3193526085	CPC019	-0.0862068966
CPC017_HT29_6H:BRD-K08502430-001-01-0:10	1.0475091072	2.9234760712	0	28	0.0	HT29	10.0	BRD-K08502430	6.0	angiogenesis-inhibitor	unknown	unknown	unknown	unknown	c1ccc2c(c1)NCC2	[N]1C=NC(=C1)C=C2c3ccccc3NC2	1.0	1.0	PARP inhibitor	0.0709992363	CPC017	-0.1551724138
CPC008_A375_6H:BRD-K14749055-001-01-3:10	0.635484212	-0.7116492738	0	26	0.007	A375	10.0	BRD-K14749055	6.0	BRD-K14749055	unknown	unknown	unknown	unknown	c1ccc2c(c1)CNCC2	c1ccc(cc1)Cc2ccccc2	2.0	6.0	dopamine receptor antagonist	0.1902372081	CPC008	-0.0689655172
CPC019_PC3_6H:BRD-K23582869-001-01-3:10	2.9385640954	-2.2620069369	0	17	0.014	PC3	10.0	BRD-K23582869	6.0	BRD-K23582869	unknown	unknown	unknown	unknown	O1c2ccccc2CCNCCC1	O(c1ccccc1)c2ccccc2	2.0	6.0	adrenergic receptor antagonist	0.2810059744	CPC019	-0.1724137931
CPC017_MCF7_24H:BRD-A27143604-001-01-2:10	-0.7742585146	-0.2447404228	0	0	0.0273	MCF7	10.0	BRD-A27143604	24.0	DPN	unknown	unknown	Preclinical	estrogen receptor agonist	c1ccccc1	c1ccc(cc1)CCc2ccccc2	1.0	1.0	estrogen receptor agonist	-0.0744498168	CPC017	-0.0517241379
CPC014_HA1E_6H:BRD-K49669041-001-02-7:10	-4.295066509	3.8810254335	0	8	0.0	HA1E	10.0	BRD-K49669041	6.0	BX-912	unknown	unknown	Preclinical	pyruvate dehydrogenase kinase inhibitor	n1cnccc1	n1cccnc1Nc2ccccc2	2.0	6.0	CDK inhibitor	0.1774073692	CPC014	0.0344827586
CPC006_HA1E_24H:BRD-K92241597-001-02-9:80	-0.1459979579	-1.0599735196	0	26	0.0	HA1E	80.0	BRD-K92241597	24.0	tosedostat	unknown	unknown	Phase 2	peptidase inhibitor	c1ccccc1	O(CCc1ccccc1)C2CCCC2	1.0	1.0	HDAC inhibitor	0.1366669683	CPC006	-0.1034482759
MUC.CP005_MCF7_24H:BRD-K32896438-001-01-8:10	6.6302447921	1.6129279977	0	12	0.0	MCF7	10.0	BRD-K32896438	24.0	BRD-K32896438	unknown	unknown	unknown	unknown	c1ccccc1	O1CC2N(CC3(c4ccccc4NC3)C2)C(c5ccccc5)C1c6ccccc6	2.0	15.0	protein synthesis inhibitor	0.1772937242	MUC.CP005	-0.1034482759
CPC001_VCAP_24H:BRD-A66927094-001-01-7:10	-0.9753955736	1.1737052342	0	10	0.042	VCAP	10.0	BRD-A66927094	24.0	nemonapride	unknown	unknown	Launched	dopamine receptor antagonist	c1ccccc1	c1ccc(cc1)CN2CCCC2	1.0	3.0	EGFR inhibitor	-0.0051006223	CPC001	-0.0172413793
CPC001_VCAP_6H:BRD-K84987553-001-01-1:10	5.0100679029	1.0858243954	0	24	0.0	VCAP	10.0	BRD-K84987553	6.0	MDM2-inhibitor	unknown	unknown	unknown	unknown	c1ccccc1	c1ccc(cc1)C=CCc2ccccc2	1.0	1.0	MEK inhibitor	0.0100273046	CPC001	-0.0862068966
CPC015_HT29_6H:BRD-A06390036-001-03-8:10	3.7395620301	1.1000707089	0	24	0.0007	HT29	10.0	BRD-A06390036	6.0	hydroquinidine	unknown	unknown	Launched	antiarrhythmic	N12CCC(CC1)CC2	n1ccc(c2ccccc12)CC3N4CCC(CC4)C3	2.0	1.0	adrenergic receptor antagonist	-0.5602876387	CPC015	-0.0172413793
CPC018_A549_6H:BRD-K12244279-001-02-5:10	-1.8627728961	-1.0521294755	0	0	0.0	A549	10.0	BRD-K12244279	6.0	MEK1-2-inhibitor	unknown	unknown	Preclinical	MEK inhibitor	c1ccccc1	S(C=Cc1ccccc1)c2ccccc2	1.0	1.0	MEK inhibitor	0.0271980259	CPC018	-0.0517241379
