sig_id	x	y	DBSCAN-clustering	KMeans-clustering	p-value	Cell	Dose	Perturbation_ID	Time	Perturbation	EHR_Coprescribed_Drugs	EHR_Diagnoses	Phase	MOA	rings	scaffolds	n_rings	n_scaffolds	predicted_MOA	R2_Score	Batch	Scores
CPC008_A549_6H:BRD-K48654774-001-01-5:10	0.1887906752	0.7879812469	0	15	0.0	A549	10.0	BRD-K48654774	6.0	BRD-K48654774	unknown	unknown	unknown	unknown	n1cnc2sccc2c1	c1ccc(cc1)CC2CCNCC2	3.0	3.0	adrenergic receptor antagonist	0.0714644653	CPC008	-0.0344827586
CPC004_HCC515_24H:BRD-A67862938-034-09-9:10	-1.2864644095	0.6814816976	0	10	0.0175	HCC515	10.0	BRD-A67862938	24.0	naftidrofuryl	unknown	unknown	Launched	adrenergic receptor antagonist	c1ccc2ccccc2c1	O1CCCC1CCCc2cccc3ccccc32	1.0	1.0	histamine receptor antagonist	-0.3878231031	CPC004	0.0344827586
CPC019_MCF7_24H:BRD-K67870070-001-01-4:10	-9.0750084263	-5.7395160079	6	7	0.0	MCF7	10.0	BRD-K67870070	24.0	SA-247615	unknown	unknown	unknown	unknown	O1c2ccccc2CCNCCC1	c1ccc(cc1)NCc2ccccc2	2.0	3.0	dopamine receptor antagonist	0.2549765309	CPC019	-0.0172413793
CPC017_HT29_6H:BRD-K64341947-003-01-6:10	-0.0982018244	-3.4118891097	0	18	0.0301	HT29	10.0	BRD-K64341947	6.0	CFM-1571	unknown	unknown	Preclinical	guanylate cyclase activator	c1ccccc1	n1cccn1Cc2ccccc2	1.0	3.0	adrenergic receptor antagonist	0.0408546839	CPC017	0.0
CPC012_HA1E_6H:BRD-K86472598-001-02-7:10	-0.0007263459	2.801249005	0	28	0.0	HA1E	10.0	BRD-K86472598	6.0	MD-II-051	unknown	unknown	unknown	unknown	c1ccccc1	c1ccc(cc1)C=CCN2CC=CCC2	2.0	3.0	calcium channel blocker	0.205086992	CPC012	0.0
CPC012_HA1E_6H:BRD-A19248578-001-02-9:10	-4.3179607122	-9.3184411438	3	13	0.0	HA1E	10.0	BRD-A19248578	6.0	latrunculin-b	unknown	unknown	Phase 1	actin polymerization inhibitor	O1CC=CCCC=CCCCC2OCCC1C2	O1CC=CCCC=CCCCC2OC(CC1C2)C3NCSC3	1.0	1.0	NFkB pathway inhibitor	0.2260245367	CPC012	0.0
CPC006_AGS_6H:BRD-K68185022-001-06-4:70.07	-0.7756049665	0.0453133656	0	10	0.0021	AGS	70.07	BRD-K68185022	6.0	ursolic-acid	unknown	unknown	Phase 1	ATPase inhibitor, NFkB pathway inhibitor	C1=C2C3CCCCC3CCC2C4CCC5CCCCC5C4C1	unknown	1.0	0.0	glucocorticoid receptor agonist	0.2615049363	CPC006	-0.0344827586
CPC001_PC3_6H:BRD-K92678294-001-01-0:10	-0.8754111841	1.2569765489	0	10	0.0098	PC3	10.0	BRD-K92678294	6.0	irilin-a	unknown	unknown	unknown	unknown	c1ccccc1	O1C=C([CH]c2ccccc12)c3ccccc3	2.0	1.0	MEK inhibitor	-0.5948127279	CPC001	-0.0172413793
CPC017_NPC_24H:BRD-K82823804-001-01-7:10	2.4424683085	-4.2237363747	0	17	0.0	NPC	10.0	BRD-K82823804	24.0	SA-792987	unknown	unknown	Preclinical	PKC inhibitor	c1ccccc1	c1ccc(cc1)-c2cc3[nH]c4ccccc4c3c5c2CNC5	2.0	1.0	PARP inhibitor	0.2260379833	CPC017	-0.1724137931
CPC018_A549_6H:BRD-K00824317-001-03-0:10	-7.968063051	0.9084730285	13	20	0.0	A549	10.0	BRD-K00824317	6.0	fludroxycortide	DESONIDE	Lichenification and lichen simplex chronicus	Launched	glucocorticoid receptor agonist	O1COC2C1CC3C2CCC4C5C(=CCCC5)CCC43	unknown	1.0	0.0	glucocorticoid receptor agonist	0.3190843757	CPC018	0.0172413793
