signatureID	similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	cellLine	time	_row
LINCSCP_146902	0.9998426821	2.36859512e-06	5	I-BET151	LSM-6335	NA	0.04uM	NEU	24h	LINCSCP_146902
LINCSCP_163765	0.9996745511	7.047529645e-06	5	Lapatinib	LSM-1051	EGFR|ERBB2	0.12uM	SKBR3	24h	LINCSCP_163765
LINCSCP_44930	-0.9993682208	1.906077851e-05	5	GF-109203	LSM-2677	PRKCA	10uM	PC3	24h	LINCSCP_44930
LINCSCP_163894	0.9993377918	2.045420425e-05	5	BMS-345541	LSM-1028	IKBKB	1.11uM	SKBR3	3h	LINCSCP_163894
LINCSCP_43452	-0.9993054967	2.196848226e-05	5	BG-1025	LSM-45126	NA	10uM	NPC	24h	LINCSCP_43452
LINCSCP_270753	-0.9992221677	2.603827176e-05	5	CHEMBL2359949	LSM-39623	NA	10uM	PC3	24h	LINCSCP_270753
LINCSCP_65416	-0.9992145674	2.642080877e-05	5	BRD-K15234288	LSM-38064	NA	10uM	VCAP	6h	LINCSCP_65416
LINCSCP_67765	-0.9992098526	2.665904232e-05	5	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	NPC	24h	LINCSCP_67765
LINCSCP_42115	-0.9991400595	3.026777264e-05	5	Panobinostat	LSM-43059	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	10uM	NPC	24h	LINCSCP_42115
LINCSCP_143091	-0.9991250579	3.10631737e-05	5	MG-132	LSM-1107	PSMB1	20uM	MCF7	24h	LINCSCP_143091
LINCSCP_83597	-0.9989268846	4.219233955e-05	5	UNC0638	LSM-6325	NA	0.04uM	ASC.C	24h	LINCSCP_83597
LINCSCP_45939	-0.9988994846	4.381838493e-05	5	Tozasertib	LSM-1021	ABL1|AURKA|AURKB|AURKC|BCR|FLT3|JAK2	10uM	PC3	24h	LINCSCP_45939
LINCSCP_14688	-0.9988703694	4.556851982e-05	5	Perphenazine	LSM-2224	DRD2	10uM	HA1E	24h	LINCSCP_14688
LINCSCP_17227	-0.9988641625	4.594456646e-05	5	Curcumin	LSM-43083	PTGS1|PTGS2	10uM	HA1E	24h	LINCSCP_17227
LINCSCP_60732	0.9988032651	4.968814622e-05	5	BRD-K09584843	LSM-8136	NA	5uM	VCAP	24h	LINCSCP_60732
LINCSCP_66450	-0.9987817168	5.103602748e-05	5	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	10uM	A375	24h	LINCSCP_66450
LINCSCP_149401	-0.998717884	5.509869476e-05	5	PD-0325901	LSM-1101	MAP2K1|MAP2K2	0.12uM	NPC	24h	LINCSCP_149401
LINCSCP_9249	-0.9986752316	5.787052952e-05	5	Withaferin A	LSM-6685	IKBKB|NAMPT	10uM	A549	24h	LINCSCP_9249
LINCSCP_55720	-0.9986736778	5.797236179e-05	5	TWS 119	LSM-1111	GSK3B	10uM	VCAP	24h	LINCSCP_55720
LINCSCP_138655	0.9986220694	6.138822672e-05	5	ascorbic-acid	LSM-45932	NA	3.33uM	MCF7	24h	LINCSCP_138655
