signatureID	similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	cellLine	time	_row
LINCSCP_28329	0.9733461755	1.01311098e-07	12	BRD-K02952507	LSM-6740	NA	10uM	HT29	24h	LINCSCP_28329
LINCSCP_206607	0.9687753023	2.218223161e-07	12	Fatostatin	LSM-6295	SREBF1|SREBF2	10uM	DV90	6h	LINCSCP_206607
LINCSCP_23616	0.9658747885	3.441635702e-07	12	6-(4-Hydroxy-6-methoxy-7-methyl-3-oxo-1H-2-benzofuran-5-yl)-4-methylhex-4-enoic acid	LSM-2681	IMPDH1|IMPDH2	3uM	HEPG2	6h	LINCSCP_23616
LINCSCP_42089	0.9566090015	1.126105938e-06	12	BRD-K95985487-001-01-3	LSM-36800	NA	0.1uM	NOMO1	6h	LINCSCP_42089
LINCSCP_90423	0.9554509743	1.282093272e-06	12	MK-0752	LSM-45266	NA	10uM	HA1E	24h	LINCSCP_90423
LINCSCP_42856	0.953770502	1.538461881e-06	12	TyrphostinAG835	LSM-42895	EGFR	10uM	NPC	24h	LINCSCP_42856
LINCSCP_222123	0.9530484653	1.660381044e-06	12	SMR000064811	LSM-22739	NA	3uM	HL60	24h	LINCSCP_222123
LINCSCP_221121	0.9422090786	4.605235053e-06	12	CL-82198	LSM-1992	MMP13	10uM	HEPG2	6h	LINCSCP_221121
LINCSCP_42845	0.9414420115	4.912659821e-06	12	YM 976	LSM-2271	PDE4A	10uM	NPC	24h	LINCSCP_42845
LINCSCP_42421	0.9409067221	5.136650728e-06	12	Tyrphostin 51	LSM-43207	NA	10uM	NPC	24h	LINCSCP_42421
LINCSCP_117512	0.9401583753	5.463265738e-06	12	Tranylcypromine	LSM-5578	KDM1A|MAOA|MAOB	0.37uM	HT29	24h	LINCSCP_117512
LINCSCP_297046	0.9388320068	6.082385914e-06	12	BRD-K04380254	LSM-37513	NA	5uM	VCAP	6h	LINCSCP_297046
LINCSCP_43421	0.9359251553	7.633704085e-06	12	Dinoprostone	LSM-42919	PTGER1|PTGER2|PTGER3|PTGER4	10uM	NPC	24h	LINCSCP_43421
LINCSCP_134681	-0.9352016383	8.064562393e-06	12	SELEGILINE HYDROCHLORIDE	LSM-45964	NA	3.33uM	MCF7	24h	LINCSCP_134681
LINCSCP_24065	-0.9324040865	9.914840871e-06	12	2-(4-(4-Chloro-1,2-diphenylbut-1-en-1-yl)phenoxy)-n,n-dimethylethanamine	LSM-42974	ESR1	0.12uM	HEPG2	24h	LINCSCP_24065
LINCSCP_25545	0.9322344094	1.003699304e-05	12	GSK-319347A	LSM-1216	IKBKG	5uM	HT29	24h	LINCSCP_25545
LINCSCP_262123	0.9302915623	1.152232911e-05	12	Naproxol	LSM-2742	PTGS1|PTGS2	10uM	NPC	24h	LINCSCP_262123
LINCSCP_12663	0.9297417098	1.197271259e-05	12	PKC Beta Inhibitor	LSM-4753	PRKCB	10uM	CORL23	6h	LINCSCP_12663
LINCSCP_4042	-0.9286896517	1.287315309e-05	12	Alisertib	LSM-37184	AURKA	0.37uM	A375	24h	LINCSCP_4042
LINCSCP_310108	0.9285943306	1.295730561e-05	12	Benzbromarone	LSM-2239	NA	30uM	VCAP	6h	LINCSCP_310108
LINCSCP_29373	0.9275206312	1.393555457e-05	12	PI-103	LSM-1126	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG	10uM	LOVO	6h	LINCSCP_29373
LINCSCP_85500	0.9265935816	1.482628324e-05	12	Mitoxantrone	LSM-2481	TOP2A	10uM	BT20	3h	LINCSCP_85500
LINCSCP_81429	-0.9253756417	1.606416347e-05	12	BMS-345541	LSM-1028	IKBKB	0.04uM	A549	24h	LINCSCP_81429
LINCSCP_42235	0.9251180033	1.633616901e-05	12	Heraclenol	LSM-4476	NA	10uM	NPC	24h	LINCSCP_42235
LINCSCP_146637	0.9245025561	1.700066146e-05	12	PD-0325901	LSM-1101	MAP2K1|MAP2K2	10uM	NEU	24h	LINCSCP_146637
LINCSCP_259728	0.9241909809	1.734509867e-05	12	2,5-Dimethoxyphenethylamine	LSM-37012	NA	10uM	NEU	6h	LINCSCP_259728
LINCSCP_137804	0.9232010973	1.84760699e-05	12	TG 100801	LSM-45980	BLK|EPHB4|FGFR1|FGFR2|FGR|FLT1|FRK|FYN|HCK|KDR|LCK|LYN|PDGFRB|SRC|SRMS|YES1	1.11uM	MCF7	24h	LINCSCP_137804
LINCSCP_42816	0.9214487728	2.062018259e-05	12	Chloroquine	LSM-1901	NA	10uM	NPC	24h	LINCSCP_42816
LINCSCP_262085	0.9197279097	2.291216891e-05	12	Enclomiphene	LSM-42850	ESR1	10uM	NPC	24h	LINCSCP_262085
LINCSCP_258560	0.9192315607	2.360919647e-05	12	Bosutinib	LSM-1190	ABL1|BCR|CAMK2G|HCK|LYN|SRC	10uM	NEU	24h	LINCSCP_258560
LINCSCP_131195	-0.9143100043	3.146624314e-05	12	BMS-345541	LSM-1028	IKBKB	3.33uM	MCF10A	24h	LINCSCP_131195
LINCSCP_212394	0.9138312721	3.232842196e-05	12	Dmba	LSM-37159	NA	10uM	HA1E	6h	LINCSCP_212394
LINCSCP_221432	0.9129743892	3.391799759e-05	12	BRD-K71915010	LSM-6148	NA	10uM	HEPG2	6h	LINCSCP_221432
LINCSCP_83616	-0.9123687129	3.507820318e-05	12	Tranylcypromine	LSM-5578	KDM1A|MAOA|MAOB	10uM	ASC.C	24h	LINCSCP_83616
LINCSCP_25427	0.9118289246	3.613831439e-05	12	AC1Q6JJ5	LSM-6192	TOP2A	0.1uM	HT29	24h	LINCSCP_25427
