signatureID	similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	cellLine	time	_row
LINCSCP_47148	0.9522451391	6.209121378e-06	11	CHEMBL1970015	LSM-6658	NA	10uM	PC3	24h	LINCSCP_47148
LINCSCP_40143	-0.9453485805	1.127938685e-05	11	PKC Beta Inhibitor	LSM-4753	PRKCB	10uM	NCIH2073	6h	LINCSCP_40143
LINCSCP_75136	0.9406971981	1.617939398e-05	11	Epitiostanol	LSM-45392	NA	0.04uM	A375	24h	LINCSCP_75136
LINCSCP_2725	0.9399292002	1.712461094e-05	11	ZM323881	LSM-3513	KDR	10uM	A375	6h	LINCSCP_2725
LINCSCP_179380	0.9349989083	2.424595269e-05	11	ZSTK 474	LSM-1053	PIK3CG	10uM	A375	6h	LINCSCP_179380
LINCSCP_235471	0.9284487305	3.699089725e-05	11	EX-8678	LSM-1147	NA	0.1uM	MCF10A	6h	LINCSCP_235471
LINCSCP_145390	0.9279922781	3.803916709e-05	11	MK-2206	LSM-1057	AKT1|AKT2|AKT3	1.11uM	MDAMB231	24h	LINCSCP_145390
LINCSCP_291918	0.9277217211	3.867117768e-05	11	Triazine Scaffold, 50	LSM-3188	NA	10uM	VCAP	24h	LINCSCP_291918
LINCSCP_100302	0.9267205175	4.108025387e-05	11	BRD-A25736793	LSM-43054	MTOR	1.11uM	HCC515	24h	LINCSCP_100302
LINCSCP_30448	0.9245228806	4.677090196e-05	11	NSC23766	LSM-1818	NA	100uM	MCF7	24h	LINCSCP_30448
LINCSCP_186718	0.9208032208	5.775758326e-05	11	BRD-K22261046	LSM-14758	NA	10uM	A375	24h	LINCSCP_186718
LINCSCP_154878	0.9195323957	6.193063408e-05	11	Temsirolimus (CCI-779, NSC 683864)	LSM-45994	MTOR	3.33uM	PC3	24h	LINCSCP_154878
LINCSCP_38697	0.9172205798	7.010980574e-05	11	BRD-K57064803	LSM-6841	NA	3.33uM	MCF7	24h	LINCSCP_38697
LINCSCP_148889	0.9171598848	7.033512013e-05	11	Dasatinib	LSM-1020	ABL1|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|YES1	0.04uM	NPC	24h	LINCSCP_148889
LINCSCP_29433	-0.9154560921	7.688931172e-05	11	AS601245	LSM-1034	MAPK10|MAPK8|MAPK9	1uM	MCF10A	24h	LINCSCP_29433
LINCSCP_38560	0.9146009154	8.034999432e-05	11	Sirolimus	LSM-42782	FKBP1A|MTOR	3.33uM	MCF7	24h	LINCSCP_38560
LINCSCP_25581	0.9129665305	8.7294057e-05	11	SMR000651449	LSM-3511	NA	10uM	HT29	24h	LINCSCP_25581
LINCSCP_35567	0.9110472575	9.602393019e-05	11	Broad-Sai-595	LSM-45345	NA	3uM	MCF7	6h	LINCSCP_35567
LINCSCP_29757	-0.910124716	0.0001004500714	11	WH-4-023	LSM-5613	ABL1|SRC	1uM	MCF10A	6h	LINCSCP_29757
LINCSCP_125844	0.9091159638	0.0001054663976	11	MK-2206	LSM-1057	AKT1|AKT2|AKT3	1.11uM	HT29	24h	LINCSCP_125844
LINCSCP_42974	0.9085915989	0.0001081483427	11	BRD-K25164076	LSM-9959	NA	10uM	NPC	24h	LINCSCP_42974
LINCSCP_64061	0.9066762294	0.0001183897614	11	BRD-K08477148	LSM-8940	NA	5uM	VCAP	6h	LINCSCP_64061
LINCSCP_2754	0.904008134	0.0001338702676	11	AC1NWALX	LSM-1410	RPS2	10uM	A375	6h	LINCSCP_2754
LINCSCP_6572	0.9034909151	0.000137041622	11	AZ628	LSM-1050	BRAF|RAF1	10uM	A549	6h	LINCSCP_6572
LINCSCP_270118	0.9021768886	0.0001453564988	11	Imatinib	LSM-1023	ABL1|BCR|CSF1R|KIT|PDGFRA|PDGFRB	10uM	PC3	6h	LINCSCP_270118
LINCSCP_55498	0.9015531467	0.0001494354153	11	CHEMBL1222381	LSM-6252	NA	80uM	U937	6h	LINCSCP_55498
LINCSCP_75746	0.9014181757	0.0001503294135	11	AT13387	LSM-45514	NA	3.33uM	A375	24h	LINCSCP_75746
LINCSCP_26763	0.9009011743	0.0001537916136	11	QL-XII-47	LSM-42741	BMX|BTK	10uM	HT29	6h	LINCSCP_26763
LINCSCP_2318	0.8998134949	0.0001612736744	11	Mocetinostat	LSM-5344	HDAC1|HDAC11|HDAC2|HDAC3|HDAC8	10uM	A375	6h	LINCSCP_2318
LINCSCP_27802	0.8990113211	0.0001669670785	11	BRD-K35158088	LSM-10542	NA	5uM	HT29	24h	LINCSCP_27802
LINCSCP_69562	0.8981438193	0.0001732951376	11	WYE 125132	LSM-1064	MTOR	1.11uM	A375	24h	LINCSCP_69562
LINCSCP_2123	0.8945252587	0.0002016837053	11	DHPC9-T_000028	LSM-36651	NA	10uM	A375	6h	LINCSCP_2123
LINCSCP_212	0.8945078787	0.0002018280695	11	AC1MS7KY	LSM-1591	GRM1|GRM4	10uM	A375	24h	LINCSCP_212
LINCSCP_118658	0.8937746652	0.0002079904083	11	17-DMAG (Alvespimycin) HCl	LSM-46133	NA	0.04uM	HT29	24h	LINCSCP_118658
LINCSCP_7483	0.8935087623	0.0002102602104	11	Endecaphyllin X	LSM-3220	NA	10uM	A549	6h	LINCSCP_7483
LINCSCP_242636	0.892376583	0.0002201364299	11	BRD-K16046246	LSM-38111	NA	10uM	MCF7	6h	LINCSCP_242636
LINCSCP_75674	0.891904356	0.0002243584184	11	PX 12	LSM-4918	TXN|TXNRD1	10uM	A375	24h	LINCSCP_75674
LINCSCP_114026	0.8915464873	0.0002275987791	11	SCHEMBL16226502	LSM-43056	HSP90AA1	10uM	HME1	24h	LINCSCP_114026
LINCSCP_117430	0.8909698911	0.0002328943578	11	RG 108	LSM-6283	DNMT1	0.04uM	HT29	24h	LINCSCP_117430
LINCSCP_49767	0.8904461995	0.0002377847647	11	AZD-1152HQPA	LSM-46008	NA	0.5uM	PC3	6h	LINCSCP_49767
LINCSCP_178174	0.8884119485	0.0002575258932	11	MLS002548990	LSM-2210	NA	10uM	A375	6h	LINCSCP_178174
LINCSCP_1471	0.8883877433	0.0002577680447	11	MLS003221409	LSM-1823	NA	10uM	A375	6h	LINCSCP_1471
LINCSCP_77082	0.8875258514	0.0002665038747	11	AVN-944	LSM-45510	NA	0.04uM	A375	24h	LINCSCP_77082
LINCSCP_47474	0.8874431303	0.0002673539818	11	Allantoin	LSM-5190	NA	10uM	PC3	24h	LINCSCP_47474
LINCSCP_255178	0.8871897692	0.0002699705429	11	AZD-1152HQPA	LSM-46008	NA	0.5uM	MCF7	24h	LINCSCP_255178
LINCSCP_206178	0.8867962341	0.0002740732624	11	Rilmenidine	LSM-4253	ADRA2A|NISCH	10uM	COV644	6h	LINCSCP_206178
LINCSCP_141988	-0.8865926344	0.0002762143508	11	Novobiocin	LSM-5910	NA	0.04uM	MCF7	24h	LINCSCP_141988
LINCSCP_3696	0.8862600732	0.0002797389173	11	BRD-K40064462	LSM-10873	NA	10uM	A375	24h	LINCSCP_3696
LINCSCP_42206	0.8858708543	0.0002839072278	11	6-Methyl-n,4-diphenylquinazolin-2-amine	LSM-4750	NA	10uM	NPC	24h	LINCSCP_42206
LINCSCP_178231	0.8857678785	0.0002850178879	11	SMR000031368	LSM-2820	NA	10uM	A375	6h	LINCSCP_178231
LINCSCP_148970	0.8857374141	0.0002853470979	11	GSK 1059615	LSM-42799	PIK3CA|PIK3CB|PIK3CD|PIK3CG	0.37uM	NPC	24h	LINCSCP_148970
LINCSCP_6283	0.88532975	0.000289780319	11	Entinostat	LSM-4811	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	10uM	A549	6h	LINCSCP_6283
LINCSCP_44104	0.8846274757	0.0002975397763	11	SPECTRUM_000715	LSM-1890	NA	10uM	PC3	6h	LINCSCP_44104
LINCSCP_64488	0.884214877	0.0003021715623	11	Sirolimus	LSM-42783	FKBP1A|MTOR	20uM	VCAP	24h	LINCSCP_64488
LINCSCP_46841	0.8840458322	0.0003040849651	11	Sirolimus	LSM-42782	FKBP1A|MTOR	10uM	PC3	24h	LINCSCP_46841
LINCSCP_726	-0.8836033427	0.0003091370225	11	Sildenafil	LSM-3797	PDE5A	100uM	A375	24h	LINCSCP_726
LINCSCP_48332	0.8831494258	0.0003143854966	11	BRD-K55878534	LSM-44796	NA	5uM	PC3	24h	LINCSCP_48332
LINCSCP_29586	-0.8826346438	0.0003204192762	11	SCHEMBL15556278	LSM-1002	DDR1	0.5uM	MCF10A	24h	LINCSCP_29586
LINCSCP_28030	-0.8817407819	0.0003311045922	11	BRD-K71104315	LSM-12771	NA	5uM	HT29	24h	LINCSCP_28030
LINCSCP_189451	0.8809988676	0.0003401770215	11	MLS002703076	LSM-2886	NA	10uM	A549	24h	LINCSCP_189451
LINCSCP_160940	0.8807064092	0.0003438046608	11	Valrubicin	LSM-45887	TOP2A	10uM	PC3	24h	LINCSCP_160940
LINCSCP_38006	0.8799661678	0.0003531177434	11	BRD-K19004531	LSM-38289	NA	1uM	MCF7	6h	LINCSCP_38006
LINCSCP_27053	0.8799611592	0.0003531814019	11	Rosiglitazone	LSM-1949	PPARG	10uM	HT29	6h	LINCSCP_27053
LINCSCP_31483	0.8799412056	0.0003534350944	11	KUC104123	LSM-2866	NA	10uM	MCF7	6h	LINCSCP_31483
LINCSCP_262611	0.8797927203	0.0003553273043	11	Dinoprostone	LSM-42919	PTGER1|PTGER2|PTGER3|PTGER4	10uM	NPC	24h	LINCSCP_262611
LINCSCP_135288	0.8795604052	0.000358303193	11	MILTEFOSINE [5mM]	LSM-45587	NA	0.12uM	MCF7	24h	LINCSCP_135288
LINCSCP_77386	0.8794707059	0.0003594572582	11	MG-132	LSM-1107	PSMB1	20uM	A375	24h	LINCSCP_77386
LINCSCP_113309	-0.8793561142	0.0003609356858	11	rifampicin	NA	NA	1.11uM	HME1	24h	LINCSCP_113309
LINCSCP_10547	0.8792143243	0.0003627713937	11	Cytochalasin B	LSM-43278	ACTB	10uM	AGS	6h	LINCSCP_10547
LINCSCP_19331	0.8788840013	0.0003670754351	11	BMS-536924	LSM-1210	IGF1R	10uM	HCC515	24h	LINCSCP_19331
LINCSCP_79054	0.8785551844	0.0003713981965	11	HMN-214	LSM-42802	CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RET	0.37uM	A375	24h	LINCSCP_79054
LINCSCP_30570	0.8779808996	0.0003790404219	11	Phenoxazine	LSM-4657	NA	10uM	MCF7	24h	LINCSCP_30570
LINCSCP_29610	-0.8778656701	0.0003805880739	11	SB 239063	LSM-44951	MAPK11|MAPK14	0.1uM	MCF10A	24h	LINCSCP_29610
LINCSCP_3973	0.8776413348	0.0003836148659	11	SCHEMBL16980377	LSM-6821	NA	3.33uM	A375	24h	LINCSCP_3973
LINCSCP_308482	0.8774703248	0.0003859344081	11	BRD-K54219003	LSM-11727	NA	5uM	VCAP	6h	LINCSCP_308482
LINCSCP_78248	0.8772450418	0.000389006306	11	MEK162 (ARRY-162, ARRY-438162)	LSM-45640	MAP2K1|MAP2K2	0.12uM	A375	24h	LINCSCP_78248
LINCSCP_98222	0.8767270159	0.000396140255	11	Lu AE58054 (Hydrochloride)	LSM-45537	HTR6	10uM	HA1E	24h	LINCSCP_98222
LINCSCP_145572	0.8754877395	0.0004136090998	11	EX-8678	LSM-1147	NA	0.12uM	MDAMB231	24h	LINCSCP_145572
LINCSCP_44425	0.8752552672	0.0004169499729	11	Pyrilamine	LSM-4206	HRH1	10uM	PC3	24h	LINCSCP_44425
LINCSCP_184229	0.8750538178	0.0004198615126	11	BRD-K44525591	LSM-39731	NA	5uM	A375	24h	LINCSCP_184229
LINCSCP_70691	0.8743987817	0.0004294352842	11	PD-0325901	LSM-1101	MAP2K1|MAP2K2	0.04uM	A375	24h	LINCSCP_70691
LINCSCP_50287	0.8733839324	0.0004445933698	11	SCHEMBL16980377	LSM-6821	NA	3uM	PHH	24h	LINCSCP_50287
LINCSCP_212244	-0.8728403296	0.0004528775533	11	BRD-K85592362	LSM-41939	NA	10uM	HA1E	6h	LINCSCP_212244
LINCSCP_48611	0.8728189919	0.0004532050933	11	BRD-K06574200	LSM-15021	NA	10uM	PC3	24h	LINCSCP_48611
LINCSCP_29611	-0.8727018556	0.0004550063652	11	SB 239063	LSM-44951	MAPK11|MAPK14	0.5uM	MCF10A	24h	LINCSCP_29611
LINCSCP_44752	0.8725652854	0.0004571133201	11	Trequinsin	LSM-3893	NA	10uM	PC3	24h	LINCSCP_44752
LINCSCP_25918	0.8724939692	0.0004582164925	11	Triazine Scaffold, 28	LSM-2785	NA	10uM	HT29	24h	LINCSCP_25918
LINCSCP_131572	0.8718121441	0.0004688655127	11	PD-0325901	LSM-1101	MAP2K1|MAP2K2	0.12uM	MCF10A	3h	LINCSCP_131572
LINCSCP_74791	0.8716067565	0.0004721097475	11	MG-132	LSM-1107	PSMB1	20uM	A375	24h	LINCSCP_74791
LINCSCP_157887	0.8715114421	0.0004736210617	11	Enalapril	LSM-3282	ACE	10uM	PC3	24h	LINCSCP_157887
LINCSCP_78246	0.8714346403	0.0004748415006	11	MEK162 (ARRY-162, ARRY-438162)	LSM-45640	MAP2K1|MAP2K2	1.11uM	A375	24h	LINCSCP_78246
LINCSCP_218176	0.8709175064	0.0004831212321	11	Raloxifene	LSM-3425	ESR1|ESR2	0.37uM	HCC515	24h	LINCSCP_218176
LINCSCP_19012	0.8707107785	0.0004864614992	11	16Beta-hydroxydisitoxigenin	LSM-1432	ATP1A1	10uM	HCC515	6h	LINCSCP_19012
LINCSCP_69606	0.8705465851	0.0004891269306	11	EX-8678	LSM-1147	NA	0.12uM	A375	24h	LINCSCP_69606
LINCSCP_9476	0.8702630906	0.0004937550311	11	BMS-536924	LSM-1210	IGF1R	3uM	A549	24h	LINCSCP_9476
LINCSCP_45585	0.8700933039	0.000496542647	11	CHEMBL1720543	LSM-2670	NA	10uM	PC3	6h	LINCSCP_45585
LINCSCP_113222	-0.8699155465	0.0004994738726	11	THZ-2-98-01	LSM-44946	NA	0.12uM	HME1	24h	LINCSCP_113222
