signatureID	similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	cellLine	time	_row
LINCSCP_54296	0.5908311052	5.368250538e-07	61	MK-2206	LSM-1057	AKT1|AKT2|AKT3	10uM	SW620	6h	LINCSCP_54296
LINCSCP_152835	-0.587544019	6.427877869e-07	61	CEP-701	LSM-45844	NA	1.11uM	PC3	24h	LINCSCP_152835
LINCSCP_1066	0.5731258736	1.384393731e-06	61	MLS002460463	LSM-1270	CASP8|XIAP	10uM	A375	24h	LINCSCP_1066
LINCSCP_96864	-0.5664585982	1.95002263e-06	61	CP-724714	LSM-42777	ERBB2	10uM	HA1E	24h	LINCSCP_96864
LINCSCP_44117	-0.5628025873	2.345590643e-06	61	(Z,E)-3-(imidazol-4-Ylmethylene)indolin-2-one	LSM-42866	EGFR	10uM	PC3	6h	LINCSCP_44117
LINCSCP_85245	0.561153059	2.547593805e-06	61	Buparlisib	LSM-1148	PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	0.37uM	BT20	24h	LINCSCP_85245
LINCSCP_79964	-0.5592081673	2.806631017e-06	61	Momelotinib	LSM-1141	JAK1|JAK2	10uM	A375	24h	LINCSCP_79964
LINCSCP_173975	-0.5557903157	3.322379868e-06	61	Erlotinib	LSM-1097	EGFR	10uM	YAPC	24h	LINCSCP_173975
LINCSCP_130434	-0.5516652545	4.062543324e-06	61	Neratinib	LSM-42778	EGFR|ERBB2|ERBB4	10uM	MCF10A	24h	LINCSCP_130434
LINCSCP_128334	-0.5505983538	4.277605247e-06	61	TPCA-1	LSM-1136	IKBKB	10uM	HUVEC	24h	LINCSCP_128334
LINCSCP_43699	0.5489552236	4.629695855e-06	61	Sirolimus	LSM-42782	FKBP1A|MTOR	10uM	OV7	6h	LINCSCP_43699
LINCSCP_50489	0.5484013869	4.754339337e-06	61	SCHEMBL16980366	LSM-6847	NA	10uM	PHH	6h	LINCSCP_50489
LINCSCP_152834	-0.5449585727	5.602120216e-06	61	CEP-701	LSM-45844	NA	3.33uM	PC3	24h	LINCSCP_152834
LINCSCP_130435	-0.5446591252	5.682159532e-06	61	Neratinib	LSM-42778	EGFR|ERBB2|ERBB4	3.33uM	MCF10A	24h	LINCSCP_130435
LINCSCP_130614	-0.5441139944	5.830610747e-06	61	Pelitinib	LSM-42796	EGFR	3.33uM	MCF10A	24h	LINCSCP_130614
LINCSCP_130650	-0.5433254636	6.051751515e-06	61	Radicicol	LSM-43303	NA	3.33uM	MCF10A	24h	LINCSCP_130650
LINCSCP_45625	-0.5413539825	6.639316632e-06	61	MLS002264463	LSM-3956	NA	10uM	PC3	6h	LINCSCP_45625
LINCSCP_49148	-0.5373491836	8.000042303e-06	61	CHEMBL2134537	LSM-40141	NA	10uM	PC3	6h	LINCSCP_49148
LINCSCP_158475	-0.5365429652	8.303619683e-06	61	Canertinib	LSM-1120	EGFR|ERBB2|ERBB4	10uM	PC3	24h	LINCSCP_158475
LINCSCP_173771	-0.5363356207	8.383409497e-06	61	Neratinib	LSM-42778	EGFR|ERBB2|ERBB4	10uM	YAPC	24h	LINCSCP_173771
LINCSCP_29750	0.5362978192	8.398032859e-06	61	BX 912	LSM-1055	PDK1|PDPK1	10uM	MCF10A	6h	LINCSCP_29750
LINCSCP_2331	0.5339770407	9.34268314e-06	61	Farnesol	LSM-43184	MAOB	10uM	A375	6h	LINCSCP_2331
LINCSCP_75663	-0.5330731141	9.736668819e-06	61	AP26113	LSM-45408	NA	3.33uM	A375	24h	LINCSCP_75663
LINCSCP_87661	-0.5297441057	1.132486141e-05	61	Dovitinib	LSM-1127	EGFR|FGFR1|FGFR2|FGFR3|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB	1.11uM	HA1E	24h	LINCSCP_87661
LINCSCP_133644	0.5288785517	1.177556091e-05	61	C30H33N3O5S	LSM-1156	ATM	3.33uM	MCF7	24h	LINCSCP_133644
LINCSCP_130615	-0.5263806424	1.317146008e-05	61	Pelitinib	LSM-42796	EGFR	1.11uM	MCF10A	24h	LINCSCP_130615
LINCSCP_72503	0.5245373717	1.429847231e-05	61	LCL161	LSM-45968	NA	0.37uM	A375	24h	LINCSCP_72503
LINCSCP_113080	0.5240155769	1.463340464e-05	61	PF-562271	LSM-1072	PTK2|PTK2B	0.04uM	HME1	24h	LINCSCP_113080
LINCSCP_69811	-0.5237486849	1.480752134e-05	61	Dasatinib	LSM-1020	ABL1|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|YES1	3.33uM	A375	24h	LINCSCP_69811
LINCSCP_29451	-0.521443195	1.639370892e-05	61	CI-1040	LSM-1048	MAP2K1|MAP2K2	0.1uM	MCF10A	24h	LINCSCP_29451
LINCSCP_130436	-0.5210706923	1.66643249e-05	61	Neratinib	LSM-42778	EGFR|ERBB2|ERBB4	1.11uM	MCF10A	24h	LINCSCP_130436
LINCSCP_113681	-0.519864299	1.756946917e-05	61	TPCA-1	LSM-1136	IKBKB	10uM	HME1	24h	LINCSCP_113681
LINCSCP_99542	-0.5195108209	1.784319698e-05	61	Pelitinib	LSM-42796	EGFR	1.11uM	HCC515	24h	LINCSCP_99542
LINCSCP_113803	-0.5193855149	1.79411782e-05	61	Dacomitinib	LSM-42808	EGFR|ERBB2|ERBB3|ERBB4	10uM	HME1	24h	LINCSCP_113803
LINCSCP_157804	-0.519371197	1.795240557e-05	61	ABT737	LSM-1180	BCL2|BCL2L1|BCL2L2	10uM	PC3	24h	LINCSCP_157804
LINCSCP_130591	-0.5188858887	1.833683847e-05	61	NVP-AUY922	LSM-1162	NA	1.11uM	MCF10A	24h	LINCSCP_130591
LINCSCP_163337	0.5179257484	1.9120006e-05	61	PF477736	LSM-1112	CHEK1	10uM	SKBR3	3h	LINCSCP_163337
