signatureID	similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	cellLine	time	_row
LINCSCP_86441	-0.9998911014	0.009395292227	3	Lapatinib	LSM-1051	EGFR|ERBB2	0.04uM	BT20	3h	LINCSCP_86441
LINCSCP_239064	-0.9998910826	0.009396103102	3	Bupropion	LSM-1267	SLC6A2|SLC6A3	10uM	MCF7	6h	LINCSCP_239064
LINCSCP_60040	0.9998910519	0.009397427602	3	BRD-K47123716	LSM-7448	NA	5uM	VCAP	24h	LINCSCP_60040
LINCSCP_69354	0.9998908906	0.009404378183	3	GSK 1059615	LSM-42799	PIK3CA|PIK3CB|PIK3CD|PIK3CG	0.12uM	A375	24h	LINCSCP_69354
LINCSCP_211465	0.9998908586	0.009405759723	3	ZINC02868881	LSM-4724	NA	10uM	HA1E	6h	LINCSCP_211465
LINCSCP_76459	0.9998906524	0.009414640099	3	TAK-715	LSM-1060	MAPK14	1.11uM	A375	24h	LINCSCP_76459
LINCSCP_9181	-0.9998906388	0.009415225822	3	Chaetocin	LSM-6198	SUV39H1	0.01uM	A549	24h	LINCSCP_9181
LINCSCP_37202	0.9998905829	0.009417630711	3	SA-89068	LSM-42386	NA	0.5uM	MCF7	6h	LINCSCP_37202
LINCSCP_63055	-0.9998903656	0.009426979159	3	BRD-K11309655	LSM-9117	NA	5uM	VCAP	24h	LINCSCP_63055
LINCSCP_195414	0.9998900716	0.009439610777	3	BRD-K56124197	LSM-11820	NA	5uM	A549	24h	LINCSCP_195414
LINCSCP_257894	-0.9998897988	0.009451314776	3	BRD-K75128590-001-01-8	LSM-6152	NA	10uM	NEU	24h	LINCSCP_257894
LINCSCP_61087	0.9998896573	0.009457383219	3	BRD-K85667213	LSM-13670	NA	5uM	VCAP	24h	LINCSCP_61087
LINCSCP_62013	0.9998896521	0.009457603408	3	BRD-K55341911	LSM-11783	NA	5uM	VCAP	24h	LINCSCP_62013
LINCSCP_190480	0.9998896387	0.009458177651	3	AC1O9CBL	LSM-4596	NA	10uM	A549	24h	LINCSCP_190480
LINCSCP_1581	0.9998895403	0.009462393328	3	MLS003153124	LSM-3217	NA	10uM	A375	6h	LINCSCP_1581
