signatureID	similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	cellLine	time	_row
LINCSCP_114215	0.7613979211	9.105520021e-24	119	BIX01294	LSM-4571	EHMT2	10uM	HME1	24h	LINCSCP_114215
LINCSCP_148081	0.7185793851	3.563130677e-20	119	Sirolimus	LSM-42783	FKBP1A|MTOR	10uM	NPC.CAS9	24h	LINCSCP_148081
LINCSCP_156595	0.7185498721	3.581599088e-20	119	PF-04691502	LSM-45239	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	3.33uM	PC3	24h	LINCSCP_156595
LINCSCP_32857	0.7121586571	1.080561112e-19	119	Brazilin	LSM-1844	NA	10uM	MCF7	24h	LINCSCP_32857
LINCSCP_674	0.7099039457	1.583942482e-19	119	Gossypol	LSM-6229	BCL2|BCL2L1|MCL1	10uM	A375	24h	LINCSCP_674
LINCSCP_607	0.7002870747	7.775898778e-19	119	Sirolimus	LSM-42783	FKBP1A|MTOR	10uM	A375	24h	LINCSCP_607
LINCSCP_142766	0.6981104636	1.104981259e-18	119	Floxuridine	LSM-45624	NA	0.37uM	MCF7	24h	LINCSCP_142766
LINCSCP_144770	0.6885543268	4.983285452e-18	119	TORIN-2	LSM-1080	MTOR	0.04uM	MDAMB231	24h	LINCSCP_144770
LINCSCP_149113	0.6860365593	7.340119205e-18	119	Sirolimus	LSM-42783	FKBP1A|MTOR	10uM	NPC	24h	LINCSCP_149113
LINCSCP_151387	0.6845504584	9.20836119e-18	119	EX-8678	LSM-1147	NA	10uM	PC3	24h	LINCSCP_151387
LINCSCP_56938	0.6845170904	9.25522197e-18	119	3,5-Bis(4-methylbenzylidene)piperidin-4-one	LSM-42949	SENP2|USP1|USP2|USP7	10uM	VCAP	24h	LINCSCP_56938
LINCSCP_4176	0.6827165193	1.215934781e-17	119	Kolestevan	LSM-1830	HMGCR	10uM	A549	24h	LINCSCP_4176
LINCSCP_67860	0.6815612088	1.447150633e-17	119	Wortmannin	LSM-3947	PIK3CA|PIK3CG|PLK1	10uM	PC3	24h	LINCSCP_67860
LINCSCP_151388	0.6787286529	2.21014062e-17	119	EX-8678	LSM-1147	NA	3.33uM	PC3	24h	LINCSCP_151388
LINCSCP_4012	0.6778010817	2.53628517e-17	119	CHEMBL3182405	LSM-4793	NA	1.11uM	A375	24h	LINCSCP_4012
LINCSCP_170196	0.6759975359	3.309843422e-17	119	PF-04691502	LSM-45239	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	10uM	YAPC	24h	LINCSCP_170196
LINCSCP_25474	0.6742167742	4.296925082e-17	119	GW 405833	LSM-2217	CNR2	40uM	HT29	24h	LINCSCP_25474
LINCSCP_75210	0.6737135936	4.624278393e-17	119	BMS-299897	LSM-6207	NA	3.33uM	A375	24h	LINCSCP_75210
LINCSCP_157978	0.670545627	7.317584689e-17	119	MLN-0128	LSM-1206	MTOR	3.33uM	PC3	24h	LINCSCP_157978
LINCSCP_123194	0.6700796686	7.824902648e-17	119	MLN-0128	LSM-1206	MTOR	10uM	HT29	24h	LINCSCP_123194
