term	id	nGeneIds	pvalue	adjPvalue	oddsRatio	nOverlap	batch	timepoint	cellLine	batch2	perturbation	concentration	direction
LJP009_JURKAT_24H_K07_GSK-1059615_10uM down	99052a2d-4a13-442b-ae53-1ef71cb64c0e	250	1.4771116727831555e-27	2.4783053501539424e-21	9.112763819095479	40	LJP009	JURKAT	24H	K07	GSK-1059615	10uM	down
LJP009_JURKAT_24H_B03_sirolimus_10uM down	fe60032b-82ba-43ed-8c8a-894b243c7b90	250	3.0148731773179192e-24	1.6861230970899638e-18	8.429306532663317	37	LJP009	JURKAT	24H	B03	sirolimus	10uM	down
LJP009_JURKAT_24H_K08_GSK-1059615_3.33uM down	e6bd7c80-720b-44e9-9a97-8ff5995596db	250	3.0148731773179192e-24	1.6861230970899638e-18	8.429306532663317	37	LJP009	JURKAT	24H	K08	GSK-1059615	3.33uM	down
FIBR006_MCLF033SZ_6H_B18_PP-30_4uM down	44de2fed-afb9-4a7c-8454-ea4d2c271917	250	3.5489656251081176e-23	1.488618067658631e-17	8.20148743718593	36	FIBR006	MCLF033SZ	6H	B18	PP-30	4uM	down
ERG015_VCAP_24H_M10_vorinostat_2.22uM down	64bed2b8-8986-42af-a288-a39938161dbe	250	4.3793037000034325e-21	9.184522055480323e-16	7.745849246231155	34	ERG015	VCAP	24H	M10	vorinostat	2.22uM	down
CPC006_HT29_6H_C04_AZD-8055_10uM down	483b6be6-7674-4208-b2f2-28cd898a8ef8	250	4.3793037000034325e-21	9.184522055480323e-16	7.745849246231155	34	CPC006	HT29	6H	C04	AZD-8055	10uM	down
FIBR027_MCLF130CN_6H_B18_PP-30_4uM down	43dd1633-16ae-4f55-b1e2-f89c17b21b04	250	4.3793037000034325e-21	9.184522055480323e-16	7.745849246231155	34	FIBR027	MCLF130CN	6H	B18	PP-30	4uM	down
CPC004_VCAP_24H_I23_SIB-1893_10uM down	fee2d62a-0b1a-42f7-9718-aa66b4fa59a9	250	4.3793037000034325e-21	9.184522055480323e-16	7.745849246231155	34	CPC004	VCAP	24H	I23	SIB-1893	10uM	down
CPC006_VCAP_6H_K12_BRD-K31342827_12uM up	d62fc6c3-ff94-4312-9e61-7c253b4e3444	250	4.5840966378734455e-20	7.691220259507256e-15	7.518030150753769	33	CPC006	VCAP	6H	K12	BRD-K31342827	12uM	up
LJP009_JURKAT_24H_K10_GSK-1059615_0.37uM down	2cbb3f5c-7a71-411d-a7f6-636bae13ae07	250	4.5840966378734455e-20	7.691220259507256e-15	7.518030150753769	33	LJP009	JURKAT	24H	K10	GSK-1059615	0.37uM	down
LJP009_HEK293_24H_K08_GSK-1059615_3.33uM down	e636077b-ecc0-4f11-8a20-8842ef906bd9	250	4.607371318199383e-19	4.8314191465821974e-14	7.290211055276382	32	LJP009	HEK293	24H	K08	GSK-1059615	3.33uM	down
LJP008_JURKAT_24H_B03_sirolimus_10uM down	2124de61-496f-4cba-97d9-2dd9321c0451	250	4.607371318199383e-19	4.8314191465821974e-14	7.290211055276382	32	LJP008	JURKAT	24H	B03	sirolimus	10uM	down
LJP009_HEK293_24H_K07_GSK-1059615_10uM down	df47a22d-d75e-42ce-86a4-c553c9431eb5	250	4.607371318199383e-19	4.8314191465821974e-14	7.290211055276382	32	LJP009	HEK293	24H	K07	GSK-1059615	10uM	down
LJP007_HEK293_24H_L09_MLN-0128_1.11uM down	fbb65137-80ef-45fc-be66-e092b916232c	250	4.607371318199383e-19	4.8314191465821974e-14	7.290211055276382	32	LJP007	HEK293	24H	L09	MLN-0128	1.11uM	down
LJP009_JURKAT_24H_K09_GSK-1059615_1.11uM down	51ac83b8-9555-4433-bfa5-f8e98c6ff032	250	4.607371318199383e-19	4.8314191465821974e-14	7.290211055276382	32	LJP009	JURKAT	24H	K09	GSK-1059615	1.11uM	down
LJP009_JURKAT_24H_C05_JWE-035_0.12uM down	a354e7bb-ef8d-4e93-80b8-805937542192	250	4.607371318199383e-19	4.8314191465821974e-14	7.290211055276382	32	LJP009	JURKAT	24H	C05	JWE-035	0.12uM	down
CPC006_HT29_6H_P19_BMS-536924_12uM down	c517ba7a-0225-4344-8d50-b517206cc4d4	250	4.442637143644078e-18	3.1057828386632294e-13	7.062391959798996	31	CPC006	HT29	6H	P19	BMS-536924	12uM	down
ERG005_VCAP_6H_E02_wortmannin_1.11uM down	80e579b5-ab14-4770-a1de-fc8e370aa585	250	4.442637143644078e-18	3.1057828386632294e-13	7.062391959798996	31	ERG005	VCAP	6H	E02	wortmannin	1.11uM	down
MOAR004_A375_24H_M12_BRD-K98984202_1.11uM down	953b0ddc-0672-4eae-8e98-72753bc6eb58	250	4.442637143644078e-18	3.1057828386632294e-13	7.062391959798996	31	MOAR004	A375	24H	M12	BRD-K98984202	1.11uM	down
REP.A013_THP1_24H_J02_KW-2478_3.33uM down	3b779c3e-ba2b-447f-b435-82d19f8dec4c	250	4.442637143644078e-18	3.1057828386632294e-13	7.062391959798996	31	REP.A013	THP1	24H	J02	KW-2478	3.33uM	down
LJP008_HEK293_24H_K07_GSK-1059615_10uM down	d31b6e08-bbfa-45f3-985c-c80de2587836	250	4.442637143644078e-18	3.1057828386632294e-13	7.062391959798996	31	LJP008	HEK293	24H	K07	GSK-1059615	10uM	down
CPC004_VCAP_24H_I19_BRD-K31542390_10uM down	ff38991a-444c-4faf-b4cc-60baaa4eeb23	250	4.442637143644078e-18	3.1057828386632294e-13	7.062391959798996	31	CPC004	VCAP	24H	I19	BRD-K31542390	10uM	down
FIBR037_MCLF035SZ_6H_O22_COT-10b_4uM up	65996f2c-7b34-4e00-9322-d7931cb9de25	250	4.442637143644078e-18	3.1057828386632294e-13	7.062391959798996	31	FIBR037	MCLF035SZ	6H	O22	COT-10b	4uM	up
PAC033_U2OS_6H_D11_BRD-K13665559_20uM up	576204a2-aae8-457c-a096-9ebea14801a5	250	4.442637143644078e-18	3.1057828386632294e-13	7.062391959798996	31	PAC033	U2OS	6H	D11	BRD-K13665559	20uM	up
PAC033_U2OS_6H_B13_tanespimycin_20uM up	d795321e-3c49-4ec4-ad8a-bd7ad1dd6253	250	4.1061053127083064e-17	1.6402961962353714e-12	6.834572864321608	30	PAC033	U2OS	6H	B13	tanespimycin	20uM	up
PAC017_U2OS_6H_O11_geldanamycin_20uM up	b309090d-281b-4166-b6fa-e43411ecca45	250	4.1061053127083064e-17	1.6402961962353714e-12	6.834572864321608	30	PAC017	U2OS	6H	O11	geldanamycin	20uM	up
LJP009_JURKAT_24H_L01_GSK-2334470_10uM down	a849d557-5699-4541-8399-6ae39e4b1401	250	4.1061053127083064e-17	1.6402961962353714e-12	6.834572864321608	30	LJP009	JURKAT	24H	L01	GSK-2334470	10uM	down
PAC013_U2OS_6H_E10_fluphenazine_20uM up	a666d541-27bf-42e1-9f70-8e1b068054b0	250	4.1061053127083064e-17	1.6402961962353714e-12	6.834572864321608	30	PAC013	U2OS	6H	E10	fluphenazine	20uM	up
LJP008_JURKAT_24H_I03_I-BET-762_1.11uM down	f997e0eb-6e39-4814-9300-a0614339cfce	250	4.1061053127083064e-17	1.6402961962353714e-12	6.834572864321608	30	LJP008	JURKAT	24H	I03	I-BET-762	1.11uM	down
CPC006_HA1E_24H_B13_PP-110_20uM down	e892c0a4-ff14-4881-afa5-4fdaf854078b	250	4.1061053127083064e-17	1.6402961962353714e-12	6.834572864321608	30	CPC006	HA1E	24H	B13	PP-110	20uM	down
REP.A015_HEK293_24H_C07_voxtalisib_10uM down	ecfac923-af3f-4525-9eeb-c1520651c3c1	250	4.1061053127083064e-17	1.6402961962353714e-12	6.834572864321608	30	REP.A015	HEK293	24H	C07	voxtalisib	10uM	down
ERG015_VCAP_24H_J21_BRD-K08656311_10uM down	488b6413-1b60-4c05-858c-936fae9e87be	250	4.1061053127083064e-17	1.6402961962353714e-12	6.834572864321608	30	ERG015	VCAP	24H	J21	BRD-K08656311	10uM	down
PAC025_U2OS_6H_O11_geldanamycin_20uM up	980af52d-1d2a-4cf8-8180-48501aa2b593	250	4.1061053127083064e-17	1.6402961962353714e-12	6.834572864321608	30	PAC025	U2OS	6H	O11	geldanamycin	20uM	up
FIBR019_MCLF135CN_6H_O22_COT-10b_4uM up	b1fa0311-1914-4b84-9586-eec9b258afa4	250	4.1061053127083064e-17	1.6402961962353714e-12	6.834572864321608	30	FIBR019	MCLF135CN	6H	O22	COT-10b	4uM	up
PAC025_U2OS_6H_P12_BRD-K13665559_20uM up	1ab71edc-aa80-4eb6-b25f-8dd97c95ce8f	250	4.1061053127083064e-17	1.6402961962353714e-12	6.834572864321608	30	PAC025	U2OS	6H	P12	BRD-K13665559	20uM	up
