term	id	nGeneIds	pvalue	adjPvalue	oddsRatio	nOverlap	batch	timepoint	cellLine	batch2	perturbation	concentration	direction
KMS002_NOMO1_24H_L07_MW-STK33-2B_0.12uM up	1a275942-7db4-42f2-a8cc-870a384952a7	250	7.802130756917546e-33	4.848316294300017e-28	4.798796657381615	76	KMS002	NOMO1	24H	L07	MW-STK33-2B	0.12uM	up
REP.A006_HELA_24H_B07_estradiol_10uM up	015a0d7a-3fd9-481a-96cd-7ecb45686d49	250	7.802130756917546e-33	4.848316294300017e-28	4.798796657381615	76	REP.A006	HELA	24H	B07	estradiol	10uM	up
ERG005_VCAP_24H_E07_trifluoperazine_1.11uM up	6f9d058d-82c1-499b-bf23-12d2544d9e1b	250	5.664314454037704e-32	2.7153186035876366e-27	4.735654596100279	75	ERG005	VCAP	24H	E07	trifluoperazine	1.11uM	up
ERG005_VCAP_6H_K03_alpha-estradiol_20uM up	8d619f70-d1c4-4f70-b4a5-404a5f217be3	250	5.664314454037704e-32	2.7153186035876366e-27	4.735654596100279	75	ERG005	VCAP	6H	K03	alpha-estradiol	20uM	up
REP.B005_PC3_24H_E19_deforolimus_2.22uM down	dd8a10c5-5de0-425c-b903-32609b2d6869	250	5.664314454037704e-32	2.7153186035876366e-27	4.735654596100279	75	REP.B005	PC3	24H	E19	deforolimus	2.22uM	down
REP.A012_HT29_24H_O19_cobimetinib_10uM down	2d886f7f-082e-4303-a5cf-60dd3988be30	250	5.664314454037704e-32	2.7153186035876366e-27	4.735654596100279	75	REP.A012	HT29	24H	O19	cobimetinib	10uM	down
AICHI001_THP1_4H_O01_wortmannin_10uM down	079a217f-b445-4b78-8a12-ee5f210920a5	250	5.664314454037704e-32	2.7153186035876366e-27	4.735654596100279	75	AICHI001	THP1	4H	O01	wortmannin	10uM	down
AICHI001_THP1_4H_P13_IPI-145_10uM down	309959ce-0b60-451d-b5c2-edc1b2df61dc	250	5.664314454037704e-32	2.7153186035876366e-27	4.735654596100279	75	AICHI001	THP1	4H	P13	IPI-145	10uM	down
REP.B016_THP1_24H_D21_BIIB-021_0.25uM down	d80bf152-9a8a-4a17-9eac-8cd392edbaed	250	5.664314454037704e-32	2.7153186035876366e-27	4.735654596100279	75	REP.B016	THP1	24H	D21	BIIB-021	0.25uM	down
REP.A013_THP1_24H_J01_KW-2478_10uM down	3d160794-3357-4b7c-a51d-5fd2966795f8	250	5.664314454037704e-32	2.7153186035876366e-27	4.735654596100279	75	REP.A013	THP1	24H	J01	KW-2478	10uM	down
