term	id	nGeneIds	pvalue	adjPvalue	oddsRatio	nOverlap	batch	timepoint	cellLine	batch2	perturbation	concentration	direction
REP.B016_HT29_24H_A20_palbociclib_0.74uM down	fd94f673-1588-4893-8430-c44fa3ab533d	250	5.21889342266443e-49	2.1890713697533732e-43	13.504340425531915	56	REP.B016	HT29	24H	A20	palbociclib	0.74uM	down
CPC006_HCC515_24H_I05_ingenol_10uM down	0cae76e1-f401-47de-a22b-0875cf6f8115	250	5.21889342266443e-49	2.1890713697533732e-43	13.504340425531915	56	CPC006	HCC515	24H	I05	ingenol	10uM	down
CRCGN006_HEPG2_24H_O04_mitoxantrone_0.74uM down	81db53fc-d89f-4749-a1e7-539a09d9873e	250	5.21889342266443e-49	2.1890713697533732e-43	13.504340425531915	56	CRCGN006	HEPG2	24H	O04	mitoxantrone	0.74uM	down
MOAR010_MELHO_24H_K08_SAR405838_3.33uM down	23768251-4ccb-4050-9909-5be1dcd86978	250	5.21889342266443e-49	2.1890713697533732e-43	13.504340425531915	56	MOAR010	MELHO	24H	K08	SAR405838	3.33uM	down
ERG005_VCAP_24H_J05_estradiol_4uM down	c3a6c9c5-f6c8-433c-9c44-e85832964bd1	250	1.2599940287539319e-47	2.3489158682372118e-42	13.263191489361702	55	ERG005	VCAP	24H	J05	estradiol	4uM	down
REP.A016_HT29_24H_A22_palbociclib_0.37uM down	453de5d8-a8cf-4634-a1b8-1e6e693eb6e3	250	1.2599940287539319e-47	2.3489158682372118e-42	13.263191489361702	55	REP.A016	HT29	24H	A22	palbociclib	0.37uM	down
CPC006_MCF7_24H_L24_C-646_20uM down	750f8f98-c46e-4eab-9f99-d5043843a208	250	1.2599940287539319e-47	2.3489158682372118e-42	13.263191489361702	55	CPC006	MCF7	24H	L24	C-646	20uM	down
REP.A016_MDAMB231_24H_E03_R-547_1.11uM down	7eeed547-0790-4e18-a754-39896693aae1	250	1.2599940287539319e-47	2.3489158682372118e-42	13.263191489361702	55	REP.A016	MDAMB231	24H	E03	R-547	1.11uM	down
REP.B004_A375_24H_J07_voreloxin_2.22uM down	2fa464fe-a3d5-4f64-9ead-0b7144324d4c	250	1.2599940287539319e-47	2.3489158682372118e-42	13.263191489361702	55	REP.B004	A375	24H	J07	voreloxin	2.22uM	down
REP.A016_YAPC_24H_E03_R-547_1.11uM down	085438af-44c8-4b5f-9e2c-deef52bbde52	250	2.9490765750246263e-46	3.0924846393494957e-41	13.022042553191492	54	REP.A016	YAPC	24H	E03	R-547	1.11uM	down
REP.B004_A375_24H_E14_KPT-330_0.74uM down	31fcc42a-1b30-4e06-988a-3eca11be55ba	250	2.9490765750246263e-46	3.0924846393494957e-41	13.022042553191492	54	REP.B004	A375	24H	E14	KPT-330	0.74uM	down
REP.B018_A375_24H_J19_AMG-232_2.22uM down	7a22bf9b-7a60-4f5c-aa81-418f0758fe2f	250	2.9490765750246263e-46	3.0924846393494957e-41	13.022042553191492	54	REP.B018	A375	24H	J19	AMG-232	2.22uM	down
REP.B016_THP1_24H_E02_R-547_0.74uM down	b3ff8c5d-df85-4181-8efe-454d68f48ce7	250	2.9490765750246263e-46	3.0924846393494957e-41	13.022042553191492	54	REP.B016	THP1	24H	E02	R-547	0.74uM	down
ASG003_XC.P907_24H_K17_palbociclib_1.11uM down	ec4ef573-d69b-4335-bcfc-000c60d21254	250	2.9490765750246263e-46	3.0924846393494957e-41	13.022042553191492	54	ASG003	XC.P907	24H	K17	palbociclib	1.11uM	down
FIBR027_MCLF130CN_6H_H19_BRD-K55591206_4uM up	549b85bf-f474-433f-ab8d-0c9cbd7e2fd2	250	2.9490765750246263e-46	3.0924846393494957e-41	13.022042553191492	54	FIBR027	MCLF130CN	6H	H19	BRD-K55591206	4uM	up
