term	id	nGeneIds	pvalue	adjPvalue	oddsRatio	nOverlap	batch	timepoint	cellLine	batch2	perturbation	concentration	direction
POL001_HEPG2_24H_M14_oligomycin-a_3.33uM up	c33e0f99-a325-4ab6-88a1-68ed5df69af9	250	3.5597821030471106e-22	2.986310105701479e-16	20.607272727272726	20	POL001	HEPG2	24H	M14	oligomycin-a	3.33uM	up
FIBR032_MCLF054CN_6H_N12_BRD-K73261812_4uM up	43dbed24-46cf-460a-a8da-5bb1500dc0d5	250	3.5597821030471106e-22	2.986310105701479e-16	20.607272727272726	20	FIBR032	MCLF054CN	6H	N12	BRD-K73261812	4uM	up
FIBR033_MCLF100SZ_6H_N12_BRD-K73261812_4uM up	87d5efc5-d8f2-4cdf-844d-10c4121b8c5b	250	1.3761754489992113e-20	4.617908098416244e-15	19.57690909090909	19	FIBR033	MCLF100SZ	6H	N12	BRD-K73261812	4uM	up
MOAR004_A375_24H_K21_anagrelide_1.11uM up	d635101c-716a-4a74-86fd-72662bcab720	250	1.3761754489992113e-20	4.617908098416244e-15	19.57690909090909	19	MOAR004	A375	24H	K21	anagrelide	1.11uM	up
XPR041_IPC298.311_96H_L03_EIF2S1 up	acb82dba-914d-475f-b600-2b7aaca8d118	250	1.3761754489992113e-20	4.617908098416244e-15	19.57690909090909	19	XPR041	IPC298.311	96H	L03	EIF2S1	N/A	up
LJP008_NPC.CAS9_24H_N13_garcinol_10uM up	297780a5-c684-4905-a7dc-1c07d083b249	250	4.837922129988115e-19	5.411393292869806e-14	18.546545454545456	18	LJP008	NPC.CAS9	24H	N13	garcinol	10uM	up
LCP001_MCF10A.WT_12H_I11_AG-1024_3.33uM up	1e68af00-6def-4bbf-9ba1-6fe8211c84f2	250	4.837922129988115e-19	5.411393292869806e-14	18.546545454545456	18	LCP001	MCF10A.WT	12H	I11	AG-1024	3.33uM	up
ASG003_XC.P930_24H_D16_barasertib-HQPA_10uM up	2965f0b5-1f96-4dcc-a7ca-6fd6e1afcee5	250	4.837922129988115e-19	5.411393292869806e-14	18.546545454545456	18	ASG003	XC.P930	24H	D16	barasertib-HQPA	10uM	up
REP.A014_PC3_24H_D13_fidaxomicin_10uM up	78e21478-3121-4331-b94f-e034ed5934b1	250	4.837922129988115e-19	5.411393292869806e-14	18.546545454545456	18	REP.A014	PC3	24H	D13	fidaxomicin	10uM	up
FIBR020_MCLF135CN_6H_J14_CX-4945_4uM up	79431498-81b4-45c5-91fc-7295168b8659	250	4.837922129988115e-19	5.411393292869806e-14	18.546545454545456	18	FIBR020	MCLF135CN	6H	J14	CX-4945	4uM	up
MOAR004_A375_24H_K19_anagrelide_10uM up	d26926d7-478c-4f28-ae88-a03382997c09	250	4.837922129988115e-19	5.411393292869806e-14	18.546545454545456	18	MOAR004	A375	24H	K19	anagrelide	10uM	up
MOAR004_PC3_24H_P23_withaferin-a_3.33uM up	2793d85d-e279-4ac0-86b0-73b57f8cdf6f	250	4.837922129988115e-19	5.411393292869806e-14	18.546545454545456	18	MOAR004	PC3	24H	P23	withaferin-a	3.33uM	up
REP.A019_HEK293_24H_K19_thioguanine_10uM up	2620ae1b-0852-44b0-9363-e64d3f504ed8	250	4.837922129988115e-19	5.411393292869806e-14	18.546545454545456	18	REP.A019	HEK293	24H	K19	thioguanine	10uM	up
DOSBIO002_HT29_24H_C09_BRD-K20109053_10uM up	871a25c1-1e7f-4bfc-aa3b-7da123d79c8c	250	4.837922129988115e-19	5.411393292869806e-14	18.546545454545456	18	DOSBIO002	HT29	24H	C09	BRD-K20109053	10uM	up
KTOX002_HPTEC_6H_H03_erlotinib_30uM up	8c718e23-cc11-45ec-a0b2-d6197162b9a4	250	4.837922129988115e-19	5.411393292869806e-14	18.546545454545456	18	KTOX002	HPTEC	6H	H03	erlotinib	30uM	up
ASG002_OC316_24H_H19_ABT-737_10uM up	5c20982d-4175-4e59-9983-a4bfbaefee89	250	1.5447013733819035e-17	4.628049442441115e-13	17.516181818181817	17	ASG002	OC316	24H	H19	ABT-737	10uM	up
ASG003_XC.P930_24H_B12_floxuridine_0.12uM up	1b44d578-6fc5-4f6c-aebf-e426aee596ae	250	1.5447013733819035e-17	4.628049442441115e-13	17.516181818181817	17	ASG003	XC.P930	24H	B12	floxuridine	0.12uM	up
FIBR021_MCLF037SZ_6H_D03_quinoclamine_2.22uM down	4e2c0fee-ba62-40bb-addf-7892e279080c	250	1.5447013733819035e-17	4.628049442441115e-13	17.516181818181817	17	FIBR021	MCLF037SZ	6H	D03	quinoclamine	2.22uM	down
REP.B008_HEK293_24H_H14_YM-155_0.74uM up	7bf13644-7b73-4f89-9dfd-8d5642c6240a	250	1.5447013733819035e-17	4.628049442441115e-13	17.516181818181817	17	REP.B008	HEK293	24H	H14	YM-155	0.74uM	up
CRCGN015_MCF10A.TP53.M_24H_G06_BRD-K22552152_12uM up	7a640f5b-4bc5-4ba1-9e1c-7481eb5a77bc	250	1.5447013733819035e-17	4.628049442441115e-13	17.516181818181817	17	CRCGN015	MCF10A.TP53.M	24H	G06	BRD-K22552152	12uM	up
AICHI001_OCILY19_4H_K19_afatinib_10uM up	87bc32d0-8d44-427c-982e-c02706bc1c70	250	1.5447013733819035e-17	4.628049442441115e-13	17.516181818181817	17	AICHI001	OCILY19	4H	K19	afatinib	10uM	up
LCP001_MCF10A.WT_12H_A11_ICG-001_3.33uM up	657ff5da-8bf1-4abd-915c-56c2ef1dad2b	250	1.5447013733819035e-17	4.628049442441115e-13	17.516181818181817	17	LCP001	MCF10A.WT	12H	A11	ICG-001	3.33uM	up
LJP009_ASC.C_24H_L07_RAF-265_10uM up	c76f34d3-103f-4127-a078-1e343c1db4ad	250	1.5447013733819035e-17	4.628049442441115e-13	17.516181818181817	17	LJP009	ASC.C	24H	L07	RAF-265	10uM	up
ASG002_A375_24H_F11_floxuridine_1.11uM up	ed98c878-cc9c-444a-ba51-f0f286e268ee	250	1.5447013733819035e-17	4.628049442441115e-13	17.516181818181817	17	ASG002	A375	24H	F11	floxuridine	1.11uM	up
XPR044_A549.311_96H_O04_AFG3L2 up	ff9a76ea-cf45-4165-8aee-9f88331cd318	250	1.5447013733819035e-17	4.628049442441115e-13	17.516181818181817	17	XPR044	A549.311	96H	O04	AFG3L2	N/A	up
ASG003_XC.P904_24H_N08_TW-37_0.74uM up	b2057756-5c4d-45db-9d51-edf5a720aefc	250	1.5447013733819035e-17	4.628049442441115e-13	17.516181818181817	17	ASG003	XC.P904	24H	N08	TW-37	0.74uM	up
REP.A002_HT29_24H_M13_artesunate_10uM up	fda06443-7adf-4be9-af37-2a7e105a94cb	250	1.5447013733819035e-17	4.628049442441115e-13	17.516181818181817	17	REP.A002	HT29	24H	M13	artesunate	10uM	up
ASG002_U251MG_24H_F13_sorafenib_10uM up	934c0e92-d3fe-4170-89f3-ea60b1048281	250	1.5447013733819035e-17	4.628049442441115e-13	17.516181818181817	17	ASG002	U251MG	24H	F13	sorafenib	10uM	up
BRAF001_A375_6H_J07_dabrafenib_0.66uM up	48797874-d468-40d2-9df2-015b38ae9bf1	250	1.5447013733819035e-17	4.628049442441115e-13	17.516181818181817	17	BRAF001	A375	6H	J07	dabrafenib	0.66uM	up
DOS028_VCAP_6H_K18_BRD-M41610223_4uM up	50e2b42a-f141-4dfe-a95d-3b37c5ea3ba2	250	1.5447013733819035e-17	4.628049442441115e-13	17.516181818181817	17	DOS028	VCAP	6H	K18	BRD-M41610223	4uM	up
ASG003_XC.P915_24H_J13_AZ-628_10uM up	28558617-3419-4644-b552-3a1b5ac2f19c	250	1.5447013733819035e-17	4.628049442441115e-13	17.516181818181817	17	ASG003	XC.P915	24H	J13	AZ-628	10uM	up
ASG003_XC.P092_24H_G07_atorvastatin_10uM up	cbe7da67-12b8-467e-9a62-13ab6d010edc	250	1.5447013733819035e-17	4.628049442441115e-13	17.516181818181817	17	ASG003	XC.P092	24H	G07	atorvastatin	10uM	up
DEB001_PC3_24H_E15_ST-057710_1.11uM up	6f6c548a-ae3f-4d41-8ad5-1d308506566e	250	1.5447013733819035e-17	4.628049442441115e-13	17.516181818181817	17	DEB001	PC3	24H	E15	ST-057710	1.11uM	up
FIBR034_MCLF100SZ_6H_I16_BRD-K05649647_4uM up	5f1aa84b-a763-4658-8837-c2ee453e3ca7	250	1.5447013733819035e-17	4.628049442441115e-13	17.516181818181817	17	FIBR034	MCLF100SZ	6H	I16	BRD-K05649647	4uM	up
PAC063_U2OS_6H_B14_BRD-K98189856_10uM up	ffe49e2c-280e-4454-a223-b0d8c4564514	250	1.5447013733819035e-17	4.628049442441115e-13	17.516181818181817	17	PAC063	U2OS	6H	B14	BRD-K98189856	10uM	up
FIBR009_MCLF123SZ_6H_L03_vemurafenib_4uM up	bcc8c15e-6225-4414-9094-225eb1ff02bb	250	1.5447013733819035e-17	4.628049442441115e-13	17.516181818181817	17	FIBR009	MCLF123SZ	6H	L03	vemurafenib	4uM	up
REP.A023_HEK293_24H_P14_floxuridine_3.33uM up	b0fd24b2-2327-4ffd-bef6-3f00cd07aa34	250	1.5447013733819035e-17	4.628049442441115e-13	17.516181818181817	17	REP.A023	HEK293	24H	P14	floxuridine	3.33uM	up
