term	id	nGeneIds	pvalue	adjPvalue	oddsRatio	nOverlap	batch	timepoint	cellLine	batch2	perturbation	concentration	direction
XPR019_PC3.311B_96H_C05_KIR2DL4 up	58a70cae-ed77-4fba-8c04-d8b5d9e10971	250	4.3794203303671316e-13	7.347813327391625e-07	40.29866666666666	8	XPR019	PC3.311B	96H	C05	KIR2DL4	N/A	up
PBIOA014_PC3_24H_J12_MW-RAS9_0.04uM down	b37f799c-621e-413c-a045-656d996e0772	250	8.035496661742098e-11	1.0291600363781832e-06	35.26133333333333	7	PBIOA014	PC3	24H	J12	MW-RAS9	0.04uM	down
XPR026_YAPC.311_96H_C18_DNM1 up	0a450758-b926-45a3-a200-980d4dd70192	250	8.035496661742098e-11	1.0291600363781832e-06	35.26133333333333	7	XPR026	YAPC.311	96H	C18	DNM1	N/A	up
XPR034_BICR6.311_96H_F24_MAP4K3 up	5a471af3-b9ac-4f1d-bba6-dcb94d5d6f5d	250	8.035496661742098e-11	1.0291600363781832e-06	35.26133333333333	7	XPR034	BICR6.311	96H	F24	MAP4K3	N/A	up
REP.B027_HEK293_24H_A09_BRD-K92301463_0.025uM down	6b6c7f15-d12f-44d6-934e-a501b19cce64	250	8.035496661742098e-11	1.0291600363781832e-06	35.26133333333333	7	REP.B027	HEK293	24H	A09	BRD-K92301463	0.025uM	down
XPR019_PC3.311B_96H_F24_LITAF down	531920cf-fd75-4182-a000-52d52fd51e52	250	8.035496661742098e-11	1.0291600363781832e-06	35.26133333333333	7	XPR019	PC3.311B	96H	F24	LITAF	N/A	down
XPR017_BICR6.311_96H_K09_GPR141 up	fa559d61-8a35-468c-9848-8b3c9d4de85b	250	8.035496661742098e-11	1.0291600363781832e-06	35.26133333333333	7	XPR017	BICR6.311	96H	K09	GPR141	N/A	up
LKCP001_U2OS_48H_D01_olmesartan-medoxomil_10uM up	0853f30b-c9fa-457a-9c35-a494c76299de	250	8.035496661742098e-11	1.0291600363781832e-06	35.26133333333333	7	LKCP001	U2OS	48H	D01	olmesartan-medoxomil	10uM	up
XPR019_BICR6.311_96H_N03_LILRB5 down	9e4f3f59-609d-4232-b399-0cdcc57759fd	250	8.035496661742098e-11	1.0291600363781832e-06	35.26133333333333	7	XPR019	BICR6.311	96H	N03	LILRB5	N/A	down
XPR022_U251MG.311_96H_A13_PRDX4 down	b54afa3c-604a-4ad7-b992-cba96a68f4d3	250	8.035496661742098e-11	1.0291600363781832e-06	35.26133333333333	7	XPR022	U251MG.311	96H	A13	PRDX4	N/A	down
NMH002_NEU_6H_P18_BG-1032_10uM up	4436701e-17e4-407c-b85e-35aeddc0d1ab	250	8.035496661742098e-11	1.0291600363781832e-06	35.26133333333333	7	NMH002	NEU	6H	P18	BG-1032	10uM	up
ERG015_PC3_6H_K01_BRD-K48723823_10uM up	480cbae0-e1fd-4def-90e0-d1b0f613729e	250	8.035496661742098e-11	1.0291600363781832e-06	35.26133333333333	7	ERG015	PC3	6H	K01	BRD-K48723823	10uM	up
ASG003_XC.P905_24H_N09_TW-37_0.08uM up	4fd67830-f56f-448c-aafe-e9f91df86d8c	250	8.035496661742098e-11	1.0291600363781832e-06	35.26133333333333	7	ASG003	XC.P905	24H	N09	TW-37	0.08uM	up
ASG003_A549_48H_I21_AS-605240_0.12uM up	b4c3e661-4430-4f52-8e13-1af7b0f42811	250	8.035496661742098e-11	1.0291600363781832e-06	35.26133333333333	7	ASG003	A549	48H	I21	AS-605240	0.12uM	up
CPC018_HT29_6H_I18_SB-221284_10uM down	2cc9ee46-2ea2-4753-ab95-0443f2c00031	250	8.035496661742098e-11	1.0291600363781832e-06	35.26133333333333	7	CPC018	HT29	6H	I18	SB-221284	10uM	down
XPR022_U251MG.311_96H_E24_PAK4 down	879b911e-1a3f-4d3a-87ec-c0ae29f98048	250	8.035496661742098e-11	1.0291600363781832e-06	35.26133333333333	7	XPR022	U251MG.311	96H	E24	PAK4	N/A	down
REP.B018_MCF7_24H_M19_linezolid_2.22uM up	28975bd0-995c-4177-afcf-caae9e4c5cd9	250	8.035496661742098e-11	1.0291600363781832e-06	35.26133333333333	7	REP.B018	MCF7	24H	M19	linezolid	2.22uM	up
XPR029_BICR6.311_96H_B05_MTAP down	e60f787f-416d-4a75-9b52-6a3f5518f1a6	250	8.035496661742098e-11	1.0291600363781832e-06	35.26133333333333	7	XPR029	BICR6.311	96H	B05	MTAP	N/A	down
AICHI001_KMS34_24H_H09_WZ-4002_0.66uM up	a5c2a8c5-27dd-4b13-8b34-57ff79a733b3	250	8.035496661742098e-11	1.0291600363781832e-06	35.26133333333333	7	AICHI001	KMS34	24H	H09	WZ-4002	0.66uM	up
CPC006_SNUC5_6H_C23_veliparib_10uM down	86fc97a9-0208-4723-b6f1-53113a0f8ec8	250	8.035496661742098e-11	1.0291600363781832e-06	35.26133333333333	7	CPC006	SNUC5	6H	C23	veliparib	10uM	down
REP.A002_A375_24H_M14_artesunate_3.33uM up	6284d914-0a37-41b1-a2fb-fe0d3d85c3b7	250	8.035496661742098e-11	1.0291600363781832e-06	35.26133333333333	7	REP.A002	A375	24H	M14	artesunate	3.33uM	up
