term	id	nGeneIds	pvalue	adjPvalue	oddsRatio	nOverlap	batch	timepoint	cellLine	batch2	perturbation	concentration	direction
FIBR019_MCLF135CN_6H_N15_narciclasine_0.37uM up	e8c75ff9-0cd0-47cb-a99b-15257c873a3c	250	1.2823073587501199e-08	0.0009354181295859761	21.1568	7	FIBR019	MCLF135CN	6H	N15	narciclasine	0.37uM	up
CPC013_HEPG2_6H_N02_BRD-K18163752_10uM up	dc7bb9b6-edd3-4b94-9c4d-6cd99f753cf7	250	1.2823073587501199e-08	0.0009354181295859761	21.1568	7	CPC013	HEPG2	6H	N02	BRD-K18163752	10uM	up
REP.A022_MDAMB231_24H_I02_SNX-2112_3.33uM down	4cd4eea2-e417-4567-a113-57e815c2743f	250	1.2823073587501199e-08	0.0009354181295859761	21.1568	7	REP.A022	MDAMB231	24H	I02	SNX-2112	3.33uM	down
PAC004_U2OS_6H_B06_famotidine_10uM down	a76ed32a-6d34-40b0-ad68-2056ee774167	250	1.2823073587501199e-08	0.0009354181295859761	21.1568	7	PAC004	U2OS	6H	B06	famotidine	10uM	down
ASG003_XC.P935_24H_M24_YM-155_0.12uM up	7b082c7e-8594-42dd-9235-d6157d4e04fe	250	1.2823073587501199e-08	0.0009354181295859761	21.1568	7	ASG003	XC.P935	24H	M24	YM-155	0.12uM	up
FIBR009_MCLF123SZ_6H_N15_narciclasine_0.37uM up	cd16baed-a1e2-4133-b7e2-b0d1c3c533e8	250	1.2823073587501199e-08	0.0009354181295859761	21.1568	7	FIBR009	MCLF123SZ	6H	N15	narciclasine	0.37uM	up
FIBR041_MCLF0067SZ_6H_N15_narciclasine_0.37uM up	4cd25aa8-47e8-4337-b0f3-c631e299d58d	250	1.2823073587501199e-08	0.0009354181295859761	21.1568	7	FIBR041	MCLF0067SZ	6H	N15	narciclasine	0.37uM	up
PAC012_U2OS_6H_C10_BRD-K43440986_10uM up	6da3ae4b-ba47-4b69-96fe-770a6b7812d4	250	1.2823073587501199e-08	0.0009354181295859761	21.1568	7	PAC012	U2OS	6H	C10	BRD-K43440986	10uM	up
FIBR003_MCLF027CN_6H_P13_salermide_4uM up	792f5bf8-1345-4387-86c0-26ebd65a76c3	250	1.2823073587501199e-08	0.0009354181295859761	21.1568	7	FIBR003	MCLF027CN	6H	P13	salermide	4uM	up
FIBR025_MCLF141SZ_6H_G14_CD-437_0.74uM up	678a71a7-4429-4350-a6f3-49e92e669cb1	250	1.2823073587501199e-08	0.0009354181295859761	21.1568	7	FIBR025	MCLF141SZ	6H	G14	CD-437	0.74uM	up
FIBR025_MCLF141SZ_6H_N15_narciclasine_0.37uM up	d03e5d47-99b8-4a07-9631-521094ce4098	250	1.2823073587501199e-08	0.0009354181295859761	21.1568	7	FIBR025	MCLF141SZ	6H	N15	narciclasine	0.37uM	up
LJP001_HS578T_24H_K13_GSK-1070916_10uM down	dab913e3-8e7f-4ae7-ae60-9ca85a0e9509	250	1.2823073587501199e-08	0.0009354181295859761	21.1568	7	LJP001	HS578T	24H	K13	GSK-1070916	10uM	down
PAC013_U2OS_6H_L12_BRD-K94882528_10uM up	28702504-297f-4a36-9742-2d775c602d52	250	1.2823073587501199e-08	0.0009354181295859761	21.1568	7	PAC013	U2OS	6H	L12	BRD-K94882528	10uM	up
FIBR037_MCLF035SZ_6H_G14_CD-437_0.74uM up	a12b618d-e684-403a-b5ab-8fd4a357992f	250	1.2823073587501199e-08	0.0009354181295859761	21.1568	7	FIBR037	MCLF035SZ	6H	G14	CD-437	0.74uM	up
DOSVAL003_HT29_24H_O05_withaferin-a_10uM up	92c37630-3d32-4d4c-bc36-78bc89c54aaf	250	1.2823073587501199e-08	0.0009354181295859761	21.1568	7	DOSVAL003	HT29	24H	O05	withaferin-a	10uM	up
PAC069_U2OS_6H_L22_BRD-K06765193_20uM up	ef28fecb-e5f9-42c6-91f0-65e31a3cfdb6	250	1.2823073587501199e-08	0.0009354181295859761	21.1568	7	PAC069	U2OS	6H	L22	BRD-K06765193	20uM	up
CPD002_PC3_6H_H14_betaescin_10uM up	843b21a1-3ff7-4456-bf65-95a564c6c911	250	1.2823073587501199e-08	0.0009354181295859761	21.1568	7	CPD002	PC3	6H	H14	betaescin	10uM	up
FIBR007_MCLF051CN_6H_N15_narciclasine_0.37uM up	12b91dea-4615-4b3a-93a3-07cdd214f027	250	1.2823073587501199e-08	0.0009354181295859761	21.1568	7	FIBR007	MCLF051CN	6H	N15	narciclasine	0.37uM	up
FIBR010_MCLF123SZ_6H_N15_narciclasine_0.37uM up	04b5e59c-bf6a-4320-bdda-597aa35b156d	250	1.2823073587501199e-08	0.0009354181295859761	21.1568	7	FIBR010	MCLF123SZ	6H	N15	narciclasine	0.37uM	up
PAC004_U2OS_6H_D06_NSC-663284_10uM up	e3bf546a-be86-4c9c-ae92-fc3a256daec4	250	1.2823073587501199e-08	0.0009354181295859761	21.1568	7	PAC004	U2OS	6H	D06	NSC-663284	10uM	up
CPC006_HA1E_6H_G05_oligomycin-a_10uM up	9c866dde-f936-4ede-8fad-450102312491	250	1.2823073587501199e-08	0.0009354181295859761	21.1568	7	CPC006	HA1E	6H	G05	oligomycin-a	10uM	up
LJP006_PC3_24H_G08_celastrol_3.33uM up	b7faed6e-3027-4e44-9c8f-290f9d65fcb7	250	1.2823073587501199e-08	0.0009354181295859761	21.1568	7	LJP006	PC3	24H	G08	celastrol	3.33uM	up
CPC010_HEPG2_6H_I12_BRD-K78385490_10uM up	dcde8604-1c7f-476b-a9ac-8f7c5d2bf7ea	250	1.2823073587501199e-08	0.0009354181295859761	21.1568	7	CPC010	HEPG2	6H	I12	BRD-K78385490	10uM	up
CPC007_PC3_24H_H12_BRD-A24021119_10uM up	ba44dd02-de7a-44d3-a5db-357a353d5e80	250	4.567139347346984e-07	0.005212768185493541	18.134400000000003	6	CPC007	PC3	24H	H12	BRD-A24021119	10uM	up
CPC009_HEPG2_6H_D04_BRD-K39829853_10uM up	4f515dac-decc-42a2-933f-a6844dd2c421	250	4.567139347346984e-07	0.005212768185493541	18.134400000000003	6	CPC009	HEPG2	6H	D04	BRD-K39829853	10uM	up
CPC010_PC3_6H_M08_BRD-K36772364_10uM up	9ea0ff6e-d769-4862-85d6-3c08e819e8cc	250	4.567139347346984e-07	0.005212768185493541	18.134400000000003	6	CPC010	PC3	6H	M08	BRD-K36772364	10uM	up
XPR021_BICR6.311_96H_P04_NXPE1 down	e3c2b635-ca88-4b91-ac71-19dd6b9a54c2	250	4.567139347346984e-07	0.005212768185493541	18.134400000000003	6	XPR021	BICR6.311	96H	P04	NXPE1	N/A	down
CPC008_HCC515_6H_L23_VU-0418939-2_10uM up	dc2ec1e1-1593-411e-acc8-7dd314b26044	250	4.567139347346984e-07	0.005212768185493541	18.134400000000003	6	CPC008	HCC515	6H	L23	VU-0418939-2	10uM	up
FIBR009_MCLF123SZ_6H_I07_blebbistatin_4uM down	5ae0f2ce-09a0-4344-bdf2-adbeaa1bdc8f	250	4.567139347346984e-07	0.005212768185493541	18.134400000000003	6	FIBR009	MCLF123SZ	6H	I07	blebbistatin	4uM	down
MOAR011_HEC251_24H_O07_PAC-1_10uM up	d7d5b076-4806-4cf2-8a0e-4564fbad34db	250	4.567139347346984e-07	0.005212768185493541	18.134400000000003	6	MOAR011	HEC251	24H	O07	PAC-1	10uM	up
CPC020_PC3_6H_A04_wortmannin_10uM up	6e1adb00-efbb-4348-bb13-70b3f80111cc	250	4.567139347346984e-07	0.005212768185493541	18.134400000000003	6	CPC020	PC3	6H	A04	wortmannin	10uM	up
FIBR005_MCLF033SZ_6H_L22_tacrolimus_4uM down	5a56c88f-9d0f-4c03-badf-11cfe53e5856	250	4.567139347346984e-07	0.005212768185493541	18.134400000000003	6	FIBR005	MCLF033SZ	6H	L22	tacrolimus	4uM	down
FIBR012_MCLF015CN_6H_N15_narciclasine_0.37uM up	15627a7f-cfa2-489b-a022-097a9273091c	250	4.567139347346984e-07	0.005212768185493541	18.134400000000003	6	FIBR012	MCLF015CN	6H	N15	narciclasine	0.37uM	up
FIBR027_MCLF130CN_6H_N15_narciclasine_0.37uM up	eb1093d1-2fc8-4881-9a3e-32b9ec7d893c	250	4.567139347346984e-07	0.005212768185493541	18.134400000000003	6	FIBR027	MCLF130CN	6H	N15	narciclasine	0.37uM	up
PAC005_U2OS_6H_A14_trifluoperazine_20uM up	e057ea53-9e39-4bd4-b6f2-62728bf65c2b	250	4.567139347346984e-07	0.005212768185493541	18.134400000000003	6	PAC005	U2OS	6H	A14	trifluoperazine	20uM	up
PAC005_U2OS_6H_J16_cromakalim_10uM down	aa1fb337-97a1-478d-9e53-97d7b115a8de	250	4.567139347346984e-07	0.005212768185493541	18.134400000000003	6	PAC005	U2OS	6H	J16	cromakalim	10uM	down
CPC008_A375_6H_L11_VU-0418946-1_10uM up	e16f1ad5-adb3-4cf7-83e4-6e9ed5966d23	250	4.567139347346984e-07	0.005212768185493541	18.134400000000003	6	CPC008	A375	6H	L11	VU-0418946-1	10uM	up
CPC008_A375_6H_N21_VU-0418934-2_10uM up	6827730a-1748-44bd-8141-00eed699c633	250	4.567139347346984e-07	0.005212768185493541	18.134400000000003	6	CPC008	A375	6H	N21	VU-0418934-2	10uM	up
HOG002_MCF7_6H_J20_phenanthridone_0.01uM down	74ac4ac6-3166-4b79-a67c-5ece9dde0cad	250	4.567139347346984e-07	0.005212768185493541	18.134400000000003	6	HOG002	MCF7	6H	J20	phenanthridone	0.01uM	down
XPR034_ES2.311_96H_I21_ROS1 up	591db80b-b59a-49f5-9af7-6c68ee9fbff6	250	4.567139347346984e-07	0.005212768185493541	18.134400000000003	6	XPR034	ES2.311	96H	I21	ROS1	N/A	up
CPC016_HEPG2_6H_C11_malonoben_10uM up	34584646-1d40-4e6a-8719-401ae714c20c	250	4.567139347346984e-07	0.005212768185493541	18.134400000000003	6	CPC016	HEPG2	6H	C11	malonoben	10uM	up
FIBR034_MCLF100SZ_6H_N15_narciclasine_0.37uM up	fdb70b8d-03ec-461f-9592-b3cb193bec6c	250	4.567139347346984e-07	0.005212768185493541	18.134400000000003	6	FIBR034	MCLF100SZ	6H	N15	narciclasine	0.37uM	up
PAC012_U2OS_6H_I16_BRD-K05463922_10uM down	ffc8e00e-abe8-4379-9554-2ce73ad7bf92	250	4.567139347346984e-07	0.005212768185493541	18.134400000000003	6	PAC012	U2OS	6H	I16	BRD-K05463922	10uM	down
CPC006_HA1E_6H_G06_KU-0063794_10uM up	28325079-ab1d-4d28-b434-5779b3c53f76	250	4.567139347346984e-07	0.005212768185493541	18.134400000000003	6	CPC006	HA1E	6H	G06	KU-0063794	10uM	up
