term	id	nGeneIds	pvalue	adjPvalue	oddsRatio	nOverlap	batch	timepoint	cellLine	batch2	perturbation	concentration	direction
ERG005_VCAP_24H_E09_tretinoin_1.11uM up	a29956e1-fea1-46ed-87d4-23267d1b4b01	250	2.5314087163153628e-113	4.2472102012774974e-107	8.673979591836735	150	ERG005	VCAP	24H	E09	tretinoin	1.11uM	up
ERG005_VCAP_24H_J08_fluphenazine_4uM up	985ddc0f-365d-4c7e-9bf8-9ae821af49a1	250	2.4008263370796885e-106	2.0140592162419933e-100	8.38484693877551	145	ERG005	VCAP	24H	J08	fluphenazine	4uM	up
LJP001_BT20_24H_M10_palbociclib_2.22uM down	c0822f2f-6462-4ba7-b5bf-a22b2d450f35	250	6.580456975965332e-101	2.7601809041398785e-95	8.15354081632653	141	LJP001	BT20	24H	M10	palbociclib	2.22uM	down
DOS012_VCAP_24H_B07_BRD-K49111930_4uM down	08ec3e21-4910-4445-8a2b-11e9b5a2faea	250	6.580456975965332e-101	2.7601809041398785e-95	8.15354081632653	141	DOS012	VCAP	24H	B07	BRD-K49111930	4uM	down
DOS012_VCAP_24H_B08_BRD-K39597586_4uM down	9160c211-3dbe-473c-a8cc-ca0fcc5a8146	250	1.4385545382224884e-99	4.827227994004765e-94	8.095714285714285	140	DOS012	VCAP	24H	B08	BRD-K39597586	4uM	down
REP.B004_A375_24H_E14_KPT-330_0.74uM down	31fcc42a-1b30-4e06-988a-3eca11be55ba	250	3.0882111600229585e-98	7.402023036203314e-93	8.037887755102041	139	REP.B004	A375	24H	E14	KPT-330	0.74uM	down
ERG005_VCAP_24H_I12_thioridazine_1.11uM up	5caae38b-0e83-4f2a-902b-369b2c8bba1d	250	3.0882111600229585e-98	7.402023036203314e-93	8.037887755102041	139	ERG005	VCAP	24H	I12	thioridazine	1.11uM	up
LJP008_THP1_24H_O03_PD-0325901_1.11uM down	0fdf3f57-c330-4328-8a15-784d1d9603cb	250	6.510468446473035e-97	1.0923296511834691e-91	7.980061224489796	138	LJP008	THP1	24H	O03	PD-0325901	1.11uM	down
ERG005_VCAP_24H_C12_sirolimus_20uM down	0c1f4ebb-95a8-4029-a327-87bb40ec7579	250	6.510468446473035e-97	1.0923296511834691e-91	7.980061224489796	138	ERG005	VCAP	24H	C12	sirolimus	20uM	down
XPR008_MCF7.311_96H_H09_RPL8 down	d8cac060-b897-4245-a94f-09ceddb339c7	250	6.510468446473035e-97	1.0923296511834691e-91	7.980061224489796	138	XPR008	MCF7.311	96H	H09	RPL8	N/A	down
CPD003_MCF7_24H_G01_fluorouracil_10uM down	e799169a-06a0-4f58-bf97-8f56f8c11c9e	250	5.472724366425575e-93	7.063203312008202e-88	7.806581632653062	135	CPD003	MCF7	24H	G01	fluorouracil	10uM	down
REP.B016_THP1_24H_A19_palbociclib_2.22uM down	466445d6-4b14-40b4-a3f7-c6a82c6ecef4	250	5.472724366425575e-93	7.063203312008202e-88	7.806581632653062	135	REP.B016	THP1	24H	A19	palbociclib	2.22uM	down
REP.A016_HT29_24H_E03_R-547_1.11uM down	3f6b2814-1f97-4e6e-9dfd-b3f9784f0e64	250	5.472724366425575e-93	7.063203312008202e-88	7.806581632653062	135	REP.A016	HT29	24H	E03	R-547	1.11uM	down
