term	id	nGeneIds	pvalue	adjPvalue	oddsRatio	nOverlap	batch	timepoint	cellLine	batch2	perturbation	concentration	direction
AICHI001_THP1_4H_G05_Mps1-IN-1_0.04uM up	920fe86b-eeae-477f-a691-5afea7b9b8d0	250	1.1113655474850507e-21	1.8646546723981557e-15	17.96332075471698	21	AICHI001	THP1	4H	G05	Mps1-IN-1	0.04uM	up
CPC018_HT29_6H_D02_U-0126_10uM down	89d77a32-bab0-4ae6-8887-49c6a7a5aba1	250	3.431953648730704e-20	1.919382997202873e-14	17.10792452830189	20	CPC018	HT29	6H	D02	U-0126	10uM	down
AICHI001_THP1_4H_P13_IPI-145_10uM down	309959ce-0b60-451d-b5c2-edc1b2df61dc	250	3.431953648730704e-20	1.919382997202873e-14	17.10792452830189	20	AICHI001	THP1	4H	P13	IPI-145	10uM	down
AICHI001_THP1_4H_P15_IPI-145_0.66uM down	45c1fde7-e99e-4f9f-9ce8-f88c797d0ac7	250	9.752437831357665e-19	4.0906722389102616e-13	16.25252830188679	19	AICHI001	THP1	4H	P15	IPI-145	0.66uM	down
AICHI001_THP1_4H_P17_IPI-145_0.04uM down	4d8f3dfa-8b01-40a9-979b-756b66869ea2	250	2.5461774490019824e-17	7.1199820913712845e-12	15.397132075471697	18	AICHI001	THP1	4H	P17	IPI-145	0.04uM	down
FIBR010_MCLF123SZ_6H_P08_CHIR-99021_4uM up	597a96bd-3148-4f63-aca8-221140dae6a0	250	2.5461774490019824e-17	7.1199820913712845e-12	15.397132075471697	18	FIBR010	MCLF123SZ	6H	P08	CHIR-99021	4uM	up
AICHI001_THP1_4H_P14_IPI-145_2.5uM down	28be5877-89e9-4705-b8f2-fb7f4dd93521	250	6.09606851876064e-16	6.016478965364233e-11	14.541735849056604	17	AICHI001	THP1	4H	P14	IPI-145	2.5uM	down
CPC018_HT29_6H_A04_wortmannin_10uM down	b0c69f38-4e9a-47d5-b5ed-a5c90a628aca	250	6.09606851876064e-16	6.016478965364233e-11	14.541735849056604	17	CPC018	HT29	6H	A04	wortmannin	10uM	down
AICHI001_THP1_4H_O01_wortmannin_10uM down	079a217f-b445-4b78-8a12-ee5f210920a5	250	6.09606851876064e-16	6.016478965364233e-11	14.541735849056604	17	AICHI001	THP1	4H	O01	wortmannin	10uM	down
CPC006_MCF7_24H_A03_geldanamycin_10uM down	d01f28f4-973f-42ad-b551-5249ac3cf6b9	250	6.09606851876064e-16	6.016478965364233e-11	14.541735849056604	17	CPC006	MCF7	24H	A03	geldanamycin	10uM	down
AICHI001_THP1_4H_I14_GDC-0941_2.5uM down	3c8d8bf7-3e66-4ae2-8701-c301825f6ec8	250	6.09606851876064e-16	6.016478965364233e-11	14.541735849056604	17	AICHI001	THP1	4H	I14	GDC-0941	2.5uM	down
LCP001_MCF10A.PIK3CA.HH_24H_I12_AG-1024_1.11uM down	d7b28cea-add5-435f-9cd2-3a0194ca3221	250	6.09606851876064e-16	6.016478965364233e-11	14.541735849056604	17	LCP001	MCF10A.PIK3CA.HH	24H	I12	AG-1024	1.11uM	down
CPC006_MCF7_24H_H15_NVP-AUY922_10uM down	374c7e0d-d38b-4451-911e-d7a632727d92	250	6.09606851876064e-16	6.016478965364233e-11	14.541735849056604	17	CPC006	MCF7	24H	H15	NVP-AUY922	10uM	down
AICHI001_THP1_4H_I13_GDC-0941_10uM down	a0aaf685-957f-4865-b9a7-194ad4307efb	250	6.09606851876064e-16	6.016478965364233e-11	14.541735849056604	17	AICHI001	THP1	4H	I13	GDC-0941	10uM	down
AICHI001_THP1_4H_P16_IPI-145_0.125uM down	3c74f3f4-32e9-43c8-a1ba-9dd1df243071	250	6.09606851876064e-16	6.016478965364233e-11	14.541735849056604	17	AICHI001	THP1	4H	P16	IPI-145	0.125uM	down
AICHI001_THP1_4H_K20_afatinib_2.5uM down	50c2eab8-db31-44fb-ad48-99bc479277e2	250	6.09606851876064e-16	6.016478965364233e-11	14.541735849056604	17	AICHI001	THP1	4H	K20	afatinib	2.5uM	down
REP.A006_HELA_24H_B07_estradiol_10uM up	015a0d7a-3fd9-481a-96cd-7ecb45686d49	250	6.09606851876064e-16	6.016478965364233e-11	14.541735849056604	17	REP.A006	HELA	24H	B07	estradiol	10uM	up
CPC006_HT29_6H_B13_PP-110_20uM down	bcafabfc-8840-4e1e-9d93-5c17fa53724a	250	1.3354486181637527e-14	7.468741229327451e-10	13.686339622641508	16	CPC006	HT29	6H	B13	PP-110	20uM	down
REP.B014_MCF10A_24H_F01_AT-13387_2.22uM down	aebdeea4-fdb9-4ccc-a183-fa7c8f2b4f2e	250	1.3354486181637527e-14	7.468741229327451e-10	13.686339622641508	16	REP.B014	MCF10A	24H	F01	AT-13387	2.22uM	down
AICHI001_THP1_4H_F19_midostaurin_10uM down	eab569b8-41d8-4397-8824-1c91b04313d4	250	1.3354486181637527e-14	7.468741229327451e-10	13.686339622641508	16	AICHI001	THP1	4H	F19	midostaurin	10uM	down
REP.B027_HELA_24H_N19_tanaproget_2.22uM up	32b3c458-c711-44e3-9a84-5bbba2899edd	250	1.3354486181637527e-14	7.468741229327451e-10	13.686339622641508	16	REP.B027	HELA	24H	N19	tanaproget	2.22uM	up
AICHI001_THP1_4H_H05_ruxolitinib_0.04uM up	986c1b31-c0ba-4c64-8742-b32c3b6c3f5f	250	1.3354486181637527e-14	7.468741229327451e-10	13.686339622641508	16	AICHI001	THP1	4H	H05	ruxolitinib	0.04uM	up
CPC018_HT29_6H_F24_U-0126_10uM down	6e6c8fd8-04d2-4be5-bcbf-011abb07ef61	250	1.3354486181637527e-14	7.468741229327451e-10	13.686339622641508	16	CPC018	HT29	6H	F24	U-0126	10uM	down
REP.A006_HELA_24H_B08_estradiol_3.33uM up	4860044d-7331-4270-a5ec-a2a5428aa5b3	250	1.3354486181637527e-14	7.468741229327451e-10	13.686339622641508	16	REP.A006	HELA	24H	B08	estradiol	3.33uM	up
AICHI001_THP1_4H_B21_trametinib_0.66uM down	1a1666ed-c53f-45d6-b13b-b73db839c901	250	1.3354486181637527e-14	7.468741229327451e-10	13.686339622641508	16	AICHI001	THP1	4H	B21	trametinib	0.66uM	down
CPC018_HT29_6H_H04_BRD-K12244279_10uM down	9151b8aa-42b4-4101-a016-5bc38bf18461	250	1.3354486181637527e-14	7.468741229327451e-10	13.686339622641508	16	CPC018	HT29	6H	H04	BRD-K12244279	10uM	down
CPC006_HT29_6H_C04_AZD-8055_10uM down	483b6be6-7674-4208-b2f2-28cd898a8ef8	250	1.3354486181637527e-14	7.468741229327451e-10	13.686339622641508	16	CPC006	HT29	6H	C04	AZD-8055	10uM	down
FIBR039_MCLF056CN_6H_O22_COT-10b_4uM up	0075eb85-0f93-4987-97b6-04e9b92acadc	250	1.3354486181637527e-14	7.468741229327451e-10	13.686339622641508	16	FIBR039	MCLF056CN	6H	O22	COT-10b	4uM	up
CPC013_HT29_6H_A21_tozasertib_10uM down	675a85c9-fcf4-4d63-a3ba-92a297c7f725	250	1.3354486181637527e-14	7.468741229327451e-10	13.686339622641508	16	CPC013	HT29	6H	A21	tozasertib	10uM	down
AICHI001_THP1_4H_K13_pilaralisib_10uM down	4d613d4c-e6e7-4a7e-9fc3-27b3edae7fa4	250	1.3354486181637527e-14	7.468741229327451e-10	13.686339622641508	16	AICHI001	THP1	4H	K13	pilaralisib	10uM	down
FIBR039_MCLF056CN_6H_P08_CHIR-99021_4uM up	1c7b5bc4-1608-492e-9ef4-9a1fb23863ce	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	FIBR039	MCLF056CN	6H	P08	CHIR-99021	4uM	up
AICHI001_OCILY19_4H_A09_GDC-0941_0.66uM down	ebc1e685-4d23-4ab1-b47c-dfe477f9d687	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	AICHI001	OCILY19	4H	A09	GDC-0941	0.66uM	down
CPC016_HT29_6H_A04_wortmannin_10uM down	025d3357-b3ab-4d8e-88a5-a5ee25dfb744	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	CPC016	HT29	6H	A04	wortmannin	10uM	down
PAC066_U2OS_6H_K04_BRD-K25805580_10uM up	8338b55f-f43f-4dd7-9209-12606a1ee272	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	PAC066	U2OS	6H	K04	BRD-K25805580	10uM	up
FIBR038_MCLF035SZ_6H_P08_CHIR-99021_4uM up	f6e6fa2e-adaf-4560-b129-df6357d36d91	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	FIBR038	MCLF035SZ	6H	P08	CHIR-99021	4uM	up
PAC002_U2OS_6H_C06_tamoxifen_10uM up	0cbf4fff-99a8-4003-97dd-6b5736ecbd1e	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	PAC002	U2OS	6H	C06	tamoxifen	10uM	up
ERG005_VCAP_6H_K03_alpha-estradiol_20uM up	8d619f70-d1c4-4f70-b4a5-404a5f217be3	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	ERG005	VCAP	6H	K03	alpha-estradiol	20uM	up
PAC066_U2OS_6H_E05_BRD-K92722247_10uM up	0d6ca689-d910-4b58-824a-0e31d7a375fe	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	PAC066	U2OS	6H	E05	BRD-K92722247	10uM	up
FIBR010_MCLF123SZ_6H_O22_COT-10b_4uM up	120bc099-09b2-4f19-a9bc-fbc64c6c296b	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	FIBR010	MCLF123SZ	6H	O22	COT-10b	4uM	up
CPC020_VCAP_6H_J13_orciprenaline_10uM up	41dc46fc-b1db-48bb-aa09-5c9745e79bdf	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	CPC020	VCAP	6H	J13	orciprenaline	10uM	up
ERG004_VCAP_6H_E11_BRD-K38553273_10uM up	0e785e0d-8653-4d34-abc7-1310720583b3	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	ERG004	VCAP	6H	E11	BRD-K38553273	10uM	up
AICHI001_K562_4H_N01_cobimetinib_10uM down	811d0445-0269-40a9-97fd-b4d9dcbf5f0b	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	AICHI001	K562	4H	N01	cobimetinib	10uM	down
CPC006_HCC515_6H_A04_wortmannin_10uM down	56c91780-ce75-4d8b-a2c7-07270601267a	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	CPC006	HCC515	6H	A04	wortmannin	10uM	down
REP.A006_HELA_24H_M01_chrysin_10uM up	3f7f45f0-81f3-4877-ade4-38d528ea885c	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	REP.A006	HELA	24H	M01	chrysin	10uM	up
AICHI001_THP1_4H_A14_GSK-2110183_2.5uM down	467b3a68-b17b-4c35-8ffc-9e42f54697b1	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	AICHI001	THP1	4H	A14	GSK-2110183	2.5uM	down
AICHI001_THP1_4H_N16_GW-5074_0.125uM up	d4aab87d-2810-4d69-9650-204ef38c4580	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	AICHI001	THP1	4H	N16	GW-5074	0.125uM	up
CPC013_HT29_6H_A04_wortmannin_10uM down	2e9d9804-d6bc-48f2-91d8-b96cb992f137	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	CPC013	HT29	6H	A04	wortmannin	10uM	down
AICHI001_BJAB_4H_C22_sirolimus_0.125uM down	ccb668f4-dbb6-4791-aa41-a5ab199966d0	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	AICHI001	BJAB	4H	C22	sirolimus	0.125uM	down
ERG003_VCAP_6H_H03_BRD-K85565420_30uM down	18585a8f-b03c-49ea-99a1-047d85caae8e	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	ERG003	VCAP	6H	H03	BRD-K85565420	30uM	down
REP.B016_THP1_24H_D20_BIIB-021_0.74uM down	9623c30b-2043-4628-a9ec-6189a7b3b93f	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	REP.B016	THP1	24H	D20	BIIB-021	0.74uM	down
CPC006_MCF7_24H_J19_tanespimycin_0.37uM down	96aa843f-f440-41f2-b6b4-b36ab9f8929d	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	CPC006	MCF7	24H	J19	tanespimycin	0.37uM	down
FIBR015_MCLF022CN_6H_B18_PP-30_4uM down	24bbe66d-6f33-4fc2-b653-05fa0729473e	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	FIBR015	MCLF022CN	6H	B18	PP-30	4uM	down
AICHI001_THP1_4H_D06_BI-D1870_0.01uM up	dbf0fe55-44cf-4225-98b4-926d0062fa53	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	AICHI001	THP1	4H	D06	BI-D1870	0.01uM	up
KMS002_NOMO1_6H_I04_BRD-K49010888_3.33uM down	8844f846-cfd9-48db-a871-119971afba53	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	KMS002	NOMO1	6H	I04	BRD-K49010888	3.33uM	down
AICHI001_THP1_4H_A08_GDC-0941_2.5uM down	f53d8b1c-f8fb-4c50-b3cb-7f9d0fdc52a6	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	AICHI001	THP1	4H	A08	GDC-0941	2.5uM	down
CPC006_HT29_6H_P19_BMS-536924_12uM down	c517ba7a-0225-4344-8d50-b517206cc4d4	250	2.669795317103933e-13	7.858589354409761e-09	12.830943396226415	15	CPC006	HT29	6H	P19	BMS-536924	12uM	down
