gene_name	gene_id	log2FoldChange	pvalue	padj
PRSS57	ENSG00000185198	5.40843	1.408235e-279	3.356529e-276
ELANE	ENSG00000197561	5.209219	1.032166e-268	2.186815e-265
PRTN3	ENSG00000196415	5.303449	3.69352e-232	6.402548e-229
LPPR3	ENSG00000129951	4.087712	8.930413e-187	1.064282e-183
TPP1	ENSG00000166340	2.71848	1.101034e-182	1.234971e-179
MT-RNR1	ENSG00000211459	4.431853	1.364696e-178	1.36958e-175
ZNF385A	ENSG00000161642	3.47871	2.161203e-167	1.962373e-164
OLIG1	ENSG00000184221	3.365406	1.351021e-164	1.170967e-161
ANP32B	ENSG00000136938	4.21296	2.563232e-163	2.036488e-160
GAS6	ENSG00000183087	3.214327	1.031135e-161	7.864676e-159
NFE2	ENSG00000123405	3.78695	6.249533e-149	4.255932e-146
RAB11B	ENSG00000185236	3.523825	1.979183e-147	1.301347e-144
HOMER3	ENSG00000051128	4.214219	1.048832e-144	6.666377e-142
GLTSCR2	ENSG00000105373	2.516461	8.092749e-144	4.977824e-141
HNRNPD	ENSG00000138668	2.423688	8.860496e-144	5.279748e-141
GLTSCR1	ENSG00000063169	4.244978	1.122029e-143	6.483289e-141
ATP6V0C	ENSG00000185883	2.663331	6.856592e-134	3.631708e-131
TAF15	ENSG00000172660	2.434848	5.151402e-125	2.58492e-122
KDM6B	ENSG00000132510	3.020251	1.158169e-123	5.520992e-121
CFD	ENSG00000197766	3.213124	5.51294e-117	2.56392e-114
HNRNPA3	ENSG00000170144	2.291751	1.881986e-112	8.155843e-110
ARSD	ENSG00000006756	5.12447	1.175827e-107	4.575646e-105
BRD4	ENSG00000141867	2.434516	6.96315e-107	2.655467e-104
FUS	ENSG00000089280	2.560854	8.427763e-107	3.150992e-104
NRGN	ENSG00000154146	2.758966	1.429399e-106	5.241495e-104
EIF1	ENSG00000173812	2.702545	1.059108e-105	3.73983e-103
CA2	ENSG00000104267	4.924527	9.142787e-102	3.058503e-99
CASC10	ENSG00000204682	4.501336	1.497154e-101	4.922024e-99
AZU1	ENSG00000172232	4.357296	2.966819e-99	9.588356e-97
BEX1	ENSG00000133169	8.195507	2.407323e-96	6.954976e-94
CTSD	ENSG00000117984	2.770625	3.850932e-89	1.019855e-86
ECH1	ENSG00000104823	1.730956	1.120389e-88	2.88697e-86
MIDN	ENSG00000167470	2.986292	1.263789e-86	3.03199e-84
RPS16	ENSG00000105193	2.424115	1.272075e-86	3.03199e-84
GRN	ENSG00000030582	1.785792	6.540917e-85	1.521003e-82
PRKACA	ENSG00000072062	2.638263	2.089649e-84	4.687698e-82
IRX3	ENSG00000177508	2.999282	4.93325e-83	1.068946e-80
CCNK	ENSG00000090061	2.276398	6.304654e-82	1.306708e-79
PRR12	ENSG00000126464	2.196306	4.332416e-81	8.882851e-79
HNRNPM	ENSG00000099783	1.526694	2.704695e-80	5.42875e-78
ZNF865	ENSG00000261221	3.781507	3.771269e-80	7.41346e-78
CHMP4B	ENSG00000101421	1.894746	2.579488e-77	4.918568e-75
LRG1	ENSG00000171236	2.747688	3.141736e-77	5.931349e-75
GABARAP	ENSG00000170296	2.106565	4.783285e-76	8.891838e-74
JUP	ENSG00000173801	5.403396	4.803122e-76	8.891838e-74
CD37	ENSG00000104894	2.014061	2.974706e-74	5.351104e-72
EPN1	ENSG00000063245	2.70033	2.65237e-73	4.597763e-71
RNASE2	ENSG00000169385	1.9301	2.890091e-73	4.964708e-71
RP11-384K6.6	ENSG00000260404	2.646129	3.724852e-73	6.341561e-71
