gene_name	gene_id	log2FoldChange	pvalue	padj
KCNK2	ENSG00000082482	1.393047	1.368236e-11	3.15613e-08
SORBS2	ENSG00000154556	1.643379	3.563509e-11	5.997335e-08
IGFBP3	ENSG00000146674	1.305806	7.228831e-10	5.985702e-07
RP11-572C15.6	ENSG00000272761	1.090294	2.586957e-08	1.670864e-05
DERL3	ENSG00000099958	1.056437	8.44046e-08	4.69959e-05
IL7R	ENSG00000168685	1.410922	9.224939e-07	0.0003103231
LYPD6B	ENSG00000150556	1.083953	1.107686e-06	0.0003577163
PALMD	ENSG00000099260	1.091103	5.926644e-06	0.001449962
ASNS	ENSG00000070669	-1.098763	1.155324e-06	0.0003657847
DDIT4	ENSG00000168209	-1.386652	4.112994e-08	2.554327e-05
