gene_name	gene_id	log2FoldChange	pvalue	padj
NCAPD2	ENSG00000010292	1.18319	1.053764e-10	8.448556e-07
KLHL24	ENSG00000114796	2.15999	2.661545e-10	1.422596e-06
HDAC5	ENSG00000108840	2.096048	4.764592e-09	9.550029e-06
SIX5	ENSG00000177045	1.142204	3.577703e-08	3.824565e-05
PNRC1	ENSG00000146278	1.36122	4.999246e-08	4.583537e-05
CDKN2C	ENSG00000123080	1.773785	5.145224e-08	4.583537e-05
JMY	ENSG00000152409	1.263732	5.420562e-07	0.0002287335
BMF	ENSG00000104081	1.086989	2.328562e-06	0.0006022338
MYC	ENSG00000136997	1.103865	4.897141e-06	0.001061158
PCDHA1	ENSG00000204970	4.73965	1.002486e-05	0.001847685
ILDR1	ENSG00000145103	2.065921	1.940386e-05	0.002948554
CALHM2	ENSG00000138172	1.246342	2.753193e-05	0.003678953
ATP7A	ENSG00000165240	1.298415	2.931945e-05	0.003885433
HIBADH	ENSG00000106049	1.427811	4.835789e-05	0.005347716
RP11-778D9.13	ENSG00000273181	2.731332	4.88214e-05	0.005361994
RPS15AP38	ENSG00000237668	1.548893	6.748621e-05	0.006757239
CTD-2313J17.5	ENSG00000260361	1.783995	8.748283e-05	0.007925351
YPEL1	ENSG00000100027	1.118686	0.0001423653	0.01087061
MMAA	ENSG00000151611	1.110735	0.0002732644	0.01599195
IRF9	ENSG00000213928	1.015705	0.0002803823	0.01618526
SDAD1P1	ENSG00000228451	1.060311	0.0003385074	0.01823459
CPEB1	ENSG00000214575	1.146367	0.0003463393	0.01844635
CCL13	ENSG00000181374	-1.022662	0.0008548832	0.03129692
CTD-3203P2.2	ENSG00000245888	-1.030134	0.0008235313	0.0306388
RP4-800M22.1	ENSG00000228407	-1.043612	0.0007726524	0.02926377
RP11-544I20.2	ENSG00000214770	-1.051068	0.0007671577	0.02926377
RP11-888D10.4	ENSG00000273284	-1.057349	0.0007609355	0.02912077
FAM215B	ENSG00000232300	-1.132967	0.0006964467	0.02761931
CTB-113P19.5	ENSG00000272112	-1.109201	0.0006635436	0.02666647
RP5-943J3.2	ENSG00000272931	-1.276322	0.0005478175	0.02400069
CYP4F29P	ENSG00000228314	-1.262239	0.0005469243	0.02400069
GALNT14	ENSG00000158089	-1.359898	0.0004734794	0.02207047
RP11-17M16.2	ENSG00000265778	-1.348081	0.0004675471	0.02185748
UBXN7-AS1	ENSG00000225822	-1.410686	0.0004437522	0.0212405
PMF1-BGLAP	ENSG00000260238	-1.371479	0.0004357267	0.02117235
RP11-12M9.3	ENSG00000237214	-1.427459	0.0004148519	0.02078797
RP1-86D1.2	ENSG00000228972	-1.443716	0.0004140377	0.02078797
HMGA1P4	ENSG00000234705	-1.409075	0.0004123643	0.02078797
RP11-446P9.1	ENSG00000258965	-1.473367	0.0003934156	0.01996335
RPSAP55	ENSG00000214896	-1.49632	0.0003751037	0.01946533
RNF207	ENSG00000158286	-1.15596	0.0003474149	0.01844635
LEKR1	ENSG00000197980	-1.589515	0.000336137	0.01823459
TNFSF13B	ENSG00000102524	-1.622051	0.0003098217	0.01719028
TREM2	ENSG00000095970	-1.314689	0.0003014941	0.01678631
RP11-461A8.4	ENSG00000263235	-1.675026	0.000292192	0.01647957
MIR296	ENSG00000268649	-1.721754	0.0002756841	0.01607489
KCNMB3	ENSG00000171121	-1.783602	0.0002616136	0.01547961
AC159540.1	ENSG00000230606	-1.310723	0.0002569604	0.01537448
RP11-268J15.5	ENSG00000116883	-1.782207	0.0002443582	0.01495528
RP1-159A19.3	ENSG00000235912	-1.807808	0.0002443306	0.01495528
RP11-15J10.1	ENSG00000204778	-1.833186	0.0002402816	0.01486219
MT-TR	ENSG00000210174	-1.656229	0.0002389023	0.01486219
IGIP	ENSG00000182700	-1.319323	0.0001984795	0.01320589
FAM25A	ENSG00000188100	-2.034163	0.0001920698	0.0129951
RP11-326K13.4	ENSG00000263823	-1.294109	0.0001814241	0.01252075
RP11-14N7.2	ENSG00000232527	-1.469286	0.0001744504	0.01221533
ADORA2B	ENSG00000170425	-1.762662	0.0001737912	0.01221533
SERINC5	ENSG00000164300	-2.122335	0.0001731324	0.01221533
RWDD4P2	ENSG00000175741	-2.138945	0.0001693955	0.01212615
PTHLH	ENSG00000087494	-1.499608	0.000155496	0.01149022
IL11	ENSG00000095752	-1.050242	0.0001544232	0.01147217
RP11-74C1.2	ENSG00000223861	-2.282142	0.000143823	0.01092987
FAM160B2	ENSG00000158863	-2.020696	0.0001406722	0.01085593
RN7SL329P	ENSG00000242170	-2.365771	0.0001292088	0.01025675
RP5-1073O3.7	ENSG00000235527	-2.367858	0.000127431	0.01021678
SLMO1	ENSG00000141391	-2.537387	0.0001074577	0.008881878
AC127904.2	ENSG00000230732	-1.053664	0.0001004357	0.008476243
TEF	ENSG00000167074	-1.362123	9.789414e-05	0.008305463
CYBB	ENSG00000165168	-1.677656	9.279756e-05	0.008131196
RP4-800G7.2	ENSG00000244560	-2.701107	9.028156e-05	0.008042582
FOXP1-IT1	ENSG00000242094	-2.090395	8.829005e-05	0.007953544
Z83851.4	ENSG00000233903	-2.784078	8.097098e-05	0.007505027
BTBD11	ENSG00000151136	-1.323408	7.879666e-05	0.007387064
FAM156B	ENSG00000179304	-2.934969	6.930408e-05	0.006817735
WASIR2	ENSG00000231439	-3.085335	5.984621e-05	0.006191187
RPS7P3	ENSG00000231940	-3.047337	5.922615e-05	0.006166827
LEAP2	ENSG00000164406	-3.096134	5.910383e-05	0.006166827
ARL6	ENSG00000113966	-3.105598	5.75967e-05	0.006076072
SCO2	ENSG00000130489	-1.114021	5.575296e-05	0.005920521
CTD-3064H18.1	ENSG00000266916	-2.716458	5.367401e-05	0.005756665
RPS15AP10	ENSG00000225447	-1.682724	5.071802e-05	0.005532404
RP11-390B4.5	ENSG00000260589	-3.422189	4.15637e-05	0.004794777
TIRAP	ENSG00000150455	-2.920159	3.891693e-05	0.004588478
FAM21FP	ENSG00000237840	-3.495502	3.814777e-05	0.004531107
CRYBB2P1	ENSG00000100058	-1.25564	3.7486e-05	0.004519459
PMS2P1	ENSG00000078319	-2.732981	3.556581e-05	0.004420913
RP11-731C17.2	ENSG00000273486	-2.445881	3.541208e-05	0.004420913
