gene_name	gene_id	log2FoldChange	pvalue	padj
B3GAT1	ENSG00000109956	4.158217	3.867514e-08	0.000199177
PIM1	ENSG00000137193	1.483191	1.440261e-06	0.003708673
GABARAPL1	ENSG00000139112	1.091834	3.836384e-06	0.006121992
ZDHHC22	ENSG00000177108	3.880716	7.007782e-06	0.009842748
NKAIN2	ENSG00000188580	3.71848	9.887386e-06	0.01175078
ALK	ENSG00000171094	4.243785	1.175101e-05	0.01296808
MANEAL	ENSG00000185090	2.961537	1.575856e-05	0.01623132
MIR4458HG	ENSG00000247516	3.877703	2.372755e-05	0.02076078
FRMPD4	ENSG00000169933	3.565568	2.418731e-05	0.02076078
LGI2	ENSG00000153012	3.186149	2.69892e-05	0.02188276
MCHR1	ENSG00000128285	3.317836	2.938671e-05	0.02188276
ADD2	ENSG00000075340	2.4866	3.242896e-05	0.02236044
ID2	ENSG00000115738	1.970703	3.328739e-05	0.02236044
EPHA10	ENSG00000183317	3.446134	4.411813e-05	0.02840105
CELF5	ENSG00000161082	2.432532	5.480138e-05	0.03386726
FAM131B	ENSG00000159784	2.357184	5.795246e-05	0.03443713
NPTX1	ENSG00000171246	2.036004	7.943899e-05	0.04434787
PNCK	ENSG00000130822	2.52186	8.037154e-05	0.04434787
FGF12	ENSG00000114279	2.642096	8.375714e-05	0.04462234
ADAP2	ENSG00000184060	2.342084	9.076865e-05	0.04467942
SUSD4	ENSG00000143502	2.855051	9.911737e-05	0.04467942
SEPT3	ENSG00000100167	2.270945	0.0001009882	0.04467942
APLN	ENSG00000171388	-1.609583	2.974355e-05	0.02188276
C10orf10	ENSG00000165507	-1.205573	1.784694e-05	0.01723345
MAP6D1	ENSG00000180834	-1.315758	9.700756e-06	0.01175078
HK2	ENSG00000159399	-1.136547	3.962455e-06	0.006121992
DDIT4	ENSG00000168209	-1.090524	3.128487e-06	0.00604189
LYN	ENSG00000254087	-1.349206	2.530673e-06	0.005585557
C3orf58	ENSG00000181744	-1.60961	8.4267e-07	0.00260385
C1orf51	ENSG00000159208	-2.237587	5.883462e-08	0.0002272487
PFKFB4	ENSG00000114268	-1.402526	3.425102e-08	0.000199177
ITGB1P1	ENSG00000269378	-23.25755	2.262593e-12	3.495706e-08
