gene_name	gene_id	log2FoldChange	pvalue	padj
RP1-292B18.1	ENSG00000219747	25.82654	5.359629e-19	8.04641e-15
HMGN1	ENSG00000205581	25.538	1.309772e-18	9.831803e-15
RP11-691N7.6	ENSG00000254732	23.82763	2.156769e-16	1.079319e-12
TMSB4XP6	ENSG00000230043	23.35676	8.311059e-16	3.119348e-12
SKP1	ENSG00000113558	22.72051	4.960332e-15	1.489389e-11
EIF4A1	ENSG00000161960	22.22307	1.89189e-14	4.733824e-11
BMF	ENSG00000104081	1.673519	5.528172e-10	1.185635e-06
CREBRF	ENSG00000164463	1.014966	2.273975e-08	4.267398e-05
KLHL24	ENSG00000114796	1.385508	3.243055e-08	5.409776e-05
RPL4P4	ENSG00000229638	4.147377	9.273437e-08	0.0001265655
NBPF15	ENSG00000243452	-2.075735	5.7054e-06	0.007137931
