gene_name	gene_id	log2FoldChange	pvalue	padj
FERMT1	ENSG00000101311	3.737714	5.997016e-13	9.370937e-09
RP11-227G15.3	ENSG00000265794	10.35865	3.259763e-12	2.003394e-08
LRRFIP1	ENSG00000124831	1.368985	1.353654e-11	4.230439e-08
MALAT1	ENSG00000251562	1.66602	3.146385e-10	8.194237e-07
SLC26A2	ENSG00000155850	1.404553	1.948395e-09	4.349375e-06
SAMD9	ENSG00000205413	1.392329	6.769453e-09	1.057795e-05
RB1CC1	ENSG00000023287	1.168516	1.543058e-08	1.968711e-05
ARHGAP21	ENSG00000107863	1.178793	1.585249e-08	1.968711e-05
BRWD1	ENSG00000185658	1.117064	1.637862e-08	1.968711e-05
FSD1L	ENSG00000106701	1.73855	3.074009e-08	3.202297e-05
KLF2	ENSG00000127528	1.675184	4.234405e-08	4.135426e-05
CSGALNACT2	ENSG00000169826	1.055736	7.557095e-08	6.215114e-05
MGEA5	ENSG00000198408	1.072991	1.517107e-07	0.0001128872
SPAG9	ENSG00000008294	1.182795	2.170691e-07	0.0001541783
MIR29A	ENSG00000226380	1.12817	3.028984e-07	0.0001917458
DST	ENSG00000151914	1.086182	3.822247e-07	0.000221209
CCDC68	ENSG00000166510	1.320149	5.518388e-07	0.000297346
BOD1L1	ENSG00000038219	1.059601	5.732136e-07	0.0002985679
SRGAP1	ENSG00000196935	1.093178	6.016092e-07	0.0003032499
TCF7L2	ENSG00000148737	1.073903	7.259778e-07	0.0003437615
ZFHX3	ENSG00000140836	1.017996	7.764811e-07	0.0003568616
FST	ENSG00000134363	1.33575	8.744109e-07	0.0003714894
KLF12	ENSG00000118922	1.02807	9.068415e-07	0.0003714894
BMPR1B	ENSG00000138696	1.362396	1.260915e-06	0.0004691205
C3orf52	ENSG00000114529	1.027671	1.722789e-06	0.0005748083
RCAN3	ENSG00000117602	1.190733	3.089229e-06	0.0008939312
EDIL3	ENSG00000164176	1.016005	3.355008e-06	0.000920332
CDKL5	ENSG00000008086	1.192148	3.603745e-06	0.0009385353
AHNAK2	ENSG00000185567	1.024496	4.193514e-06	0.001022521
LL22NC03-2H8.5	ENSG00000272216	1.312833	1.901195e-05	0.00286811
MN1	ENSG00000169184	1.120882	3.361684e-05	0.004169022
RP11-181C21.4	ENSG00000219201	1.05974	5.337493e-05	0.005699997
RP11-87H9.3	ENSG00000231242	1.063073	7.533143e-05	0.006924287
RP11-393I2.4	ENSG00000272008	-1.15778	0.0001279252	0.009703687
RP11-498C9.2	ENSG00000262831	-1.018686	0.0001120598	0.008933913
RUSC1-AS1	ENSG00000225855	-1.321637	9.434827e-05	0.008056208
VCAM1	ENSG00000162692	-1.172925	8.887344e-05	0.007698945
TMEM236	ENSG00000184040	-1.270023	8.44625e-05	0.007541777
DKK2	ENSG00000155011	-1.514582	8.169834e-05	0.007379296
UBD	ENSG00000213886	-1.092788	7.490503e-05	0.006924287
CTD-2031P19.5	ENSG00000262211	-1.166517	6.669993e-05	0.006433661
RP3-416H24.1	ENSG00000257671	-1.328664	6.401645e-05	0.006213174
CEP164P1	ENSG00000226937	-1.916269	5.362214e-05	0.005699997
RPL15P3	ENSG00000212802	-1.005266	5.355477e-05	0.005699997
RARB	ENSG00000077092	-1.135679	5.159083e-05	0.005598321
RP4-583P15.15	ENSG00000273154	-1.908701	5.08368e-05	0.005555076
MRC1L1	ENSG00000183748	-1.11188	4.581168e-05	0.005113238
RP5-1142A6.2	ENSG00000224888	-2.047864	4.515083e-05	0.005075733
RP11-61L23.2	ENSG00000253882	-1.040675	4.446087e-05	0.005034388
C17orf72	ENSG00000224383	-1.244557	4.061971e-05	0.004701656
CTC-250I14.6	ENSG00000267598	-1.480042	4.032912e-05	0.004701656
TOR3A	ENSG00000186283	-1.011687	3.824968e-05	0.004633252
HTR1B	ENSG00000135312	-1.203381	3.104884e-05	0.003912655
ITGB1P1	ENSG00000269378	-1.062538	2.589672e-05	0.003400522
MRPL55	ENSG00000162910	-1.036683	2.543142e-05	0.003396507
PIK3C2B	ENSG00000133056	-1.232757	2.364151e-05	0.003232434
ATP5G1	ENSG00000159199	-1.073636	2.279075e-05	0.003179717
GIMAP8	ENSG00000171115	-1.271469	1.686657e-05	0.00263557
C8orf4	ENSG00000176907	-1.178631	1.281188e-05	0.00212977
PER2	ENSG00000132326	-1.112376	1.196934e-05	0.002032966
PCDH17	ENSG00000118946	-1.146499	1.181777e-05	0.002032966
CLEC1A	ENSG00000150048	-1.191984	1.144869e-05	0.002010082
SNORA68	ENSG00000207166	-1.587566	8.779846e-06	0.001614046
CTD-2132N18.3	ENSG00000267261	-4.283802	7.302853e-06	0.001444486
SLC19A1	ENSG00000173638	-1.329233	7.025119e-06	0.001418196
KB-1208A12.3	ENSG00000245970	-1.627329	6.757914e-06	0.001389463
CTD-2033D15.1	ENSG00000259279	-2.152789	6.402594e-06	0.001351985
GIMAP4	ENSG00000133574	-1.223444	6.173632e-06	0.001321496
RGS4	ENSG00000117152	-1.103582	5.883582e-06	0.001281984
VAMP8	ENSG00000118640	-1.632169	5.609598e-06	0.001252223
RP11-475C16.1	ENSG00000218426	-1.122562	5.372216e-06	0.001216612
LSM10	ENSG00000181817	-1.405274	5.339194e-06	0.001216612
RPL18AP3	ENSG00000213442	-1.526114	4.323884e-06	0.001022521
HIST1H3I	ENSG00000182572	-1.112518	4.040427e-06	0.001002154
JSRP1	ENSG00000167476	-3.588924	4.034016e-06	0.001002154
H2AFX	ENSG00000188486	-1.06185	3.474951e-06	0.000920332
CBS	ENSG00000160200	-1.541942	3.07834e-06	0.0008939312
SDPR	ENSG00000168497	-1.28055	2.760067e-06	0.0008294001
CLEC14A	ENSG00000176435	-1.083706	1.852771e-06	0.000590845
MXD3	ENSG00000213347	-1.724909	1.736933e-06	0.0005748083
RNF144B	ENSG00000137393	-1.265334	9.998824e-07	0.000390604
CXCL12	ENSG00000107562	-1.737434	9.271782e-07	0.0003714894
HIST1H2AB	ENSG00000137259	-1.539295	3.77253e-07	0.000221209
CTC-429P9.4	ENSG00000268790	-6.583273	3.067736e-07	0.0001917458
SLC5A10	ENSG00000154025	-5.171926	6.947398e-08	6.031114e-05
RP11-228B15.4	ENSG00000225032	-3.473039	5.9273e-08	5.448235e-05
PHGDH	ENSG00000092621	-1.748795	1.967311e-08	2.1958e-05
CCND2	ENSG00000118971	-1.512425	4.582379e-09	7.956028e-06
SPNS2	ENSG00000183018	-1.927984	3.59881e-09	7.029376e-06
AC005280.1	ENSG00000170468	-8.363884	1.166237e-11	4.230439e-08
SPECC1L-ADORA2A	ENSG00000258555	-8.516907	3.846271e-12	2.003394e-08
