gene_name	gene_id	log2FoldChange	pvalue	padj
FREM1	ENSG00000164946	1.383189	6.647828e-40	5.871361e-36
BCHE	ENSG00000114200	1.683407	3.476648e-35	1.22823e-31
LSAMP	ENSG00000185565	1.008364	1.796117e-33	4.532374e-30
SLIT3	ENSG00000184347	2.338372	1.034575e-31	2.284343e-28
VSTM2A	ENSG00000170419	1.285217	1.142957e-29	1.682433e-26
GRIK2	ENSG00000164418	2.002815	2.927692e-29	3.693911e-26
BEX2	ENSG00000133134	1.181465	1.492275e-26	1.647471e-23
IGFBP6	ENSG00000167779	1.350028	4.1739e-26	4.336927e-23
AZGP1	ENSG00000160862	1.172733	1.078354e-25	1.058225e-22
TGFB2	ENSG00000092969	1.696504	9.526922e-25	8.857029e-22
PLK2	ENSG00000145632	1.042316	2.168211e-24	1.740876e-21
SLC6A14	ENSG00000087916	1.183923	1.561292e-23	1.103147e-20
GABRB2	ENSG00000145864	2.544604	3.156587e-23	2.144537e-20
NAP1L3	ENSG00000186310	1.757519	4.071838e-23	2.663887e-20
CLDN10	ENSG00000134873	1.000129	3.506595e-20	1.548513e-17
ST6GAL2	ENSG00000144057	1.360048	3.613338e-18	1.302571e-15
ADD2	ENSG00000075340	1.12778	7.094084e-17	2.198419e-14
UGT2B11	ENSG00000213759	1.042613	8.434972e-17	2.568885e-14
EIF1AXP1	ENSG00000236698	1.958688	1.166726e-16	3.49306e-14
RP11-399J13.3	ENSG00000273003	10.10413	1.665826e-16	4.745993e-14
CLSTN2	ENSG00000158258	1.051939	2.433223e-16	6.715697e-14
SLC9A3	ENSG00000066230	1.364224	3.202058e-16	8.569871e-14
PLA2G7	ENSG00000146070	1.735171	1.184695e-15	2.866636e-13
CNTNAP5	ENSG00000155052	1.26273	1.722145e-15	4.055996e-13
PCDHGB1	ENSG00000254221	1.264494	8.456946e-15	1.774967e-12
RP11-384F7.2	ENSG00000239268	1.501943	2.001323e-14	4.017201e-12
BEGAIN	ENSG00000183092	1.483761	3.228263e-14	6.336005e-12
FGF18	ENSG00000156427	1.079036	5.089642e-14	9.564196e-12
KSR2	ENSG00000171435	1.006946	1.169779e-13	2.087169e-11
RP11-401P9.4	ENSG00000261685	1.593563	1.620343e-13	2.862174e-11
GABRA1	ENSG00000022355	1.470863	1.638408e-13	2.865429e-11
SLC16A14	ENSG00000163053	1.529532	1.950641e-13	3.313089e-11
SLCO5A1	ENSG00000137571	1.921118	2.29308e-13	3.821224e-11
CDH10	ENSG00000040731	1.524862	1.444363e-12	1.962556e-10
SULF2	ENSG00000196562	1.169005	2.662704e-12	3.408261e-10
B3GAT1	ENSG00000109956	1.518313	3.347726e-12	4.106544e-10
IL17RD	ENSG00000144730	1.231521	9.01716e-12	1.014517e-09
SLC16A6	ENSG00000108932	1.511797	2.396509e-11	2.519758e-09
NKD1	ENSG00000140807	1.15713	2.808887e-11	2.851505e-09
RPS6KA5	ENSG00000100784	1.074717	3.197743e-11	3.19124e-09
GDF11	ENSG00000135414	1.340058	9.415196e-11	8.572682e-09
LINC00617	ENSG00000250366	1.299612	2.427587e-10	2.03227e-08
KLK6	ENSG00000167755	1.472071	3.024281e-10	2.43931e-08
FAM81B	ENSG00000153347	1.367131	4.356976e-10	3.331672e-08
RUNX2	ENSG00000124813	1.489192	5.742707e-10	4.226632e-08
CRHR2	ENSG00000106113	1.124727	1.322769e-09	9.127109e-08
MUC2	ENSG00000198788	1.45178	3.509996e-09	2.145349e-07
NEGR1	ENSG00000172260	1.137319	6.251685e-09	3.550796e-07
ANKRD37	ENSG00000186352	1.411272	6.446355e-09	3.637969e-07
BDNF	ENSG00000176697	1.024458	2.722552e-08	1.296484e-06
FZD8	ENSG00000177283	1.93715	2.106212e-07	7.865566e-06
SNORD99	ENSG00000221539	1.086444	2.851827e-07	1.01973e-05
FABP5P7	ENSG00000234964	1.166549	2.991636e-07	1.06113e-05
KLRC3	ENSG00000205810	1.624738	3.91706e-07	1.346128e-05
CASKIN1	ENSG00000167971	1.252976	7.469421e-07	2.347684e-05
VWA3A	ENSG00000175267	1.27715	2.878204e-06	7.565565e-05
TDRD6	ENSG00000180113	1.135258	3.390521e-06	8.669987e-05
DNER	ENSG00000187957	1.629	6.160085e-06	0.0001448891
AC068533.7	ENSG00000249319	1.030108	6.311218e-06	0.0001477023
RP11-146D12.2	ENSG00000240240	1.045292	6.585065e-06	0.0001522495
FAM133A	ENSG00000179083	1.281547	7.133924e-06	0.0001625982
MGAT5B	ENSG00000167889	1.119085	7.350598e-06	0.0001666765
RP11-768G7.2	ENSG00000241213	1.175278	8.282009e-06	0.0001840169
PPFIA4	ENSG00000143847	1.161636	1.191072e-05	0.0002516637
PSPHP1	ENSG00000226278	1.134721	1.500335e-05	0.000303573
TRIM71	ENSG00000206557	1.033835	2.401443e-05	0.0004503088
ANKRD45	ENSG00000183831	1.006029	5.149855e-05	0.000843068
RP11-622J8.1	ENSG00000249111	1.059805	5.35473e-05	0.0008677609
NDRG4	ENSG00000103034	1.032511	5.636296e-05	0.0009059101
KCNB1	ENSG00000158445	1.05002	6.025896e-05	0.0009537762
RP11-328L11.1	ENSG00000253945	1.040709	0.0001881551	0.002401425
LCN2	ENSG00000148346	-1.011602	0.0001906103	0.00242575
LINC01133	ENSG00000224259	-1.032147	0.0001855839	0.002372957
DSC3	ENSG00000134762	-1.026297	0.0001814632	0.002329481
ERVV-1	ENSG00000269526	-1.05394	0.0001717682	0.002239934
PSCA	ENSG00000167653	-1.059415	0.0001553924	0.002071587
SOCS1	ENSG00000185338	-1.07916	0.0001338802	0.001841767
MAGEA2	ENSG00000184750	-1.000579	0.0001323847	0.001822637
SORCS3	ENSG00000156395	-1.142134	0.0001148144	0.001627673
TMEM150B	ENSG00000180061	-1.099305	0.0001064642	0.00153142
RARB	ENSG00000077092	-1.000167	9.096126e-05	0.001351337
CASP10	ENSG00000003400	-1.043297	8.645103e-05	0.001296325
UNC93A	ENSG00000112494	-1.045798	7.529674e-05	0.001157261
SPINK4	ENSG00000122711	-1.137698	7.262675e-05	0.001125332
KIF19	ENSG00000196169	-1.086336	5.832486e-05	0.0009298288
EBF4	ENSG00000088881	-1.004784	5.287531e-05	0.0008592359
RP11-464F9.1	ENSG00000242288	-1.234407	5.023891e-05	0.0008239742
KLHL4	ENSG00000102271	-1.316427	4.926507e-05	0.0008110141
CLDN18	ENSG00000066405	-1.100093	4.518498e-05	0.0007551065
TRIM31	ENSG00000204616	-1.25531	4.008982e-05	0.0006861885
