gene_name	gene_id	log2FoldChange	pvalue	padj
DKK1	ENSG00000107984	2.788884	0	0
EFEMP1	ENSG00000115380	1.995594	0	0
PREX1	ENSG00000124126	1.527598	0	0
SLC2A12	ENSG00000146411	2.582443	0	0
GPR110	ENSG00000153292	2.186948	0	0
CDC42EP3	ENSG00000163171	1.5572	0	0
KRT4	ENSG00000170477	2.102842	0	0
AGR2	ENSG00000106541	1.653079	4.749776e-299	3.958313e-296
HSPA1A	ENSG00000204389	1.820509	3.260926e-291	2.868528e-296
MGP	ENSG00000111341	4.207049	1.444316e-284	1.089014e-281
TRIM29	ENSG00000137699	1.513808	6.818506e-273	4.694097e-270
TUBA1B	ENSG00000123416	1.123	2.882824e-258	1.825865e-255
HSPA8	ENSG00000109971	1.417088	2.559215e-257	1.558562e-254
HSP90AA1	ENSG00000080824	1.447831	1.165911e-243	6.365873e-241
KIF20A	ENSG00000112984	2.221997	2.420012e-242	1.277282e-239
ENC1	ENSG00000171617	2.418275	1.48876e-225	6.933244e-223
GLUL	ENSG00000135821	1.360388	1.646739e-221	7.242908e-219
TUBB4B	ENSG00000188229	1.486709	2.222228e-217	9.022246e-215
BCAS1	ENSG00000064787	2.232315	5.149976e-217	2.038618e-214
GPRC5A	ENSG00000013588	1.686344	1.481265e-207	5.454498e-205
SPTSSB	ENSG00000196542	1.786585	1.030542e-204	3.708546e-202
ANLN	ENSG00000011426	1.508658	3.908079e-203	1.375123e-200
TGFB2	ENSG00000092969	1.857234	2.17587e-201	7.330365e-199
STOM	ENSG00000148175	1.214882	9.504835e-201	3.135408e-198
EMP2	ENSG00000213853	1.143809	4.523054e-200	1.432361e-197
TOP2A	ENSG00000131747	1.265737	5.072837e-196	1.574967e-193
DHCR24	ENSG00000116133	1.075785	7.535034e-186	2.169268e-183
HSPA2	ENSG00000126803	2.618497	2.394816e-172	6.31992e-170
CALM3	ENSG00000160014	1.126432	2.638377e-162	6.631122e-160
RHOB	ENSG00000143878	1.285004	2.401179e-161	5.849273e-159
ASPM	ENSG00000066279	1.647375	4.298118e-157	1.031158e-154
SCNN1A	ENSG00000111319	1.0171	5.960355e-153	1.367772e-150
CTGF	ENSG00000118523	2.845818	2.02393e-152	4.578131e-150
LMNB1	ENSG00000113368	1.293974	1.607383e-149	3.534904e-147
B4GALT5	ENSG00000158470	1.319167	1.134746e-140	2.245946e-138
CYP4Z1	ENSG00000186160	1.519702	3.223278e-139	6.300912e-137
LAMB1	ENSG00000091136	1.084791	3.587964e-133	6.844798e-131
TFRC	ENSG00000072274	1.0635	6.802992e-131	1.267277e-128
CRIM1	ENSG00000150938	1.210417	1.329086e-128	2.418936e-126
FASN	ENSG00000169710	1.136998	2.48776e-127	4.476272e-125
TPX2	ENSG00000088325	1.04949	7.853277e-121	1.351617e-118
ELF3	ENSG00000163435	1.223023	9.47914e-119	1.596731e-116
TBC1D2	ENSG00000095383	1.461554	6.848522e-117	1.129578e-114
HSPA1B	ENSG00000204388	1.348375	3.691639e-116	5.964634e-114
TMPRSS2	ENSG00000184012	1.520265	2.43024e-115	3.886911e-113
PGM5	ENSG00000154330	3.495487	2.697817e-113	4.187964e-111
CORO2B	ENSG00000103647	3.337907	3.991839e-112	6.019693e-110
EHD2	ENSG00000024422	1.077173	8.018239e-111	1.18655e-108
CENPF	ENSG00000117724	1.226176	2.753562e-110	4.037028e-108
LPCAT1	ENSG00000153395	1.467126	1.684404e-108	2.381327e-106
NR2F2	ENSG00000185551	1.359899	4.076707e-107	5.662331e-105
MT2A	ENSG00000125148	1.32672	1.006262e-104	1.338921e-102
KIFC1	ENSG00000237649	1.164269	2.087642e-104	2.754644e-102
NEDD4L	ENSG00000049759	1.363317	5.464984e-104	7.151452e-102
PTPN14	ENSG00000152104	1.297523	2.416906e-103	3.136827e-101
KPNA2	ENSG00000182481	1.117122	4.690608e-103	6.0383e-101
KLF6	ENSG00000067082	1.570127	1.252649e-101	1.586756e-99
IQGAP3	ENSG00000183856	1.051441	6.641009e-101	8.345534e-99
FAM43A	ENSG00000185112	2.175561	4.521827e-100	5.637685e-98
LIMA1	ENSG00000050405	1.115137	9.916454e-100	1.226696e-97
MYL6	ENSG00000092841	1.052406	3.473423e-99	4.263424e-97
ALCAM	ENSG00000170017	1.108949	4.12821e-98	4.951975e-96
DLGAP5	ENSG00000126787	1.605677	1.519367e-96	1.808846e-94
CD36	ENSG00000135218	1.190692	1.697939e-96	2.006356e-94
HMGB2	ENSG00000164104	1.145444	1.9683e-95	2.25841e-93
SYBU	ENSG00000147642	1.303966	3.00298e-94	3.396371e-92
HEG1	ENSG00000173706	1.078353	2.233624e-93	2.508312e-91
SLC24A3	ENSG00000185052	1.548799	1.360773e-92	1.506747e-90
PSCA	ENSG00000167653	1.741092	1.159698e-90	1.275185e-88
FAM105A	ENSG00000145569	2.547764	4.72733e-88	4.990169e-86
H2AFX	ENSG00000188486	1.528529	1.041487e-87	1.084928e-85
DHFR	ENSG00000228716	1.097098	7.089821e-87	7.337269e-85
ANXA6	ENSG00000197043	1.492764	3.596112e-85	3.650054e-83
H2AFV	ENSG00000105968	1.035575	1.485654e-84	1.488851e-82
ANKRD30A	ENSG00000148513	1.39985	2.874163e-84	2.862233e-82
THBS1	ENSG00000137801	1.073195	1.077831e-82	1.040633e-80
TMTC1	ENSG00000133687	2.543292	1.785607e-82	1.703211e-80
DMPK	ENSG00000104936	1.03529	1.206475e-80	1.137103e-78
CIT	ENSG00000122966	1.044916	3.950478e-80	3.658004e-78
TACC3	ENSG00000013810	1.161172	3.698083e-77	3.327014e-75
UGDH	ENSG00000109814	1.126211	1.301799e-76	1.158016e-74
DNAJA1	ENSG00000086061	1.09328	1.273671e-75	1.114216e-73
CASC5	ENSG00000137812	1.154232	5.007036e-75	4.356121e-73
KLK5	ENSG00000167754	2.137107	2.284565e-74	1.965967e-72
PTTG1	ENSG00000164611	1.239784	4.071315e-74	3.484605e-72
ATP10A	ENSG00000206190	1.117698	1.500811e-72	1.257346e-70
HMGB3	ENSG00000029993	1.187737	1.067803e-71	8.852144e-70
OSR2	ENSG00000164920	2.181009	2.548644e-71	2.069499e-69
FAM83D	ENSG00000101447	1.331176	9.838047e-70	7.788782e-68
CDKN2C	ENSG00000123080	1.351481	2.087712e-68	1.596948e-66
METTL7A	ENSG00000185432	1.274515	1.474666e-65	1.056555e-63
KIAA1715	ENSG00000144320	1.089482	5.741804e-65	4.076938e-63
TGFBR3	ENSG00000069702	1.893994	6.035446e-65	4.247344e-63
ATOH8	ENSG00000168874	1.398568	1.66059e-64	1.1482e-62
CDK1	ENSG00000170312	1.080572	2.1325e-64	1.461732e-62
ASF1B	ENSG00000105011	1.26171	5.679738e-63	3.843289e-61
SLC12A2	ENSG00000064651	1.273489	6.493289e-63	4.375095e-61
C6orf141	ENSG00000197261	1.177509	5.274889e-61	3.451347e-59
GSN	ENSG00000148180	1.010559	1.36972e-60	8.816318e-59
