gene_name	gene_id	log2FoldChange	pvalue	padj
MT1G	ENSG00000125144	2.648107	8.506389e-16	1.139261e-11
MT1E	ENSG00000169715	1.603341	9.426293e-07	0.003191097
MT1H	ENSG00000205358	1.817806	1.779648e-06	0.004766964
ZKSCAN7	ENSG00000196345	1.908769	1.158347e-05	0.02216248
MT1X	ENSG00000187193	1.017412	4.483364e-05	0.04686366
PYGM	ENSG00000068976	1.695691	4.898762e-05	0.04686366
INHBE	ENSG00000139269	-1.19549	4.584525e-05	0.04686366
GPR114	ENSG00000159618	-1.499432	3.46044e-05	0.04213244
NEDD8-MDP1	ENSG00000255526	-1.458032	2.942225e-05	0.03940522
HIST1H4K	ENSG00000197914	-1.804997	2.619933e-05	0.03898751
STC2	ENSG00000113739	-1.1397	9.530642e-07	0.003191097
ARMCX6	ENSG00000198960	-4.045822	8.983639e-09	6.015894e-05
