gene_name	gene_id	log2FoldChange	pvalue	padj
RP11-1055B8.7	ENSG00000171282	1.945751	4.363872e-59	4.438712e-55
ABCC4	ENSG00000125257	1.365879	1.863637e-47	9.477991e-44
RP11-215G15.5	ENSG00000272016	1.603313	6.861988e-40	2.791868e-36
RP6-24A23.7	ENSG00000261409	2.021008	6.93834e-39	2.016381e-35
DNAH17	ENSG00000187775	2.066549	7.064088e-38	1.796309e-34
COL4A2	ENSG00000134871	1.553667	2.965733e-36	5.484718e-33
TNF	ENSG00000232810	2.032026	1.519147e-33	2.20743e-30
IL32	ENSG00000008517	2.125244	9.066214e-33	1.152712e-29
SEMA3B	ENSG00000012171	1.06245	1.102578e-29	1.246097e-26
RASA3	ENSG00000185989	1.328255	1.761732e-28	1.629041e-25
OSMR	ENSG00000145623	1.024631	1.918393e-28	1.696777e-25
TNFAIP2	ENSG00000185215	1.112586	1.798903e-27	1.407503e-24
RNF157	ENSG00000141576	1.330097	5.072188e-27	3.821612e-24
ABTB1	ENSG00000114626	1.157195	1.63654e-25	1.01617e-22
ICAM1	ENSG00000090339	1.188736	1.881897e-25	1.125983e-22
CLSTN2	ENSG00000158258	1.403523	8.400879e-25	4.618894e-22
GSTA1	ENSG00000243955	1.686661	1.20343e-24	6.44247e-22
TNFAIP3	ENSG00000118503	1.173507	2.404043e-24	1.222636e-21
AXL	ENSG00000167601	1.641071	3.665914e-24	1.818919e-21
BIRC3	ENSG00000023445	1.102015	7.266112e-24	3.359421e-21
ZNF469	ENSG00000225614	1.175115	3.555296e-21	1.36463e-18
CCL2	ENSG00000108691	2.543871	3.928541e-21	1.479969e-18
C1QTNF1	ENSG00000173918	1.572032	4.276677e-21	1.581826e-18
KIAA1549L	ENSG00000110427	1.063378	7.488975e-21	2.672776e-18
RNF150	ENSG00000170153	1.362958	2.942158e-20	9.500368e-18
GAS6	ENSG00000183087	1.479169	3.627935e-20	1.135432e-17
RP11-1220K2.2	ENSG00000257743	1.20488	9.533495e-20	2.853903e-17
FBXO2	ENSG00000116661	1.127227	2.293134e-19	6.664176e-17
MSRB3	ENSG00000174099	1.541626	1.338633e-17	3.025757e-15
L1CAM	ENSG00000198910	1.727258	1.474754e-17	3.296805e-15
COL4A1	ENSG00000187498	1.141413	1.497928e-17	3.312212e-15
SOCS2	ENSG00000120833	1.169154	1.660637e-17	3.593867e-15
COL26A1	ENSG00000160963	1.401562	2.698936e-17	5.602496e-15
RASSF4	ENSG00000107551	1.064522	4.254357e-17	8.484939e-15
FADS3	ENSG00000221968	1.118113	2.933895e-16	5.376957e-14
A4GALT	ENSG00000128274	1.340039	3.983221e-16	7.107953e-14
NNMT	ENSG00000166741	1.600584	5.920779e-16	9.954249e-14
HMCN1	ENSG00000143341	1.659076	2.277533e-15	3.43199e-13
CYP1B1	ENSG00000138061	1.474678	2.649592e-15	3.905845e-13
AKAP12	ENSG00000131016	1.720988	2.916859e-15	4.238405e-13
INHBA	ENSG00000122641	1.636103	3.764611e-15	5.333042e-13
CNTNAP1	ENSG00000108797	1.262378	3.775048e-15	5.333042e-13
ANKRD33B	ENSG00000164236	1.370992	4.937332e-15	6.832662e-13
MYOM1	ENSG00000101605	1.142395	6.063428e-15	8.27841e-13
CHI3L1	ENSG00000133048	1.093706	1.008413e-14	1.323493e-12
C4A	ENSG00000244731	1.358921	1.032607e-14	1.34656e-12
NFATC1	ENSG00000131196	1.828213	1.376659e-14	1.772493e-12
FP15737	ENSG00000215298	1.166583	1.398805e-14	1.789679e-12
CDH2	ENSG00000170558	1.794345	1.455141e-14	1.838629e-12
DFNA5	ENSG00000105928	1.147104	1.531278e-14	1.922888e-12
COL27A1	ENSG00000196739	1.831748	2.134635e-14	2.600293e-12
THBS1	ENSG00000137801	1.240215	2.430583e-14	2.885671e-12
ROBO4	ENSG00000154133	1.767741	3.050545e-14	3.407731e-12
MMP7	ENSG00000137673	1.517019	8.448495e-14	8.905063e-12
PTPRR	ENSG00000153233	1.28576	1.029854e-13	1.068894e-11
MAP6	ENSG00000171533	1.061284	1.664504e-13	1.651756e-11
SAA1	ENSG00000173432	1.25272	1.836812e-13	1.796456e-11
CDH13	ENSG00000140945	2.31181	4.821541e-13	4.301957e-11
GAS1	ENSG00000180447	1.189919	6.613895e-13	5.653213e-11
AOX1	ENSG00000138356	1.69114	6.81275e-13	5.798819e-11
DZIP1L	ENSG00000158163	1.232198	7.155641e-13	6.040133e-11
CTNNAL1	ENSG00000119326	1.245439	7.383848e-13	6.207009e-11
PRDM1	ENSG00000057657	1.136674	2.294103e-12	1.784006e-10
PCDH19	ENSG00000165194	1.026679	2.457725e-12	1.901045e-10
TPRG1	ENSG00000188001	1.354244	3.526132e-12	2.666621e-10
CLCF1	ENSG00000175505	1.003218	1.617811e-11	1.078626e-09
IRS4	ENSG00000133124	1.586116	1.721169e-11	1.13681e-09
SYNGR3	ENSG00000127561	1.756119	2.734222e-11	1.738196e-09
LBP	ENSG00000129988	2.044245	3.78632e-11	2.377318e-09
TM4SF18	ENSG00000163762	1.518939	5.509166e-11	3.345461e-09
IL23A	ENSG00000110944	1.498723	5.936134e-11	3.541313e-09
LINC00284	ENSG00000233725	1.214753	6.023874e-11	3.583148e-09
NRP1	ENSG00000099250	1.0549	7.761802e-11	4.490407e-09
SERPINA5	ENSG00000188488	1.616901	8.224391e-11	4.699685e-09
RP4-792G4.2	ENSG00000230798	1.357564	1.899335e-10	1.003589e-08
CXCL3	ENSG00000163734	1.323181	2.307396e-10	1.182351e-08
IL1RL1	ENSG00000115602	1.461583	2.869274e-10	1.430628e-08
COL12A1	ENSG00000111799	1.116793	3.374469e-10	1.642269e-08
ZMAT1	ENSG00000166432	1.591294	4.991192e-10	2.35582e-08
RP11-488P3.1	ENSG00000230439	1.327978	5.216044e-10	2.450577e-08
