gene_name	gene_id	log2FoldChange	pvalue	padj
NOLC1	ENSG00000166197	1.880536	9.087863e-12	6.679125e-08
WDR12	ENSG00000138442	1.27161	7.184287e-09	1.320023e-05
FASN	ENSG00000169710	1.437369	1.753061e-08	2.677216e-05
SMYD5	ENSG00000135632	1.024303	9.625141e-08	0.0001179
RNF19B	ENSG00000116514	1.079576	1.152178e-07	0.0001302759
NUDC	ENSG00000090273	1.036713	1.608752e-07	0.0001576469
PPRC1	ENSG00000148840	1.396177	1.970304e-07	0.0001810093
RGS16	ENSG00000143333	1.671249	2.376452e-07	0.0001984352
NFKBIA	ENSG00000100906	1.314011	3.415379e-07	0.0002538893
NDUFAF4	ENSG00000123545	1.29026	3.879683e-07	0.0002592157
IGF2	ENSG00000167244	2.74474	5.269506e-07	0.0003227353
PNO1	ENSG00000115946	1.478952	6.956699e-07	0.0003932943
RRP12	ENSG00000052749	1.328725	7.785784e-07	0.0004238638
AHSA1	ENSG00000100591	1.036182	8.353938e-07	0.0004268926
URB1	ENSG00000142207	1.353252	8.422264e-07	0.0004268926
DDX21	ENSG00000165732	1.327881	8.972851e-07	0.0004394434
IFRD2	ENSG00000214706	1.36726	1.432511e-06	0.0006016135
UTP20	ENSG00000120800	1.210647	3.550614e-06	0.001373434
NOP2	ENSG00000111641	1.30985	4.143289e-06	0.001425607
GRWD1	ENSG00000105447	1.239186	4.170425e-06	0.001425607
NOL6	ENSG00000165271	1.39438	5.002108e-06	0.001598391
HNRNPAB	ENSG00000197451	1.229239	5.16161e-06	0.001614266
PGAM5	ENSG00000247077	1.173178	7.990089e-06	0.002174932
PDCD2L	ENSG00000126249	1.388678	8.988967e-06	0.002321566
LTV1	ENSG00000135521	1.142597	9.5465e-06	0.002378373
HSPH1	ENSG00000120694	1.190615	1.001902e-05	0.002419985
MPV17L2	ENSG00000254858	1.237487	1.195984e-05	0.002623846
YRDC	ENSG00000196449	1.271555	1.348756e-05	0.002738212
FDX1L	ENSG00000267673	1.256972	1.549357e-05	0.003036532
NOP56	ENSG00000101361	1.055849	1.993173e-05	0.003662207
