gene_name	gene_id	log2FoldChange	pvalue	padj
SH3TC1	ENSG00000125089	1.140959	1.663585e-15	4.904624e-13
SHISA9	ENSG00000237515	1.458347	2.616391e-14	6.131412e-12
FRAT1	ENSG00000165879	1.089147	3.195348e-13	5.782947e-11
BAIAP3	ENSG00000007516	1.015886	6.381682e-13	1.07019e-10
IL17REL	ENSG00000188263	1.372116	2.196562e-11	2.389938e-09
SSPO	ENSG00000197558	1.013483	4.014114e-11	4.099105e-09
ODF3L1	ENSG00000182950	1.187568	7.469546e-11	7.148473e-09
TMEM59L	ENSG00000105696	1.0135	1.133325e-10	1.056942e-08
AHNAK2	ENSG00000185567	1.29143	5.107987e-10	4.138371e-08
ADSSL1	ENSG00000185100	1.108104	8.40103e-10	6.590662e-08
CGA	ENSG00000135346	1.19555	1.136772e-09	8.689081e-08
GPR108	ENSG00000125734	1.154975	2.572157e-09	1.787698e-07
SFRP5	ENSG00000120057	1.010864	1.258081e-08	6.968625e-07
EGR2	ENSG00000122877	1.184035	5.45263e-08	2.419141e-06
LY6H	ENSG00000176956	1.013865	6.547978e-08	2.79763e-06
ETFB	ENSG00000105379	1.175935	5.608022e-07	1.653371e-05
USP51	ENSG00000247746	1.042721	2.460647e-06	5.750649e-05
C1QTNF9B-AS1	ENSG00000205861	-1.087615	4.564566e-07	1.388281e-05
GFY	ENSG00000261949	-1.107634	9.406242e-08	3.737754e-06
SLC7A8	ENSG00000092068	-1.071638	4.359326e-08	2.012225e-06
CADM3	ENSG00000162706	-1.212475	2.452427e-08	1.248689e-06
KANK4	ENSG00000132854	-1.294034	9.861229e-09	5.668346e-07
VDR	ENSG00000111424	-1.024832	3.065312e-09	2.098533e-07
NECAB1	ENSG00000123119	-1.121315	1.995745e-09	1.457877e-07
AASS	ENSG00000008311	-1.084372	1.64499e-10	1.510993e-08
ARHGAP42	ENSG00000165895	-1.010166	1.126037e-10	1.05553e-08
POSTN	ENSG00000133110	-1.264543	3.102075e-11	3.27762e-09
FEZF1	ENSG00000128610	-1.131499	2.728927e-11	2.91708e-09
COL8A1	ENSG00000144810	-1.626692	2.44323e-11	2.642592e-09
LEF1	ENSG00000138795	-1.106817	1.460014e-11	1.678465e-09
NHLH2	ENSG00000177551	-1.197337	1.171743e-11	1.355588e-09
CALB1	ENSG00000104327	-1.039801	3.372278e-14	7.517301e-12
MT-ND6	ENSG00000198695	-1.039706	9.002036e-15	2.350689e-12
CCND1	ENSG00000110092	-1.121241	1.757351e-17	8.453322e-15
C2CD4A	ENSG00000198535	-1.051229	3.450773e-18	1.911415e-15
RBM24	ENSG00000112183	-1.127955	9.808802e-21	8.537861e-18
PPEF1	ENSG00000086717	-1.085115	8.99389e-24	2.054991e-20
RCAN2	ENSG00000172348	-1.69487	1.519965e-25	3.969064e-22
