gene_name	gene_id	log2FoldChange	pvalue	padj
XIRP1	ENSG00000168334	5.321019	8.394736e-09	0.0001092248
TRIM55	ENSG00000147573	5.414837	1.451492e-08	0.0001092248
NKX2-5	ENSG00000183072	5.20894	1.680373e-07	0.0008429873
MASP1	ENSG00000127241	3.88302	1.262198e-06	0.0047490196
MYOCD	ENSG00000141052	4.17463	1.809222e-06	0.0054457571
RGS5	ENSG00000143248	3.341318	2.848779e-06	0.0071456877
RPL9P7	ENSG00000238103	2.451169	4.400906e-06	0.0094619477
TNNC1	ENSG00000114854	3.068866	1.202848e-05	0.0226285756
MYOZ2	ENSG00000172399	3.042846	1.801973e-05	0.0301329916
POPDC2	ENSG00000121577	2.787075	2.235352e-05	0.0336420477
FILIP1	ENSG00000118407	2.089236	3.585967e-05	0.0470971859
COL8A1	ENSG00000144810	2.060168	4.005113e-05	0.0470971859
LMOD1	ENSG00000163431	2.211136	4.223864e-05	0.0470971859
B4GALNT3	ENSG00000139044	2.221276	4.381134e-05	0.0470971859
