gene_name	gene_id	log2FoldChange	pvalue	padj
EVI2B	ENSG00000185862	1.136046	8.09013e-35	5.675631e-31
FRAT1	ENSG00000165879	1.463004	7.8839e-23	1.2291e-19
CD97	ENSG00000123146	1.037279	3.128611e-22	4.156628e-19
PELI2	ENSG00000139946	1.216208	3.258706e-22	4.156628e-19
CCDC28A	ENSG00000024862	1.018261	1.294378e-19	1.210761e-16
CRTAP	ENSG00000170275	1.818727	1.109628e-17	7.413899e-15
H1FX	ENSG00000184897	1.07381	1.42592e-17	9.094132e-15
C19orf38	ENSG00000214212	1.836719	2.456741e-17	1.498719e-14
SLC7A7	ENSG00000155465	1.646977	3.509835e-16	1.823944e-13
SLC25A6	ENSG00000169100	1.355221	4.980596e-15	2.223328e-12
EEF2	ENSG00000167658	1.010593	4.688171e-12	1.241127e-09
SECTM1	ENSG00000141574	1.388491	1.694096e-11	3.833848e-09
LGALS2	ENSG00000100079	1.969339	7.226695e-11	1.38901e-08
FCGR1A	ENSG00000150337	1.553908	2.874946e-10	4.980045e-08
RP11-372K14.2	ENSG00000270681	1.504155	3.118398e-08	2.936527e-06
RPL32P29	ENSG00000244270	1.601228	7.034391e-08	6.055186e-06
FCGR2B	ENSG00000072694	1.046786	4.608843e-07	3.31624e-05
FCRLB	ENSG00000162746	1.059254	4.927172e-07	3.488829e-05
PLSCR4	ENSG00000114698	1.124783	7.491417e-07	5.029286e-05
SERPINB2	ENSG00000197632	-1.169102	7.394335e-06	0.0003182513
ASPH	ENSG00000198363	-1.019675	4.5987e-06	0.0002179877
JDP2	ENSG00000140044	-1.144165	3.731109e-06	0.0001869685
LDLR	ENSG00000130164	-1.185106	8.935168e-07	5.757402e-05
ULBP1	ENSG00000111981	-1.460765	3.70802e-07	2.695711e-05
CCL7	ENSG00000108688	-1.85442	3.070682e-07	2.267618e-05
HSPA1A	ENSG00000204389	-1.078417	2.471559e-07	1.864433e-05
THBD	ENSG00000178726	-1.583649	2.378197e-07	1.813505e-05
SLCO2B1	ENSG00000137491	-1.356656	1.473257e-07	1.174504e-05
EIF4EBP1	ENSG00000187840	-1.144581	4.25003e-08	3.798228e-06
NPL	ENSG00000135838	-1.010221	7.836975e-09	8.939886e-07
SHMT2	ENSG00000182199	-1.547183	3.466747e-09	4.382156e-07
PSPH	ENSG00000146733	-1.38223	1.174678e-09	1.699166e-07
CCL2	ENSG00000108691	-2.011249	4.469254e-10	7.291639e-08
PLIN2	ENSG00000147872	-1.080382	4.099228e-10	6.929672e-08
SESN2	ENSG00000130766	-1.383294	3.85887e-10	6.602903e-08
GPNMB	ENSG00000136235	-1.647771	1.364176e-10	2.485813e-08
SLC7A5	ENSG00000103257	-1.318788	7.044142e-11	1.375106e-08
FABP5	ENSG00000164687	-1.65253	3.370233e-11	7.164808e-09
IARS	ENSG00000196305	-1.622543	1.798658e-11	4.005867e-09
CARS	ENSG00000110619	-1.05827	6.373887e-12	1.597e-09
NARS	ENSG00000134440	-1.058838	2.370121e-12	6.651034e-10
AC069368.3	ENSG00000249240	-8.613195	1.782842e-12	5.105114e-10
YARS	ENSG00000134684	-1.353641	1.3875e-12	4.055835e-10
JAKMIP2	ENSG00000176049	-1.07339	6.587431e-13	2.053961e-10
LMO4	ENSG00000143013	-1.087896	5.765281e-13	1.83847e-10
HSPD1	ENSG00000144381	-1.060659	4.084022e-13	1.397632e-10
GPT2	ENSG00000166123	-1.827605	7.509773e-14	2.847828e-11
HSPA8	ENSG00000109971	-1.199809	2.803611e-14	1.092707e-11
HSPH1	ENSG00000120694	-1.515176	8.695314e-15	3.485827e-12
PCK2	ENSG00000100889	-1.898637	5.108661e-15	2.223328e-12
AARS	ENSG00000090861	-2.006227	5.118829e-16	2.476631e-13
EIF2S2	ENSG00000125977	-1.081188	4.804475e-16	2.407557e-13
ALDH1L2	ENSG00000136010	-2.578288	9.226621e-17	5.178349e-14
MTHFD2	ENSG00000065911	-1.026334	3.004147e-17	1.756299e-14
PHGDH	ENSG00000092621	-3.268679	9.130988e-18	6.405845e-15
HSPE1	ENSG00000115541	-1.151376	4.500979e-18	3.508513e-15
GOT1	ENSG00000120053	-1.398932	3.01377e-18	2.487424e-15
CHAC1	ENSG00000128965	-3.875878	2.161693e-18	1.895669e-15
XPOT	ENSG00000184575	-1.167	5.389601e-20	5.401535e-17
EPRS	ENSG00000136628	-1.683488	1.106806e-20	1.194584e-17
ADM2	ENSG00000128165	-3.173462	3.918448e-22	4.581646e-19
GARS	ENSG00000106105	-1.640037	7.718751e-23	1.2291e-19
TARS	ENSG00000113407	-1.494926	2.364817e-28	5.530124e-25
ASNS	ENSG00000070669	-2.897155	1.377227e-31	3.864773e-28
HS3ST1	ENSG00000002587	-2.531803	2.008571e-33	7.045564e-30
PSAT1	ENSG00000135069	-3.745306	1.768835e-33	7.045564e-30
STIP1	ENSG00000168439	-1.035495	1.220579e-35	1.712594e-31
