gene_name	gene_id	log2FoldChange	pvalue	padj
HMGB1P10	ENSG00000213707	2.605751	4.487114e-10	3.115403e-06
MT1X	ENSG00000187193	1.125001	1.43617e-06	0.00398853
GUCY2D	ENSG00000132518	1.096621	1.04334e-05	0.01207318
RP11-400F19.18	ENSG00000267632	-1.439409	6.125147e-06	0.007732163
SUDS3P1	ENSG00000249129	-1.800103	5.154839e-06	0.007158009
CCDC84	ENSG00000186166	-1.397794	3.137559e-06	0.00540376
GOLGA8A	ENSG00000175265	-1.195536	2.501913e-06	0.00496308
LL22NC03-2H8.5	ENSG00000272216	-1.486001	2.005118e-06	0.004640512
MALAT1	ENSG00000251562	-1.891715	4.767306e-07	0.00165497
KCNQ1OT1	ENSG00000269821	-1.716972	5.246001e-12	7.284597e-08
