gene_name	gene_id	log2FoldChange	pvalue	padj
LINC00703	ENSG00000224382	1.770761	6.439106e-05	0.03529703
PGA5	ENSG00000256713	1.278829	0.0001145295	0.04708595
C1QTNF2	ENSG00000145861	-1.217688	0.0001217891	0.04819539
SLC9A3R2	ENSG00000065054	-1.294649	9.549938e-05	0.0424456
RP11-318A15.7	ENSG00000267168	-1.463682	8.514917e-05	0.04243267
AP000692.10	ENSG00000273199	-1.692428	6.772068e-05	0.03530512
RMDN2	ENSG00000115841	-1.921045	5.399388e-05	0.03171176
AC002398.9	ENSG00000188223	-1.865251	5.245775e-05	0.03171176
MORF4L1P1	ENSG00000218283	-2.189916	4.115288e-05	0.02883864
C1orf109	ENSG00000116922	-1.429941	3.652455e-05	0.02883864
GOLGA6L21P	ENSG00000254374	-2.761785	2.453039e-05	0.02630752
HERC2P2	ENSG00000140181	-2.660969	2.441728e-05	0.02630752
CCZ1B	ENSG00000146574	-3.025568	2.952953e-06	0.004779338
KHK	ENSG00000138030	-4.264396	1.307522e-06	0.002687776
RP11-1023L17.1	ENSG00000215158	-3.839961	1.174919e-06	0.002687776
PUS7L	ENSG00000129317	-2.322743	8.667455e-07	0.002410118
SNORD3D	ENSG00000262202	-6.533844	4.556856e-08	0.0001873438
PDF	ENSG00000258429	-5.322222	6.918791e-10	5.688976e-06
LINC00324	ENSG00000178977	-2.614644	4.113899e-11	6.765306e-07
