term	id	nGeneIds	pvalue	adjPvalue	oddsRatio	nOverlap	batch	timepoint	cellLine	batch2	perturbation	concentration	direction
REP.B012_MDAMB231_24H_O19_cobimetinib_2.22uM down	af88741b-a231-4527-8210-c3274599ac97	250	5.7898746345548295e-46	9.714280611229265e-40	5.374002522068096	94	REP.B012	MDAMB231	24H	O19	cobimetinib	2.22uM	down
REP.B012_MDAMB231_24H_O20_cobimetinib_0.74uM down	c40b734c-8ad6-4e22-9629-69d7c0285a88	250	2.1591991955248587e-39	1.8113576031237928e-33	4.973810844892812	87	REP.B012	MDAMB231	24H	O20	cobimetinib	0.74uM	down
REP.B009_MDAMB231_24H_G19_TAK-733_2.22uM down	be955bc0-9110-4f8f-840c-a7715853428f	250	1.736805004220506e-38	9.713400400353954e-33	4.916640605296343	86	REP.B009	MDAMB231	24H	G19	TAK-733	2.22uM	down
DOS012_VCAP_24H_H01_BRD-K60019754_4uM down	756222e0-54b3-4b33-857f-d4b3173267e7	250	1.3701300094697107e-37	5.74702745134582e-32	4.859470365699874	85	DOS012	VCAP	24H	H01	BRD-K60019754	4uM	down
REP.A017_MDAMB231_24H_I08_Ro-4987655_3.33uM down	37713e47-3db0-45f2-b649-eabd88f70231	250	1.0599470037666676e-36	3.5567687653094674e-31	4.802300126103405	84	REP.A017	MDAMB231	24H	I08	Ro-4987655	3.33uM	down
DOS013_VCAP_24H_M09_geldanamycin_10uM down	73a83e93-7036-410b-b2b0-da5a1b28dde1	250	5.979892926102077e-35	1.6721823751464493e-29	4.687959646910467	82	DOS013	VCAP	24H	M09	geldanamycin	10uM	down
ASG003_XC.P905_24H_J13_AZ-628_10uM down	b8422851-1e74-428e-a3e7-a9180c1e89f6	250	4.360046518077421e-34	8.128119831403208e-29	4.630789407313998	81	ASG003	XC.P905	24H	J13	AZ-628	10uM	down
ASG003_XC.P907_24H_M14_NVP-AUY922_1.11uM down	d51c0eb4-1b21-4ec4-801d-11b75bad9fb3	250	4.360046518077421e-34	8.128119831403208e-29	4.630789407313998	81	ASG003	XC.P907	24H	M14	NVP-AUY922	1.11uM	down
DOS013_VCAP_24H_I05_LY-294002_10uM down	60688ef7-2b7b-4977-a0c6-303bc9a0d920	250	4.360046518077421e-34	8.128119831403208e-29	4.630789407313998	81	DOS013	VCAP	24H	I05	LY-294002	10uM	down
REP.B005_A375_24H_I20_dabrafenib_0.74uM down	003d6aad-4206-42d2-8c8b-7862b3edb17d	250	3.116176638789844e-33	4.021797496495996e-28	4.573619167717529	80	REP.B005	A375	24H	I20	dabrafenib	0.74uM	down
REP.A005_A375_24H_I20_dabrafenib_3.33uM down	361d0264-b2be-4a66-a127-7259fa4963fd	250	3.116176638789844e-33	4.021797496495996e-28	4.573619167717529	80	REP.A005	A375	24H	I20	dabrafenib	3.33uM	down
REP.B008_MDAMB231_24H_P02_AS-703026_0.74uM down	d90560e3-1660-490d-8c91-94c4e1ae59e0	250	3.116176638789844e-33	4.021797496495996e-28	4.573619167717529	80	REP.B008	MDAMB231	24H	P02	AS-703026	0.74uM	down
ASG003_XC.P091_24H_N16_trametinib_10uM down	8d409905-ba3a-4ffd-b2bf-a3414adf57c6	250	3.116176638789844e-33	4.021797496495996e-28	4.573619167717529	80	ASG003	XC.P091	24H	N16	trametinib	10uM	down
REP.B017_A375_24H_I09_Ro-4987655_0.25uM down	d3798f9c-9924-495a-8d51-8ca155b0a996	250	2.1829184472074479e-32	2.4416743235445945e-27	4.51644892812106	79	REP.B017	A375	24H	I09	Ro-4987655	0.25uM	down
DOS012_VCAP_24H_B08_BRD-K39597586_4uM down	9160c211-3dbe-473c-a8cc-ca0fcc5a8146	250	2.1829184472074479e-32	2.4416743235445945e-27	4.51644892812106	79	DOS012	VCAP	24H	B08	BRD-K39597586	4uM	down
REP.A009_MDAMB231_24H_G22_TAK-733_0.37uM down	e2e780db-7f64-46bd-af83-1b063c40ddf3	250	1.4986043015776012e-31	1.1973170429563844e-26	4.4592786885245905	78	REP.A009	MDAMB231	24H	G22	TAK-733	0.37uM	down
DOS013_VCAP_24H_O09_BRD-K77831863_4uM down	96fc2d3d-e3a4-4883-88ab-c7707e195c01	250	1.4986043015776012e-31	1.1973170429563844e-26	4.4592786885245905	78	DOS013	VCAP	24H	O09	BRD-K77831863	4uM	down
REP.B017_A549_24H_I07_Ro-4987655_2.22uM down	47882b69-a218-47ae-a679-41ecec1a3391	250	1.4986043015776012e-31	1.1973170429563844e-26	4.4592786885245905	78	REP.B017	A549	24H	I07	Ro-4987655	2.22uM	down
REP.B012_MDAMB231_24H_O21_cobimetinib_0.25uM down	248143de-f3cf-4651-80e1-775e108cae4a	250	1.4986043015776012e-31	1.1973170429563844e-26	4.4592786885245905	78	REP.B012	MDAMB231	24H	O21	cobimetinib	0.25uM	down
REP.B005_A375_24H_I21_dabrafenib_0.25uM down	6c7049be-6d8c-4baf-b402-9173eb71cb32	250	1.4986043015776012e-31	1.1973170429563844e-26	4.4592786885245905	78	REP.B005	A375	24H	I21	dabrafenib	0.25uM	down
REP.B017_HT29_24H_I07_Ro-4987655_2.22uM down	7037adaf-281e-4136-86d6-95ff5b2fd122	250	1.4986043015776012e-31	1.1973170429563844e-26	4.4592786885245905	78	REP.B017	HT29	24H	I07	Ro-4987655	2.22uM	down
DOS012_VCAP_24H_B07_BRD-K49111930_4uM down	08ec3e21-4910-4445-8a2b-11e9b5a2faea	250	1.0081338070035868e-30	7.688417918452968e-26	4.4021084489281215	77	DOS012	VCAP	24H	B07	BRD-K49111930	4uM	down
REP.A017_A375_24H_I08_Ro-4987655_3.33uM down	5881ac77-3c79-4fc4-a52d-55ef0fa19962	250	6.644724573688463e-30	4.129093375317545e-25	4.3449382093316515	76	REP.A017	A375	24H	I08	Ro-4987655	3.33uM	down
REP.B021_A375_24H_E14_MEK-162_0.74uM down	7af78d0b-e3eb-43a9-bf5e-97ae31e0f913	250	6.644724573688463e-30	4.129093375317545e-25	4.3449382093316515	76	REP.B021	A375	24H	E14	MEK-162	0.74uM	down
REP.A005_A375_24H_I21_dabrafenib_1.11uM down	5493fd8d-9c3f-4cfd-a3e9-07a7419863fc	250	6.644724573688463e-30	4.129093375317545e-25	4.3449382093316515	76	REP.A005	A375	24H	I21	dabrafenib	1.11uM	down
REP.B009_MDAMB231_24H_G20_TAK-733_0.74uM down	cadb27f3-f601-4a6a-aaf5-57b7336befb1	250	6.644724573688463e-30	4.129093375317545e-25	4.3449382093316515	76	REP.B009	MDAMB231	24H	G20	TAK-733	0.74uM	down
ASG003_XC.P911_24H_M14_NVP-AUY922_1.11uM down	27a5d30f-0aaf-4f2a-9f9a-3829ee006e65	250	6.644724573688463e-30	4.129093375317545e-25	4.3449382093316515	76	ASG003	XC.P911	24H	M14	NVP-AUY922	1.11uM	down
REP.A017_A375_24H_I07_Ro-4987655_10uM down	c4b9f04c-cd6a-4f0b-8803-a37153b27256	250	4.2904943505424077e-29	2.1813978405490316e-24	4.287767969735183	75	REP.A017	A375	24H	I07	Ro-4987655	10uM	down
REP.A009_A549_24H_G19_TAK-733_10uM down	f11e74fd-93ea-4892-a612-1d97b35f3cc8	250	4.2904943505424077e-29	2.1813978405490316e-24	4.287767969735183	75	REP.A009	A549	24H	G19	TAK-733	10uM	down
ASG003_XC.P911_24H_L13_XL-888_10uM down	7693b4b8-35d1-4bf9-ae85-6fc9c0ae50c7	250	4.2904943505424077e-29	2.1813978405490316e-24	4.287767969735183	75	ASG003	XC.P911	24H	L13	XL-888	10uM	down
REP.A009_MDAMB231_24H_G19_TAK-733_10uM down	ebbd21b2-cc9d-42b9-b599-c368df36c452	250	4.2904943505424077e-29	2.1813978405490316e-24	4.287767969735183	75	REP.A009	MDAMB231	24H	G19	TAK-733	10uM	down
REP.A019_A375_24H_M24_PD-0325901_0.04uM down	4bf2d34e-b909-4598-b168-c04a0d16d27e	250	4.2904943505424077e-29	2.1813978405490316e-24	4.287767969735183	75	REP.A019	A375	24H	M24	PD-0325901	0.04uM	down
REP.A009_MDAMB231_24H_D13_BVD-523_10uM down	d7e351b2-f449-4d10-8342-19b71010375b	250	4.2904943505424077e-29	2.1813978405490316e-24	4.287767969735183	75	REP.A009	MDAMB231	24H	D13	BVD-523	10uM	down
FIBR040_MCLF056CN_6H_C23_SB-216763_4uM up	a648b77d-c30c-4b16-864e-7b5459bdfc88	250	2.713633512991968e-28	1.1674225323757664e-23	4.230597730138713	74	FIBR040	MCLF056CN	6H	C23	SB-216763	4uM	up
ASG003_XC.P907_24H_L13_XL-888_10uM down	f90619a5-82c5-4ee6-8261-394527bef7f5	250	2.713633512991968e-28	1.1674225323757664e-23	4.230597730138713	74	ASG003	XC.P907	24H	L13	XL-888	10uM	down
REP.B009_MDAMB231_24H_G23_TAK-733_0.03uM down	f0b230e1-1547-452f-a47b-47eb903bbbc7	250	2.713633512991968e-28	1.1674225323757664e-23	4.230597730138713	74	REP.B009	MDAMB231	24H	G23	TAK-733	0.03uM	down
PBIOA017_A549_24H_A14_tanespimycin_3.33uM down	568027a2-4f22-43fd-8975-461ceb902a70	250	2.713633512991968e-28	1.1674225323757664e-23	4.230597730138713	74	PBIOA017	A549	24H	A14	tanespimycin	3.33uM	down
REP.A009_A549_24H_G21_TAK-733_1.11uM down	b726fcf3-9722-49fd-bad1-d3d928f46ca1	250	2.713633512991968e-28	1.1674225323757664e-23	4.230597730138713	74	REP.A009	A549	24H	G21	TAK-733	1.11uM	down
REP.A009_MDAMB231_24H_G20_TAK-733_3.33uM down	ddb85c35-19e0-49cf-82cd-085d9a3eab53	250	2.713633512991968e-28	1.1674225323757664e-23	4.230597730138713	74	REP.A009	MDAMB231	24H	G20	TAK-733	3.33uM	down
ASG003_XC.P930_24H_N17_trametinib_1.11uM down	272efe55-f269-4e80-97f1-dae02fc287e9	250	1.680925560451545e-27	5.0361880534882225e-23	4.173427490542244	73	ASG003	XC.P930	24H	N17	trametinib	1.11uM	down
