term	id	nGeneIds	pvalue	adjPvalue	oddsRatio	nOverlap	batch	timepoint	cellLine	batch2	perturbation	concentration	direction
REP.A014_YAPC_24H_M02_AZD-8330_3.33uM up	471f6b27-3f77-4aa1-bf59-ace44acef73f	250	1.4055102117118676e-24	1.179086030380615e-18	7.964432432432433	39	REP.A014	YAPC	24H	M02	AZD-8330	3.33uM	up
CPD003_MCF7_24H_O06_toremifene_10uM up	8d610637-e5a0-4b7b-bfdc-b84072a92b08	250	1.4055102117118676e-24	1.179086030380615e-18	7.964432432432433	39	CPD003	MCF7	24H	O06	toremifene	10uM	up
XPR024_HT29.311_96H_L11_FGFR1 up	a358946f-ea11-4a9a-a617-574dc05b60c7	250	1.557568783905864e-23	6.533241733702945e-18	7.760216216216216	38	XPR024	HT29.311	96H	L11	FGFR1	N/A	up
XPR032_BICR6.311_96H_A17_SPR down	3b7cae8b-273b-45a6-856a-a6c6d536e8fe	250	1.557568783905864e-23	6.533241733702945e-18	7.760216216216216	38	XPR032	BICR6.311	96H	A17	SPR	N/A	down
REP.B021_YAPC_24H_E13_MEK-162_2.22uM up	b7203c30-5b1f-49cd-9bab-167e45eb2120	250	1.6644526747782683e-22	3.9894671714376466e-17	7.556	37	REP.B021	YAPC	24H	E13	MEK-162	2.22uM	up
PBIOA021_HCC515_24H_P02_saracatinib_3.33uM up	c0ea7d79-44d4-4317-b410-86b11ddc872c	250	1.6644526747782683e-22	3.9894671714376466e-17	7.556	37	PBIOA021	HCC515	24H	P02	saracatinib	3.33uM	up
XPR036_HT29.311_96H_M12_TP53RK down	dcec6176-79c1-4ca2-8a68-15229a785656	250	1.6644526747782683e-22	3.9894671714376466e-17	7.556	37	XPR036	HT29.311	96H	M12	TP53RK	N/A	down
REP.A019_HT29_24H_M20_PD-0325901_3.33uM up	835c0192-c95a-4992-963c-00fb17c64285	250	1.714097357744019e-21	1.691718304299826e-16	7.351783783783785	36	REP.A019	HT29	24H	M20	PD-0325901	3.33uM	up
PBIOA022_HCC515_24H_P20_erlotinib_3.33uM up	28b28a19-e0f2-4be5-ab5e-18745a775127	250	1.714097357744019e-21	1.691718304299826e-16	7.351783783783785	36	PBIOA022	HCC515	24H	P20	erlotinib	3.33uM	up
REP.A013_HT29_24H_K01_STA-5326_10uM up	3d49240d-0ede-4c6c-b5bc-c1100ea82e6c	250	1.714097357744019e-21	1.691718304299826e-16	7.351783783783785	36	REP.A013	HT29	24H	K01	STA-5326	10uM	up
ASG003_XC.P932_24H_O23_ceritinib_1.11uM up	21f2899d-4f8b-45cf-9b3d-0c9c104f5a74	250	1.714097357744019e-21	1.691718304299826e-16	7.351783783783785	36	ASG003	XC.P932	24H	O23	ceritinib	1.11uM	up
REP.A021_YAPC_24H_E13_MEK-162_10uM up	19dc22e7-00f8-426d-bba8-4ce2c99ddaae	250	1.714097357744019e-21	1.691718304299826e-16	7.351783783783785	36	REP.A021	YAPC	24H	E13	MEK-162	10uM	up
ASG003_XC.P908_24H_B07_oncrasin-1_10uM down	89bcebf5-d615-42c9-a860-e020ae4c8d3d	250	1.714097357744019e-21	1.691718304299826e-16	7.351783783783785	36	ASG003	XC.P908	24H	B07	oncrasin-1	10uM	down
REP.A019_HT29_24H_M23_PD-0325901_0.125uM up	60a90712-0e1c-49a1-a3b9-10d8e75ad270	250	1.714097357744019e-21	1.691718304299826e-16	7.351783783783785	36	REP.A019	HT29	24H	M23	PD-0325901	0.125uM	up
REP.B015_MCF10A_24H_E21_selumetinib_0.25uM up	f3944812-85d4-4afc-8e91-d37764621439	250	1.714097357744019e-21	1.691718304299826e-16	7.351783783783785	36	REP.B015	MCF10A	24H	E21	selumetinib	0.25uM	up
REP.A013_YAPC_24H_M07_SR-33805_10uM up	c53f11ad-9efc-4241-9a3b-df2239e9af8b	250	1.714097357744019e-21	1.691718304299826e-16	7.351783783783785	36	REP.A013	YAPC	24H	M07	SR-33805	10uM	up
ASG003_XC.P914_24H_I04_crizotinib_10uM up	ce4802ca-f64f-4abf-8bf7-58c9cae39ad9	250	1.714097357744019e-21	1.691718304299826e-16	7.351783783783785	36	ASG003	XC.P914	24H	I04	crizotinib	10uM	up
CPC001_PC3_6H_D14_PD-407824_10uM up	44df6426-224d-445b-99f1-9c94ac23f3fb	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	CPC001	PC3	6H	D14	PD-407824	10uM	up
GMB001_HT29_24H_F13_tanespimycin_10uM up	c142e2bb-2948-4545-ae59-2c2d70581fb5	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	GMB001	HT29	24H	F13	tanespimycin	10uM	up
XPR016_BICR6.311_96H_N18_FAM89B up	3de0bc4b-9f25-424b-88c7-d048bb3dc2c4	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	XPR016	BICR6.311	96H	N18	FAM89B	N/A	up
DOSBIO002_A549_24H_F07_BRD-K82071478_10uM down	69714f83-4106-4631-a2ee-39d295637c2b	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	DOSBIO002	A549	24H	F07	BRD-K82071478	10uM	down
LJP007_MDAMB231_24H_G14_dasatinib_3.33uM up	cc3cc67a-d587-4c0a-a26c-0bf9c566ef85	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	LJP007	MDAMB231	24H	G14	dasatinib	3.33uM	up
XPR036_A375.311_96H_N21_COL4A3BP up	5b537739-876e-41b7-917f-f5341d61cae8	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	XPR036	A375.311	96H	N21	COL4A3BP	N/A	up
ASG003_XC.P909_24H_M04_dienestrol_10uM down	27a3da26-d957-4ad2-8c6e-cb269fb5f7b3	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	ASG003	XC.P909	24H	M04	dienestrol	10uM	down
REP.B008_HT29_24H_P04_AS-703026_0.08uM up	3ea5100b-f4ae-43d8-9492-1f01fd7d133d	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	REP.B008	HT29	24H	P04	AS-703026	0.08uM	up
LKCP001_A549_24H_O22_cobimetinib_10uM up	5527ce13-0ce4-4726-a818-b6be1ab0134c	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	LKCP001	A549	24H	O22	cobimetinib	10uM	up
REP.A020_YAPC_24H_F04_refametinib_0.37uM up	989c3c23-e245-4683-abdf-085de4233b1d	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	REP.A020	YAPC	24H	F04	refametinib	0.37uM	up
REP.A020_YAPC_24H_F05_refametinib_0.125uM up	71945a07-581e-44bf-997e-52dd222d171c	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	REP.A020	YAPC	24H	F05	refametinib	0.125uM	up
CPD003_MCF7_24H_M05_raloxifene_10uM up	195f2eaa-4fcb-4b13-8c63-5008bc5c1f9f	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	CPD003	MCF7	24H	M05	raloxifene	10uM	up
REP.A020_YAPC_24H_F02_refametinib_3.33uM up	b9053c50-d894-4995-8ffe-ec51e1ae0799	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	REP.A020	YAPC	24H	F02	refametinib	3.33uM	up
LKCP001_A549_48H_O22_cobimetinib_10uM up	b814e171-7145-40c8-9ddd-c169197d1c91	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	LKCP001	A549	48H	O22	cobimetinib	10uM	up
CPC019_MCF7_6H_F13_RJC-00245SC_10uM up	1df5d277-eaf8-403f-9f6d-a353316c7d93	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	CPC019	MCF7	6H	F13	RJC-00245SC	10uM	up
REP.A017_YAPC_24H_I08_Ro-4987655_3.33uM up	d3d2a67a-e7fd-43ad-9c7c-d22084ee3ba9	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	REP.A017	YAPC	24H	I08	Ro-4987655	3.33uM	up
ASG003_XC.P914_24H_M23_YM-155_1.11uM up	6f4626a7-15f1-47fe-9638-f533aa16fde6	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	ASG003	XC.P914	24H	M23	YM-155	1.11uM	up
REP.A017_YAPC_24H_I11_Ro-4987655_0.125uM up	e4649574-2462-4173-a8dc-cc5bb229468f	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	REP.A017	YAPC	24H	I11	Ro-4987655	0.125uM	up
PBIOA017_HT29_24H_N02_PLX-4720_3.33uM up	59c8c866-d646-4a94-80c1-1ea04a68587a	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	PBIOA017	HT29	24H	N02	PLX-4720	3.33uM	up
XPR032_A549.311_96H_D08_RAC3 up	3e97344c-faa4-457f-b687-e7d5b959dcd3	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	XPR032	A549.311	96H	D08	RAC3	N/A	up
XPR037_YAPC.311_96H_P05_GADD45B down	264073b9-a0de-4f39-8ac5-0a97d29d530b	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	XPR037	YAPC.311	96H	P05	GADD45B	N/A	down
ASG003_XC.P932_24H_I04_crizotinib_10uM up	aea1a501-2626-4555-a8cb-86a710bdeb57	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	ASG003	XC.P932	24H	I04	crizotinib	10uM	up
REP.B017_HT29_24H_I08_Ro-4987655_0.74uM up	5b8c5059-1f66-4edd-9a0a-409bc7775ebf	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	REP.B017	HT29	24H	I08	Ro-4987655	0.74uM	up
XPR016_BICR6.311_96H_C10_EIF4A1 up	7467b9c4-fb0d-4c31-845d-d65f1190051c	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	XPR016	BICR6.311	96H	C10	EIF4A1	N/A	up
CPC006_HCC515_6H_J03_PF-3845_10uM up	941c04e4-81ce-4fdc-a2cc-fd3d86ce6e78	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	CPC006	HCC515	6H	J03	PF-3845	10uM	up
MOAR004_A375_24H_C24_I-BRD9_1.11uM down	36cf3b2d-8aba-49cb-8bd1-35ac9b66acae	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	MOAR004	A375	24H	C24	I-BRD9	1.11uM	down
PBIOA014_HCC515_24H_K14_dasatinib_3.33uM up	85e978c3-5d37-46f8-a975-5d8a75df5c41	250	1.7000133671010874e-20	6.482479380429636e-16	7.147567567567568	35	PBIOA014	HCC515	24H	K14	dasatinib	3.33uM	up
PBIOA021_HCC515_24H_P04_saracatinib_0.37uM up	9da8273e-9613-40e8-91b5-5eda26173ee2	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	PBIOA021	HCC515	24H	P04	saracatinib	0.37uM	up
REP.A022_HT29_24H_I04_SNX-2112_0.37uM up	c402dac1-12ef-4ed0-8a13-e56b550eb835	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	REP.A022	HT29	24H	I04	SNX-2112	0.37uM	up
PBIOA019_HCC515_24H_K24_PD-168393_0.04uM up	07415d50-009a-4d07-8e34-9c6438b4d9ea	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	PBIOA019	HCC515	24H	K24	PD-168393	0.04uM	up
ASG003_XC.P026_24H_K22_fostamatinib_10uM up	df3f7cf6-fc0e-4c69-9c3a-2c85457345a9	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	ASG003	XC.P026	24H	K22	fostamatinib	10uM	up
PBIOA016_A549_24H_I07_AZD-7762_10uM up	3503f16b-873b-49ad-bf57-a8fc048ca01e	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	PBIOA016	A549	24H	I07	AZD-7762	10uM	up
REP.A013_HT29_24H_M07_SR-33805_10uM up	1bf7de42-0637-40e3-8e1d-670a59f34233	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	REP.A013	HT29	24H	M07	SR-33805	10uM	up
REP.B003_A375_24H_B24_ivabradine_0.01uM down	9d7dbb29-0491-480b-aeb8-1e018ad0f1eb	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	REP.B003	A375	24H	B24	ivabradine	0.01uM	down
CEGS001_NPC.8330_24H_E22_simvastatin_3.33uM up	f1fa18a9-477e-44d4-a47b-4475bc084884	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	CEGS001	NPC.8330	24H	E22	simvastatin	3.33uM	up
REP.A025_YAPC_24H_K19_vandetanib_10uM up	45ce6b5b-fdb8-4d99-92cf-aaa7c34bd69d	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	REP.A025	YAPC	24H	K19	vandetanib	10uM	up
CPC001_PC3_24H_A04_wortmannin_10uM up	7d6869e3-1bc2-4cd9-803b-e9c6e5fbfa0a	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	CPC001	PC3	24H	A04	wortmannin	10uM	up
CEGS001_NPC.179_24H_E10_fluvastatin_3.33uM up	29c2d058-0bdc-4efe-aeb6-d42df77fb6e5	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	CEGS001	NPC.179	24H	E10	fluvastatin	3.33uM	up
XPR025_A549.311_96H_M06_STAT5A up	0c8ec5e8-8523-482b-a029-6a27bd5faee8	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	XPR025	A549.311	96H	M06	STAT5A	N/A	up
XPR037_BICR6.311_96H_N07_FYB1 up	b9c71acf-a9fa-42aa-b724-bc1ad652759a	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	XPR037	BICR6.311	96H	N07	FYB1	N/A	up
XPR032_PC3.311B_96H_K11_CYP21A2 up	ea62d45c-10fa-4d93-a530-13a598bd4c2e	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	XPR032	PC3.311B	96H	K11	CYP21A2	N/A	up
POL001_HT29_24H_M07_PD-198306_10uM up	0b8052b5-e14f-4fdd-b85a-681d272b20c5	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	POL001	HT29	24H	M07	PD-198306	10uM	up
REP.B021_YAPC_24H_E15_MEK-162_0.25uM up	32f2d09d-9952-4caa-9be4-71c038ad3d5d	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	REP.B021	YAPC	24H	E15	MEK-162	0.25uM	up
CPC017_A549_24H_M23_T-98475_10uM up	4791f09c-f4c8-431a-a84c-957c560d07d6	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	CPC017	A549	24H	M23	T-98475	10uM	up
ASG003_XC.P909_24H_I04_crizotinib_10uM up	86a25557-62d1-4d19-8e22-486c26d04698	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	ASG003	XC.P909	24H	I04	crizotinib	10uM	up
GMB001_HT29_24H_F14_tanespimycin_2.22uM up	e141daff-f4d2-446b-992a-99720e6f0bea	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	GMB001	HT29	24H	F14	tanespimycin	2.22uM	up
REP.A017_YAPC_24H_I09_Ro-4987655_1.11uM up	fb3df661-8be3-4d20-9897-37600298df35	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	REP.A017	YAPC	24H	I09	Ro-4987655	1.11uM	up
XPR009_BICR6.311_96H_B09_CDC42 down	a5dd2b11-58ed-4f02-8284-8968e9b33054	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	XPR009	BICR6.311	96H	B09	CDC42	N/A	down
AICHI001_SKMEL5_24H_K08_mitoxantrone_2.5uM up	bf2dd2fb-838d-4db4-8caf-578abb12b97b	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	AICHI001	SKMEL5	24H	K08	mitoxantrone	2.5uM	up
ASG003_XC.P912_24H_N19_PD-0325901_10uM up	a911ea99-580d-4144-910c-aca116156b22	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	ASG003	XC.P912	24H	N19	PD-0325901	10uM	up
CPC018_MCF7_6H_D01_cyclosporin-a_10uM up	e3c77d42-111c-4068-b55e-7d5bbb9a269a	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	CPC018	MCF7	6H	D01	cyclosporin-a	10uM	up
XPR016_BICR6.311_96H_N08_FAM89B up	c25cd2b8-1489-43f8-8dab-da9cd31200c1	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	XPR016	BICR6.311	96H	N08	FAM89B	N/A	up
XPR020_BICR6.311_96H_I10_MAPK8IP1 up	663db489-caf7-4b84-b7c8-c25212c6b0fb	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	XPR020	BICR6.311	96H	I10	MAPK8IP1	N/A	up
CPC002_HCC515_24H_D12_wiskostatin_10uM up	e94901e5-0633-45c7-b9a9-755060e52c2e	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	CPC002	HCC515	24H	D12	wiskostatin	10uM	up
REP.A020_YAPC_24H_F01_refametinib_10uM up	4f824ac5-6ac8-482e-bfde-34a20f95fea2	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	REP.A020	YAPC	24H	F01	refametinib	10uM	up
REP.A023_YAPC_24H_O07_CEP-37440_10uM up	e6bc9a44-59e7-417e-9806-204e75e002bb	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	REP.A023	YAPC	24H	O07	CEP-37440	10uM	up
XPR036_HT29.311_96H_L02_MST1R up	38b655fc-5911-4ca9-a408-fca6b9f57881	250	1.6226240771079078e-19	3.6789821482324776e-15	6.943351351351351	34	XPR036	HT29.311	96H	L02	MST1R	N/A	up
XPR035_A375.311_96H_N11_PLXNA3 up	43f9a747-7cd4-4dee-8216-c8da64043e3c	250	1.4893941925783294e-18	1.937141878510763e-14	6.739135135135135	33	XPR035	A375.311	96H	N11	PLXNA3	N/A	up
PBIOA010_XC.R10_24H_G22_NVP-TAE684_10uM up	966d175b-201a-4656-90d5-1ea9e2c8977a	250	1.4893941925783294e-18	1.937141878510763e-14	6.739135135135135	33	PBIOA010	XC.R10	24H	G22	NVP-TAE684	10uM	up
XPR030_U251MG.311_96H_H03_SLC1A3 up	f065f81c-7c8c-4f4a-8503-b26a3cc30a0b	250	1.4893941925783294e-18	1.937141878510763e-14	6.739135135135135	33	XPR030	U251MG.311	96H	H03	SLC1A3	N/A	up
ASG003_MCF7_48H_E07_lopinavir_10uM up	9b51527c-9bbb-48e8-89c1-707f8fcad039	250	1.4893941925783294e-18	1.937141878510763e-14	6.739135135135135	33	ASG003	MCF7	48H	E07	lopinavir	10uM	up
REP.A015_YAPC_24H_E20_selumetinib_3.33uM up	8b8525d4-b49d-4d17-8e91-9b519180fb2d	250	1.4893941925783294e-18	1.937141878510763e-14	6.739135135135135	33	REP.A015	YAPC	24H	E20	selumetinib	3.33uM	up
ERBB2001_H2110_24H_K19_lapatinib_10uM up	b2120df5-0a8b-4218-8d79-2975ca1387fd	250	1.4893941925783294e-18	1.937141878510763e-14	6.739135135135135	33	ERBB2001	H2110	24H	K19	lapatinib	10uM	up
REP.A021_HT29_24H_E14_MEK-162_3.33uM up	cd02af04-fb8a-47e3-824c-19b6923ae43f	250	1.4893941925783294e-18	1.937141878510763e-14	6.739135135135135	33	REP.A021	HT29	24H	E14	MEK-162	3.33uM	up
CPC010_HT29_6H_C09_BRD-K35254025_10uM down	59c1a3c2-9293-4b7a-b324-146652287fb9	250	1.4893941925783294e-18	1.937141878510763e-14	6.739135135135135	33	CPC010	HT29	6H	C09	BRD-K35254025	10uM	down
MOAR004_A375_24H_F19_rolipram_10uM up	9b1ab736-80ec-4706-94c9-5a2f8d3ccd9f	250	1.4893941925783294e-18	1.937141878510763e-14	6.739135135135135	33	MOAR004	A375	24H	F19	rolipram	10uM	up
XPR016_BICR6.311_96H_D09_CYP27B1 down	41d841a5-4da0-45d8-b55a-ad0410a9a5dc	250	1.4893941925783294e-18	1.937141878510763e-14	6.739135135135135	33	XPR016	BICR6.311	96H	D09	CYP27B1	N/A	down
REP.B020_HT29_24H_F13_linsitinib_2.22uM up	3791a042-fc66-48aa-8c4f-ef1dfc5ae5a6	250	1.4893941925783294e-18	1.937141878510763e-14	6.739135135135135	33	REP.B020	HT29	24H	F13	linsitinib	2.22uM	up
LCP001_MCF10A.WT_12H_N06_BMS-777607_1.11uM down	4ba986bf-4c36-4925-95ea-979e81a95702	250	1.4893941925783294e-18	1.937141878510763e-14	6.739135135135135	33	LCP001	MCF10A.WT	12H	N06	BMS-777607	1.11uM	down
