term	id	nGeneIds	pvalue	adjPvalue	oddsRatio	nOverlap	batch	timepoint	cellLine	batch2	perturbation	concentration	direction
FIBR014_MCLF162SZ_6H_E08_chaetocin_0.01uM up	7b6251e1-806f-49bc-96f2-5bef32385915	250	2.7122001276302654e-31	4.550542935138698e-25	11.194074074074074	40	FIBR014	MCLF162SZ	6H	E08	chaetocin	0.01uM	up
ASG003_XC.P911_24H_H07_vemurafenib_10uM up	3423d6b3-4114-4d8f-a4d0-10f9fdc44ba1	250	4.6562545708169995e-30	1.953071800047404e-24	10.914222222222222	39	ASG003	XC.P911	24H	H07	vemurafenib	10uM	up
FIBR018_MCLF076SZ_6H_O13_BRD-A13005505_4uM up	82020d26-72b0-4985-a41c-ab97ad040672	250	4.6562545708169995e-30	1.953071800047404e-24	10.914222222222222	39	FIBR018	MCLF076SZ	6H	O13	BRD-A13005505	4uM	up
ASG003_XC.P911_24H_D01_obatoclax_10uM up	1091d838-ed26-4406-98e6-7083a2c99ba2	250	4.6562545708169995e-30	1.953071800047404e-24	10.914222222222222	39	ASG003	XC.P911	24H	D01	obatoclax	10uM	up
LKCP001_A549_6H_I16_vemurafenib_10uM up	effe0a39-c96e-4a8c-9c97-8be5146fb72b	250	7.692117739227998e-29	1.8436962290664898e-23	10.63437037037037	38	LKCP001	A549	6H	I16	vemurafenib	10uM	up
LKCP001_A549_6H_B07_palomid-529_10uM up	e10da0a8-2d00-415d-8082-b277e95a0339	250	7.692117739227998e-29	1.8436962290664898e-23	10.63437037037037	38	LKCP001	A549	6H	B07	palomid-529	10uM	up
ERG003_VCAP_6H_F17_BRD-K31367750_30uM up	9a9e494d-1775-4716-b587-6b8d59fa3d88	250	7.692117739227998e-29	1.8436962290664898e-23	10.63437037037037	38	ERG003	VCAP	6H	F17	BRD-K31367750	30uM	up
LCP001_MCF10A.WT_12H_A11_ICG-001_3.33uM up	657ff5da-8bf1-4abd-915c-56c2ef1dad2b	250	1.2220983736783364e-27	1.708702301541151e-22	10.354518518518518	37	LCP001	MCF10A.WT	12H	A11	ICG-001	3.33uM	up
FIBR026_MCLF141SZ_6H_L17_neratinib_0.37uM up	973a8325-7f64-465f-b81e-28fe50b752e3	250	1.2220983736783364e-27	1.708702301541151e-22	10.354518518518518	37	FIBR026	MCLF141SZ	6H	L17	neratinib	0.37uM	up
LKCP002_A549_24H_K19_lonafarnib_10uM up	19619151-b526-448f-8292-cde6ee68dae3	250	1.2220983736783364e-27	1.708702301541151e-22	10.354518518518518	37	LKCP002	A549	24H	K19	lonafarnib	10uM	up
