gene_name	gene_id	log2FoldChange	pvalue	padj
CALCOCO1	ENSG00000012822	1.39441	1.350722e-48	7.443044e-46
YPEL3	ENSG00000090238	1.12171	2.359242e-40	1.040033e-37
CAV1	ENSG00000105974	1.268517	1.951751e-34	6.145693e-32
YPEL2	ENSG00000175155	1.082333	8.819343e-21	1.715233e-18
PIK3IP1	ENSG00000100100	1.322789	9.877215e-17	1.375012e-14
PGM5	ENSG00000154330	1.425901	1.803062e-16	2.433214e-14
CREBRF	ENSG00000164463	1.257363	5.99935e-12	4.596878e-10
KLHL24	ENSG00000114796	1.023528	1.35573e-10	8.578725e-09
SEMA6C	ENSG00000143434	1.226853	1.394731e-09	7.348735e-08
FBXO32	ENSG00000156804	1.247098	4.56891e-09	2.157632e-07
STON1	ENSG00000243244	1.294149	5.488979e-09	2.529329e-07
GABRP	ENSG00000094755	1.014515	1.636386e-05	0.0003018299
PSCA	ENSG00000167653	1.038211	2.445612e-05	0.0004244516
FAM129A	ENSG00000135842	-1.059161	2.019649e-05	0.0003599712
NDUFA4L2	ENSG00000185633	-1.747875	2.566677e-07	7.902523e-06
RN7SL2	ENSG00000265150	-1.142849	2.435314e-07	7.57559e-06
S100A9	ENSG00000163220	-1.139356	1.375946e-09	7.278754e-08
SLC43A1	ENSG00000149150	-1.279172	1.072248e-10	6.917304e-09
ALDH1L2	ENSG00000136010	-1.862686	3.655644e-11	2.518015e-09
GPX8	ENSG00000164294	-1.338652	7.266301e-12	5.478134e-10
JDP2	ENSG00000140044	-1.233468	2.862647e-14	2.980985e-12
ULBP1	ENSG00000111981	-1.724456	2.688892e-15	3.065569e-13
CSPG4P9	ENSG00000205275	-6.158376	1.414428e-15	1.700528e-13
CHAC1	ENSG00000128965	-2.122304	2.346849e-24	5.643104e-22
ADM2	ENSG00000128165	-2.04398	1.223706e-35	3.947198e-33
SLC6A9	ENSG00000196517	-1.362835	8.797756e-37	3.144603e-34
PSAT1	ENSG00000135069	-1.354784	5.888152e-39	2.22488e-36
SLC1A4	ENSG00000115902	-1.253579	2.7525e-40	1.174252e-37
EIF4EBP1	ENSG00000187840	-1.002357	1.022229e-46	5.40759e-44
GPT2	ENSG00000166123	-1.166731	1.068943e-59	7.440403e-57
SLC7A11	ENSG00000151012	-2.352747	3.278046e-86	3.941105e-83
YARS	ENSG00000134684	-1.092354	2.192811e-120	4.142846e-117
PCK2	ENSG00000100889	-1.145294	1.198666e-132	3.170472e-129
MARS	ENSG00000166986	-1.051406	5.682806e-151	1.878878e-147
PHGDH	ENSG00000092621	-1.743569	6.584045e-152	2.902466e-148
CBS	ENSG00000160200	-1.142394	6.3625e-174	4.207203e-170
ASNS	ENSG00000070669	-1.900379	1.702188e-287	2.251143e-283
