gene_name	gene_id	log2FoldChange	pvalue	padj
PDK4	ENSG00000004799	3.441113	2.102193e-168	3.686827e-164
KCNB1	ENSG00000158445	3.485444	2.756286e-131	2.416988e-127
HAS2	ENSG00000170961	2.653549	2.662677e-121	1.556601e-117
GLUL	ENSG00000135821	2.255896	4.78404e-111	2.097562e-107
CCDC85A	ENSG00000055813	3.396722	6.50441e-100	2.281487e-96
GBP2	ENSG00000162645	2.245788	5.195272e-91	1.518578e-87
PIK3IP1	ENSG00000100100	3.093146	7.551585e-86	1.891996e-82
CCNG2	ENSG00000138764	1.327803	1.367322e-84	2.997513e-81
FOXL1	ENSG00000176678	1.711203	9.909031e-83	1.93094e-79
SLC7A2	ENSG00000003989	2.538781	5.427433e-70	9.518632e-67
CALHM2	ENSG00000138172	1.413352	1.456286e-69	2.321849e-66
TCP11L2	ENSG00000166046	2.639508	1.601847e-65	2.161014e-62
RPGR	ENSG00000156313	1.217195	2.331404e-65	2.920584e-62
HDAC5	ENSG00000108840	1.541676	1.082681e-63	1.26587e-60
ABCA6	ENSG00000154262	2.326854	1.091819e-58	1.19677e-55
DKK1	ENSG00000107984	1.66455	2.151031e-56	2.124213e-53
RP11-428K3.1	ENSG00000273062	4.439999	2.18017e-56	2.124213e-53
AC007743.1	ENSG00000233251	3.43059	1.661802e-55	1.533931e-52
ERBB3	ENSG00000065361	1.74853	2.190932e-55	1.921228e-52
ANGPT1	ENSG00000154188	1.6842	3.552187e-55	2.966584e-52
HBP1	ENSG00000105856	1.472457	1.279545e-53	1.02003e-50
HPGD	ENSG00000164120	1.745646	2.057276e-51	1.568718e-48
BACH2	ENSG00000112182	2.627886	8.469135e-50	6.188821e-47
AC010441.1	ENSG00000269636	1.15025	6.606609e-49	4.456412e-46
GRB7	ENSG00000141738	1.872964	2.629726e-47	1.647148e-44
IL7R	ENSG00000168685	1.540379	3.67891e-47	2.224853e-44
CLDN1	ENSG00000163347	1.67089	4.481924e-47	2.620133e-44
IRS2	ENSG00000185950	1.599297	4.760351e-46	2.69313e-43
S1PR1	ENSG00000170989	1.509849	2.231519e-45	1.223012e-42
KLHL24	ENSG00000114796	2.034245	1.216108e-44	6.463061e-42
FBXO32	ENSG00000156804	1.451955	9.050651e-44	4.535152e-41
GAB2	ENSG00000033327	2.071537	6.373791e-43	3.021177e-40
BMF	ENSG00000104081	2.210961	5.226192e-42	2.412025e-39
YPEL3	ENSG00000090238	2.172809	7.235348e-42	3.25368e-39
HECA	ENSG00000112406	1.126742	9.594534e-42	4.206723e-39
DCN	ENSG00000011465	1.315363	4.614416e-41	1.973845e-38
CITED2	ENSG00000164442	1.334966	5.682096e-41	2.372681e-38
PIM1	ENSG00000137193	1.088199	6.035139e-41	2.461495e-38
ERRFI1	ENSG00000116285	1.107637	2.071376e-40	8.256317e-38
GALNT15	ENSG00000131386	2.9409	1.861189e-39	7.253674e-37
ULK1	ENSG00000177169	1.111305	2.125391e-37	8.103285e-35
SYNE2	ENSG00000054654	1.974018	4.859736e-37	1.813405e-34
GLCCI1	ENSG00000106415	1.349066	1.687995e-36	6.167512e-34
RNF39	ENSG00000204618	1.61151	4.670136e-36	1.671527e-33
YPEL1	ENSG00000100027	2.666462	4.406111e-35	1.545487e-32
CREBRF	ENSG00000164463	1.399698	6.429786e-34	2.21109e-31
CTDSP2	ENSG00000175215	1.2265	2.024095e-32	6.697844e-30
RORB	ENSG00000198963	1.679699	3.642853e-32	1.183118e-29
GABARAPL1	ENSG00000139112	1.028965	6.113911e-32	1.949559e-29
MXI1	ENSG00000119950	1.024525	9.72424e-32	3.045423e-29
ABTB1	ENSG00000114626	1.901355	1.159887e-31	3.56879e-29
ESR2	ENSG00000140009	2.400488	3.395211e-31	1.026642e-28
ABCA9	ENSG00000154258	3.258495	6.556761e-31	1.949025e-28
