gene_name	gene_id	log2FoldChange	pvalue	padj
PIM2	ENSG00000102096	1.505325	0	0
AICDA	ENSG00000111732	1.384163	1.422515e-276	1.092065e-272
TSC22D3	ENSG00000157514	1.118293	1.440829e-144	5.530623e-141
TP53INP1	ENSG00000164938	1.30161	2.194252e-136	6.738109e-133
DFNB31	ENSG00000095397	1.128743	2.428751e-112	4.66138e-109
TXNIP	ENSG00000117289	1.399969	4.630873e-90	4.740162e-87
LTB	ENSG00000227507	1.976902	1.145651e-81	7.995601e-79
YPEL3	ENSG00000090238	1.230898	1.060777e-70	5.253925e-68
RAB37	ENSG00000172794	1.082488	1.687289e-28	1.257604e-26
PIK3IP1	ENSG00000100100	1.322896	8.347975e-28	5.961619e-26
MEOX1	ENSG00000005102	1.203832	6.351015e-25	3.693693e-23
RP11-87E22.2	ENSG00000248738	1.199646	2.292047e-20	9.140802e-19
RP11-290F5.1	ENSG00000249096	1.023074	3.130186e-16	8.85099e-15
TTC21A	ENSG00000168026	1.149643	4.985028e-13	9.863418e-12
ADAMTS7	ENSG00000136378	1.415163	4.062861e-12	7.245199e-11
RP11-761N21.2	ENSG00000234287	1.404524	1.143058e-11	1.93075e-10
TMEM140	ENSG00000146859	1.055806	6.712533e-10	9.169415e-09
XXYLT1-AS2	ENSG00000230266	1.076302	1.291848e-09	1.696753e-08
ZFP41	ENSG00000264668	7.32737	1.37437e-09	1.797451e-08
PCDH1	ENSG00000156453	1.988829	1.537477e-09	1.993786e-08
KCNK9	ENSG00000169427	1.221034	2.029553e-09	2.575351e-08
P2RX5	ENSG00000083454	1.464235	3.967747e-09	4.796912e-08
RASSF6	ENSG00000169435	1.164663	1.205117e-06	1.014439e-05
IGHE	ENSG00000211891	1.257754	1.756936e-06	1.442567e-05
SATB1	ENSG00000182568	1.28309	2.850589e-06	2.259574e-05
VWC2	ENSG00000188730	1.026596	1.412713e-05	9.827045e-05
IL8	ENSG00000169429	-1.186142	7.733449e-09	9.015849e-08
XXbac-BPG181M17.5	ENSG00000248993	-6.962258	7.394729e-09	8.627558e-08
SLC6A9	ENSG00000196517	-1.047345	2.655517e-09	3.317559e-08
GPR3	ENSG00000181773	-1.256552	9.230805e-10	1.233505e-08
C12orf77	ENSG00000226397	-1.072333	2.85681e-10	4.095561e-09
EPAS1	ENSG00000116016	-1.262549	2.514911e-12	4.618893e-11
OCSTAMP	ENSG00000149635	-1.388206	8.230908e-14	1.795133e-12
G0S2	ENSG00000123689	-1.210768	2.019625e-14	4.709306e-13
INHBE	ENSG00000139269	-1.35435	9.987755e-15	2.381242e-13
CCL20	ENSG00000115009	-1.555154	6.074719e-16	1.662589e-14
ANK2	ENSG00000145362	-1.09384	2.012416e-18	7.022418e-17
DDN	ENSG00000181418	-1.14098	5.885205e-20	2.281855e-18
CHAC1	ENSG00000128965	-1.372624	9.748494e-21	4.100777e-19
PLD4	ENSG00000166428	-1.066424	7.605113e-21	3.22566e-19
SLC7A11	ENSG00000151012	-1.431828	8.784419e-22	4.002254e-20
LILRA4	ENSG00000239961	-1.095128	8.080968e-22	3.737205e-20
POLR3G	ENSG00000113356	-1.128376	1.09359e-25	6.743363e-24
FOSL1	ENSG00000175592	-1.341465	9.754851e-27	6.493265e-25
EGR1	ENSG00000120738	-1.181627	3.545878e-29	2.73585e-27
LIMA1	ENSG00000050405	-1.064843	1.69259e-33	1.698564e-31
NIPAL4	ENSG00000172548	-1.379421	2.867098e-39	4.232829e-37
CCL3	ENSG00000006075	-1.965724	1.663044e-51	4.098724e-49
PSAT1	ENSG00000135069	-1.18879	1.579474e-55	5.15984e-53
SLC17A9	ENSG00000101194	-1.002495	1.010318e-56	3.372265e-54
XCL1	ENSG00000143184	-2.323772	8.20052e-69	3.497522e-66
EGR3	ENSG00000179388	-1.407014	4.380691e-70	2.10191e-67
TM4SF19	ENSG00000145107	-1.355408	1.041285e-71	5.329298e-69
SLC7A5	ENSG00000103257	-1.22777	1.183722e-130	3.029146e-127
