gene_name	gene_id	log2FoldChange	pvalue	padj
TCP11L2	ENSG00000166046	1.012649	2.019462e-71	2.623449e-68
CLDN1	ENSG00000163347	1.000723	1.77421e-64	1.975583e-61
PDK4	ENSG00000004799	1.570919	1.400737e-50	9.925496e-48
HAS2	ENSG00000170961	1.889977	4.174444e-49	2.603016e-46
DCN	ENSG00000011465	1.178947	1.285578e-44	6.464801e-42
KCNB1	ENSG00000158445	1.28734	2.014728e-40	8.053228e-38
AC007743.1	ENSG00000233251	1.476552	1.579248e-36	4.645076e-34
CCDC85A	ENSG00000055813	1.330067	3.281502e-21	3.638137e-19
ABCA6	ENSG00000154262	1.044908	1.409424e-16	9.80871e-15
RP11-254B13.1	ENSG00000240087	1.026959	3.148639e-06	4.869458e-05
