gene_name	gene_id	log2FoldChange	pvalue	padj
CALCOCO1	ENSG00000012822	1.623682	1.73597e-48	2.811886e-45
CAV1	ENSG00000105974	1.880398	1.799089e-42	2.185593e-39
IGFBP5	ENSG00000115461	1.402579	6.895938e-34	4.569499e-31
BCAS1	ENSG00000064787	1.051988	7.087039e-28	3.562581e-25
RP11-396K3.1	ENSG00000233369	1.622123	1.362249e-26	6.017839e-24
YPEL3	ENSG00000090238	1.158468	9.27304e-26	3.862354e-23
NDRG1	ENSG00000104419	1.050925	1.441993e-24	5.681454e-22
ABTB1	ENSG00000114626	1.555468	6.170066e-24	2.248681e-21
HBP1	ENSG00000105856	1.048926	3.163621e-23	1.098078e-20
PIK3IP1	ENSG00000100100	1.574298	2.248835e-18	5.556528e-16
SEMA6C	ENSG00000143434	1.816943	1.603841e-16	3.489671e-14
HDAC5	ENSG00000108840	1.02315	5.148554e-16	1.072223e-13
FAM21C	ENSG00000172661	1.158351	1.09277e-14	2.152757e-12
KLHL24	ENSG00000114796	1.354324	1.854034e-14	3.510144e-12
MYO15B	ENSG00000266714	1.113206	5.185493e-14	9.332607e-12
FAXDC2	ENSG00000170271	1.258533	1.111683e-13	1.952543e-11
MXI1	ENSG00000119950	1.077927	1.970699e-13	3.340564e-11
FAM21A	ENSG00000099290	1.04453	5.187e-13	8.21914e-11
PGM5	ENSG00000154330	1.081997	7.668183e-13	1.202008e-10
THBS3	ENSG00000169231	1.036584	2.47649e-12	3.595286e-10
FBXO32	ENSG00000156804	1.241539	2.857869e-12	4.084512e-10
C17orf103	ENSG00000154035	1.187563	8.792136e-12	1.154701e-09
BMF	ENSG00000104081	1.121245	2.025025e-11	2.48074e-09
EGLN3	ENSG00000129521	1.02441	2.673955e-11	3.195157e-09
IFITM1	ENSG00000185885	1.08912	5.796373e-11	6.653507e-09
MARCH8	ENSG00000165406	1.104752	1.203565e-10	1.319216e-08
AKR1C3	ENSG00000196139	1.027149	1.522073e-10	1.631528e-08
KLK11	ENSG00000167757	1.01084	2.199437e-10	2.306719e-08
FAM21B	ENSG00000152726	1.121624	2.743186e-10	2.796515e-08
SEPP1	ENSG00000250722	1.690501	3.819088e-10	3.787392e-08
DUSP2	ENSG00000158050	1.439782	5.373172e-10	5.08637e-08
FAM117A	ENSG00000121104	1.033672	5.643622e-10	5.273892e-08
KCNJ8	ENSG00000121361	1.398588	1.213757e-09	1.05953e-07
C19orf66	ENSG00000130813	1.059324	1.103381e-08	8.248762e-07
TNFSF10	ENSG00000121858	1.641675	1.343254e-08	9.790982e-07
RTN2	ENSG00000125744	1.100227	1.424546e-08	1.033185e-06
TUBB8P7	ENSG00000261812	2.282161	1.824505e-08	1.291147e-06
FAM21D	ENSG00000174196	1.360764	2.564287e-07	1.302515e-05
WNK4	ENSG00000126562	1.373652	5.371537e-07	2.501798e-05
KRT13	ENSG00000171401	1.310504	5.622452e-07	2.593801e-05
ACVR2B-AS1	ENSG00000229589	1.174238	2.1544e-06	8.286765e-05
RAB43P1	ENSG00000259856	2.146278	2.752678e-06	0.00010396
LL22NC03-N14H11.1	ENSG00000272872	1.129769	5.938634e-06	0.000203224
N4BP2L1	ENSG00000139597	1.234502	6.853923e-06	0.0002296764
SOCS2-AS1	ENSG00000246985	1.237264	1.117049e-05	0.0003399654
RNASE4	ENSG00000258818	1.263748	1.417688e-05	0.0004062037
PSCA	ENSG00000167653	1.120824	1.669108e-05	0.000464356
HSD17B11	ENSG00000198189	1.131097	1.888156e-05	0.0005183717
TMEM178A	ENSG00000152154	1.268389	2.095371e-05	0.0005594565
FOXO4	ENSG00000184481	1.031323	2.560823e-05	0.0006537946
ANKRD20A19P	ENSG00000196593	-1.331615	1.148772e-05	0.0003446249
ASNSP1	ENSG00000248498	-1.575235	1.088018e-05	0.0003339185
RP1-86C11.7	ENSG00000272468	-1.194592	4.789457e-06	0.0001690574
AP001057.1	ENSG00000232124	-1.198641	4.421755e-06	0.0001583792
RP11-386G11.10	ENSG00000258017	-2.630426	7.936067e-08	4.554803e-06
GPX8	ENSG00000164294	-1.089747	4.125214e-08	2.559037e-06
INHBE	ENSG00000139269	-6.639115	3.350807e-08	2.142459e-06
NDUFA4L2	ENSG00000185633	-1.841286	2.446659e-08	1.628648e-06
ABCA12	ENSG00000144452	-1.118509	6.206572e-09	4.838471e-07
SKA1	ENSG00000154839	-1.055813	8.668278e-10	7.947557e-08
EGR3	ENSG00000179388	-1.253582	2.710295e-10	2.796515e-08
ZBED3	ENSG00000132846	-1.138775	1.444041e-10	1.55935e-08
SLC7A11	ENSG00000151012	-2.716738	1.017096e-10	1.158377e-08
OSBPL6	ENSG00000079156	-1.55384	2.437716e-11	2.936944e-09
ULBP1	ENSG00000111981	-1.639423	1.880954e-11	2.323776e-09
CDKN2D	ENSG00000129355	-1.393144	1.316532e-11	1.654517e-09
SLC43A1	ENSG00000149150	-1.343698	3.665554e-12	4.947819e-10
BEST1	ENSG00000167995	-1.761756	1.528938e-13	2.622218e-11
LINC00284	ENSG00000233725	-1.133551	1.165423e-13	2.022564e-11
JDP2	ENSG00000140044	-1.514869	2.260341e-16	4.845773e-14
FAM129A	ENSG00000135842	-1.437387	5.289199e-17	1.168272e-14
MID1IP1	ENSG00000165175	-1.015495	1.434319e-17	3.318968e-15
ARRDC4	ENSG00000140450	-1.170938	2.074425e-18	5.213961e-16
PKMYT1	ENSG00000127564	-1.073481	1.918247e-18	4.906e-16
