gene_name	gene_id	log2FoldChange	pvalue	padj
NR4A2	ENSG00000153234	-1.313944	1.783332e-05	0.001229839
ARC	ENSG00000198576	-1.012287	2.388848e-06	0.0002412214
CEBPD	ENSG00000221869	-1.193208	2.332963e-06	0.0002393022
BHLHE40	ENSG00000134107	-1.47858	1.775613e-06	0.0002012464
FOSB	ENSG00000125740	-1.269785	1.65507e-06	0.0001892297
SIK1	ENSG00000142178	-2.279353	1.329469e-06	0.0001628323
AREG	ENSG00000109321	-2.264151	6.282755e-07	8.442209e-05
DUSP2	ENSG00000158050	-1.961237	2.660517e-08	5.41831e-06
NR4A3	ENSG00000119508	-2.297498	8.523425e-09	1.882955e-06
JUNB	ENSG00000171223	-1.187302	2.593583e-09	5.930659e-07
ATF3	ENSG00000162772	-1.809856	1.077422e-09	2.753553e-07
EGR3	ENSG00000179388	-1.179619	5.083947e-10	1.409876e-07
ZFP36	ENSG00000128016	-1.202779	5.336799e-11	1.783586e-08
DUSP8	ENSG00000184545	-1.057487	1.619993e-11	5.865274e-09
NR4A1	ENSG00000123358	-2.839427	1.398681e-11	5.208689e-09
RGS16	ENSG00000143333	-2.240376	1.056352e-11	4.049556e-09
SOCS3	ENSG00000184557	-1.765308	6.621701e-12	2.784105e-09
DUSP1	ENSG00000120129	-1.590472	1.333729e-12	6.208511e-10
EGR2	ENSG00000122877	-1.234435	1.320805e-12	6.208511e-10
CSRNP1	ENSG00000144655	-1.039743	1.055786e-12	5.504444e-10
PTGS2	ENSG00000073756	-1.407105	1.910707e-14	1.185912e-11
FOS	ENSG00000170345	-1.172427	2.957864e-15	2.570187e-12
