gene_name	gene_id	log2FoldChange	pvalue	padj
PIM2	ENSG00000102096	1.158238	4.250221e-239	6.264826e-235
TP53INP1	ENSG00000164938	1.200646	2.741005e-157	8.080484e-154
YPEL3	ENSG00000090238	1.124933	4.961566e-45	7.387221e-43
COLCA1	ENSG00000196167	1.03523	5.360809e-26	2.72477e-24
LTB	ENSG00000227507	1.256669	1.139734e-21	4.352247e-20
RP11-396K3.1	ENSG00000233369	1.012983	2.455368e-17	6.739688e-16
CYS1	ENSG00000205795	1.080474	2.096601e-15	4.968473e-14
RP11-87E22.2	ENSG00000248738	1.284878	9.486251e-15	2.105833e-13
RASSF6	ENSG00000169435	1.282545	5.769587e-08	6.074551e-07
ETV7	ENSG00000010030	1.003764	7.815391e-08	8.095493e-07
TBC1D3H	ENSG00000242384	1.033578	6.810154e-07	6.147071e-06
LINC00086	ENSG00000178947	1.04676	1.206024e-06	1.051881e-05
GRM3	ENSG00000198822	-1.031185	1.122237e-06	9.858029e-06
XCL2	ENSG00000143185	-1.407835	1.585536e-07	1.570618e-06
GPR3	ENSG00000181773	-1.325079	8.117222e-09	9.610269e-08
CCL20	ENSG00000115009	-1.003449	3.657902e-09	4.534691e-08
EPAS1	ENSG00000116016	-1.047975	5.042109e-11	7.680713e-10
VPS9D1-AS1	ENSG00000261373	-1.08035	1.652641e-13	3.256674e-12
FOSL1	ENSG00000175592	-1.010288	1.133254e-13	2.25732e-12
SLC7A11	ENSG00000151012	-1.054997	9.091906e-15	2.021338e-13
HK2	ENSG00000159399	-1.038305	2.189506e-15	5.180307e-14
NIPAL4	ENSG00000172548	-1.009633	3.813199e-16	9.591562e-15
DDN	ENSG00000181418	-1.233409	1.312219e-18	4.021227e-17
HOMER1	ENSG00000152413	-1.166365	1.43465e-21	5.43618e-20
PAK1IP1	ENSG00000111845	-1.028657	1.226696e-22	5.093382e-21
LIMA1	ENSG00000050405	-1.055	5.139706e-23	2.189574e-21
ANK2	ENSG00000145362	-1.190652	4.141165e-26	2.126856e-24
POLR3G	ENSG00000113356	-1.230243	3.219802e-29	1.929263e-27
PUS7	ENSG00000091127	-1.298911	3.365228e-33	2.505226e-31
CCL3	ENSG00000006075	-1.63783	1.718561e-33	1.326261e-31
EGR1	ENSG00000120738	-1.445867	2.156937e-36	1.987078e-34
TM4SF19	ENSG00000145107	-1.170622	7.432064e-43	1.014339e-40
PSAT1	ENSG00000135069	-1.147669	8.034344e-49	1.301387e-46
LYAR	ENSG00000145220	-1.248683	7.087847e-53	1.374669e-50
DGKI	ENSG00000157680	-1.044658	8.862589e-57	2.107009e-54
EGR3	ENSG00000179388	-1.693913	4.829452e-69	1.617866e-66
SLC7A5	ENSG00000103257	-1.001658	3.704446e-71	1.365088e-68
DDX21	ENSG00000165732	-1.039136	5.363134e-187	2.635086e-183
XCL1	ENSG00000143184	-2.240651	1.28642e-195	9.480912e-192
