gene_name	gene_id	log2FoldChange	pvalue	padj
HOPX	ENSG00000171476	1.517972	6.832203e-11	4.102626e-07
IGFBP6	ENSG00000167779	1.448762	7.973124e-11	4.102626e-07
RP11-367J11.2	ENSG00000245748	2.792306	1.021728e-10	4.102626e-07
KRTDAP	ENSG00000188508	1.653596	5.08026e-09	1.455306e-05
MUCL1	ENSG00000172551	1.566054	2.491809e-08	5.539292e-05
TPPP3	ENSG00000159713	1.3038	6.715342e-08	0.0001161083
LY6G6C	ENSG00000204421	1.257243	8.176645e-08	0.0001272368
LOR	ENSG00000203782	1.687323	2.015905e-07	0.000249293
KLK5	ENSG00000167754	1.288928	2.225149e-07	0.000249293
DEFB1	ENSG00000164825	1.368563	2.401533e-07	0.000249293
CTC-425F1.4	ENSG00000267458	4.709934	5.298117e-07	0.00041222
RGCC	ENSG00000102760	1.059059	5.663112e-07	0.0004196366
KLK1	ENSG00000167748	1.136935	8.368723e-07	0.0005618905
SPRR1B	ENSG00000169469	1.010984	1.115863e-06	0.0006678441
GAST	ENSG00000184502	1.066272	1.924251e-06	0.0009138319
MINOS1-NBL1	ENSG00000270136	1.47558	2.451611e-06	0.001035089
ASPRV1	ENSG00000244617	1.019652	3.27499e-06	0.001181987
GAL	ENSG00000069482	1.120941	3.404589e-06	0.001181987
C6orf15	ENSG00000204542	1.047915	6.459938e-06	0.001884874
RP11-324E6.6	ENSG00000256249	1.173888	2.10363e-05	0.003308415
CTD-2544N14.3	ENSG00000253645	-1.859563	2.553507e-06	0.001038533
SULF1	ENSG00000137573	-1.339113	3.54212e-07	0.0003140172
SLITRK3	ENSG00000121871	-1.22002	3.385868e-07	0.0003140172
PIGR	ENSG00000162896	-1.213906	9.789593e-08	0.0001384871
RP11-649E7.5	ENSG00000258377	-7.733473	5.611358e-09	1.455306e-05
CERS6-AS1	ENSG00000227617	-5.772748	1.054592e-10	4.102626e-07
